dataset,config,files,obj,total_cc,greedy,mean_success_rate,mean_gain,total_gain,mean_time_sec,overall_success_rate,overall_greedy_rate,gain_rate_vs_greedy
Adversarial,Heuristic Mut=0.40,10,42180,47899,42180,0.856885121571765,0.0,0,395.1370889761,0.8806029353431178,0.8806029353431178,0.0
Adversarial,Heuristic Mut=0.90,10,42180,47899,42180,0.856885121571765,0.0,0,395.14162252279993,0.8806029353431178,0.8806029353431178,0.0
Adversarial,Heuristic OX + Mixed,10,42180,47899,42180,0.856885121571765,0.0,0,395.1045115821,0.8806029353431178,0.8806029353431178,0.0
Adversarial,Heuristic PMX + Mixed,10,42180,47899,42180,0.856885121571765,0.0,0,395.13410041080004,0.8806029353431178,0.8806029353431178,0.0
Adversarial,Random Mut=0.40,10,41892,47899,42180,0.852101681557541,-28.8,-288,395.13489265499993,0.8745902837219983,0.8806029353431178,-0.006012651621119439
Adversarial,Random Mut=0.90,10,41927,47899,42180,0.8523483837845045,-25.3,-253,395.1740440303,0.8753209879120649,0.8806029353431178,-0.0052819474310528405
Adversarial,Random OX + Mixed,10,41916,47899,42180,0.8529683677823711,-26.4,-264,395.1921880064001,0.8750913380237583,0.8806029353431178,-0.005511597319359486
Adversarial,Random PMX + Mixed,10,41916,47899,42180,0.8520550362270525,-26.4,-264,395.13118049699995,0.8750913380237583,0.8806029353431178,-0.005511597319359486
Exponential,Heuristic Mut=0.40,10,43746,47900,43737,0.82515,0.9,9,395.2100983778999,0.9132776617954071,0.913089770354906,0.00018789144050104385
Exponential,Heuristic Mut=0.90,10,43747,47900,43737,0.8252166666666666,1.0,10,395.0586974458,0.9132985386221294,0.913089770354906,0.00020876826722338206
Exponential,Heuristic OX + Mixed,10,43746,47900,43737,0.82515,0.9,9,395.1433303593,0.9132776617954071,0.913089770354906,0.00018789144050104385
Exponential,Heuristic PMX + Mixed,10,43748,47900,43737,0.8252833333333334,1.1,11,395.1249382684,0.9133194154488518,0.913089770354906,0.00022964509394572026
Exponential,Random Mut=0.40,10,43521,47900,43737,0.8193633333333332,-21.6,-216,395.1118038297001,0.908580375782881,0.913089770354906,-0.004509394572025052
Exponential,Random Mut=0.90,10,43523,47900,43737,0.819475,-21.4,-214,395.1150313689999,0.9086221294363257,0.913089770354906,-0.004467640918580376
Exponential,Random OX + Mixed,10,43569,47900,43737,0.8195933333333334,-16.8,-168,395.18920190320006,0.9095824634655533,0.913089770354906,-0.0035073068893528184
Exponential,Random PMX + Mixed,10,43554,47900,43737,0.8193149999999999,-18.3,-183,395.1316455934999,0.9092693110647182,0.913089770354906,-0.0038204592901878915
Gaussian,Heuristic Mut=0.40,10,46969,47899,46824,0.9532370693129455,14.5,145,395.22918501329985,0.9805841458068019,0.9775569427336688,0.003027203073133051
Gaussian,Heuristic Mut=0.90,10,46967,47899,46824,0.9543070746469899,14.3,143,395.28702035319947,0.9805423912816551,0.9775569427336688,0.002985448547986388
Gaussian,Heuristic OX + Mixed,10,46956,47899,46824,0.9530142862011232,13.2,132,395.1986097315001,0.9803127413933485,0.9775569427336688,0.002755798659679743
Gaussian,Heuristic PMX + Mixed,10,46976,47899,46824,0.9535331661999378,15.2,152,395.17423907579985,0.9807302866448151,0.9775569427336688,0.0031733439111463705
Gaussian,Random Mut=0.40,10,46992,47899,46824,0.9541148399786639,16.8,168,395.4191697387002,0.9810643228459884,0.9775569427336688,0.0035073801123196727
Gaussian,Random Mut=0.90,10,46987,47899,46824,0.9546098435346936,16.3,163,395.17104001589985,0.9809599365331217,0.9775569427336688,0.003402993799453016
Gaussian,Random OX + Mixed,10,46967,47899,46824,0.9531370622008861,14.3,143,395.4205257429003,0.9805423912816551,0.9775569427336688,0.002985448547986388
Gaussian,Random PMX + Mixed,10,46998,47899,46824,0.9548409564238195,17.4,174,395.2802874631001,0.9811895864214284,0.9775569427336688,0.003632643687759661
Poisson,Heuristic Mut=0.40,10,46716,47899,46565,0.9332865013223104,15.1,151,395.19079700549975,0.9753021983757489,0.9721497317271759,0.003152466648573039
Poisson,Heuristic Mut=0.90,10,46716,47899,46565,0.9332964982109919,15.1,151,395.1734029109002,0.9753021983757489,0.9721497317271759,0.003152466648573039
Poisson,Heuristic OX + Mixed,10,46689,47899,46565,0.9323892755442955,12.4,124,395.15936941109993,0.9747385122862691,0.9721497317271759,0.002588780559093092
Poisson,Heuristic PMX + Mixed,10,46725,47899,46565,0.9329503866554066,16.0,160,395.2280105064001,0.9754900937389089,0.9721497317271759,0.0033403620117330216
Poisson,Random Mut=0.40,10,46692,47899,46565,0.9328781719892436,12.7,127,395.2240064455,0.974801144073989,0.9721497317271759,0.0026514123468130858
Poisson,Random Mut=0.90,10,46664,47899,46565,0.9306148364335399,9.9,99,395.2517587766997,0.9742165807219357,0.9721497317271759,0.002066848994759807
Poisson,Random OX + Mixed,10,46684,47899,46565,0.9317687297671696,11.9,119,395.1589913639003,0.9746341259734024,0.9721497317271759,0.0024843942462264347
Poisson,Random PMX + Mixed,10,46693,47899,46565,0.9328815053225771,12.8,128,395.18781951540007,0.9748220213365624,0.9721497317271759,0.002672289609386417
Uniform,Heuristic Mut=0.40,10,46367,47899,46227,0.9479350145711394,14.0,140,395.1988934218998,0.9680160337376563,0.9650932169773899,0.002922816760266394
Uniform,Heuristic Mut=0.90,10,46372,47899,46227,0.9463378022276556,14.5,145,395.32277846699964,0.968120420050523,0.9650932169773899,0.003027203073133051
Uniform,Heuristic OX + Mixed,10,46391,47899,46227,0.9473322466720999,16.4,164,395.44512245539954,0.9685170880394163,0.9650932169773899,0.003423871062026347
Uniform,Heuristic PMX + Mixed,10,46370,47899,46227,0.9468350145711393,14.3,143,395.3156588149992,0.9680786655253764,0.9650932169773899,0.002985448547986388
Uniform,Random Mut=0.40,10,46342,47899,46227,0.9452283429651034,11.5,115,395.20386737180013,0.967494102173323,0.9650932169773899,0.0024008851959331093
Uniform,Random Mut=0.90,10,46330,47899,46227,0.946182812106394,10.3,103,395.16595608109964,0.9672435750224431,0.9650932169773899,0.0021503580450531324
Uniform,Random OX + Mixed,10,46352,47899,46227,0.945058878763182,12.5,125,395.22898613310025,0.9677028747990564,0.9650932169773899,0.0026096578216664233
Uniform,Random PMX + Mixed,10,46352,47899,46227,0.9463283528438419,12.5,125,395.2970899610003,0.9677028747990564,0.9650932169773899,0.0026096578216664233
hustack,Heuristic Mut=0.40,10,1631,1903,1628,0.8827061120352893,0.3,3,30.488208917100202,0.8570677877036259,0.8554913294797688,0.0015764582238570678
hustack,Heuristic Mut=0.90,10,1631,1903,1628,0.8827061120352893,0.3,3,30.490271970300093,0.8570677877036259,0.8554913294797688,0.0015764582238570678
hustack,Heuristic OX + Mixed,10,1631,1903,1628,0.8827061120352893,0.3,3,30.484244058299375,0.8570677877036259,0.8554913294797688,0.0015764582238570678
hustack,Heuristic PMX + Mixed,10,1631,1903,1628,0.8827061120352893,0.3,3,30.489606142699994,0.8570677877036259,0.8554913294797688,0.0015764582238570678
hustack,Random Mut=0.40,10,1631,1903,1628,0.8827061120352893,0.3,3,32.483537358400284,0.8570677877036259,0.8554913294797688,0.0015764582238570678
hustack,Random Mut=0.90,10,1631,1903,1628,0.8827061120352893,0.3,3,32.48808860290046,0.8570677877036259,0.8554913294797688,0.0015764582238570678
hustack,Random OX + Mixed,10,1631,1903,1628,0.8827061120352893,0.3,3,32.48840715369952,0.8570677877036259,0.8554913294797688,0.0015764582238570678
hustack,Random PMX + Mixed,10,1631,1903,1628,0.8827061120352893,0.3,3,32.48258241260046,0.8570677877036259,0.8554913294797688,0.0015764582238570678
