Size_N,Strategy,Avg_Objective,Avg_Time_ms,Num_Testcases
200,AOS,2321.0,31317.99,5
200,Only_Init,2311.0,0.0,5
200,Only_Kick,2316.0,6288.95,5
200,Only_Shift,2311.0,20382.88,5
200,Only_Swap,2311.0,3428.15,5
200,Random_HCLS,2319.4,32251.24,5
800,AOS,9448.4,163132.05,5
800,Only_Init,9433.0,0.0,5
800,Only_Kick,9444.0,30132.67,5
800,Only_Shift,9433.0,109130.53,5
800,Only_Swap,9433.0,17494.71,5
800,Random_HCLS,9448.2,178034.36,5
1000,AOS,11826.8,227024.76,5
1000,Only_Init,11815.6,0.0,5
1000,Only_Kick,11824.2,45131.82,5
1000,Only_Shift,11815.6,158312.64,5
1000,Only_Swap,11815.6,23775.25,5
1000,Random_HCLS,11827.2,249191.9,5
