Kich_Thuoc_N,Ten_Bai_Toan,CP_SAT_Diem,CP_SAT_Time(ms),Gurobi_Diem,Gurobi_Time(ms),pywraplp_Diem,pywraplp_Time(ms)
0,hustack01,169,41174.57,169,299.8,169,3856.5
0,hustack02,167,430.51,167,291.1,167,1235.5
0,hustack03,37,57.43,37,69.0,37,102.3
0,hustack04,227,986.47,227,478.3,227,2241.8
0,hustack05,318,1970.58,318,623.7,318,11135.2
0,hustack06,69,114.21,69,140.5,69,1141.6
0,hustack07,200,1421.66,200,320.6,200,3543.4
0,hustack08,148,3285.17,148,261.0,148,10797.4
0,hustack09,284,1000020.53,284,560.4,284,9795.8
0,hustack10,12,13.07,12,39.0,12,25.4
20,Adversarial_20_30_10,150,1000013.55,150,305.7,150,16043.5
20,Exponential_20_30_10,170,1000017.71,170,317.7,170,46453.6
20,Gaussian_20_30_10,180,760.19,180,259.5,180,29458.2
20,Poisson_20_30_10,180,2020.26,180,283.7,180,27699.8
20,Uniform_20_30_10,180,1564.81,180,281.9,180,5609.0
50,Adversarial_50_75_20,535,1000038.21,545,1000038.2,479,1000326.8
50,Exponential_50_75_20,549,1000027.82,550,1899.8,550,935377.1
50,Gaussian_50_75_20,553,1000030.52,553,1693.1,528,1000173.0
50,Poisson_50_75_20,480,1000018.91,480,83082.1,480,1000149.1
50,Uniform_50_75_20,585,1000082.36,585,2399.4,574,1000318.4
80,Adversarial_80_120_32,948,1000096.83,948,7323.6,889,1000932.0
80,Exponential_80_120_32,868,1000041.67,869,6703.5,822,1001472.9
80,Gaussian_80_120_32,960,200250.26,960,6025.6,916,1002160.0
80,Poisson_80_120_32,909,1000047.02,910,6781.8,847,1000540.3
80,Uniform_80_120_32,944,1000078.0,944,6205.8,888,1003306.8
100,Adversarial_100_150_40,1160,1000226.57,1160,19173.8,1073,1003778.9
100,Exponential_100_150_40,1114,1000050.88,1123,9877.9,1044,1000582.8
100,Gaussian_100_150_40,1200,219656.39,1200,9359.3,1174,1001140.6
100,Poisson_100_150_40,1160,1000066.04,1162,11961.5,1091,1001592.7
100,Uniform_100_150_40,1188,1000115.4,1188,11455.6,1145,1007428.6
150,Adversarial_150_225_60,1683,1000479.46,1739,52242.1,1558,1003990.4
150,Exponential_150_225_60,1644,1000093.94,1647,20960.1,1572,1001436.2
150,Gaussian_150_225_60,1800,453085.44,1800,21022.5,1760,1002287.4
150,Poisson_150_225_60,1795,1000149.99,1795,15036.8,1770,1003166.0
150,Uniform_150_225_60,1783,1000263.98,1783,26021.0,1725,1004877.5
200,Adversarial_200_300_80,1711,1000063.45,2346,49605.7,2191,1008888.6
200,Exponential_200_300_80,2255,1000192.8,2263,1000527.6,1981,1003955.3
200,Gaussian_200_300_80,2400,699533.06,2400,42450.2,2359,1004815.4
200,Poisson_200_300_80,2400,454213.4,2400,29845.6,2337,1003441.0
200,Uniform_200_300_80,2397,1000535.16,2397,47366.9,2348,1007819.4
300,Adversarial_300_450_120,673,1000344.45,3556,114738.7,3216,1018336.6
300,Exponential_300_450_120,3495,1000479.67,3517,643804.0,3190,1007019.3
300,Gaussian_300_450_120,3385,1001270.67,3600,104381.1,3579,1013570.1
300,Poisson_300_450_120,3600,818836.33,3600,55355.1,3557,1007715.5
300,Uniform_300_450_120,2893,1001452.82,3600,115661.5,3544,1010804.0
500,Adversarial_500_750_200,N/A,913428.07,N/A,1002854.4,N/A,N/A
500,Exponential_500_750_200,4918,1001280.25,5890,620960.5,N/A,N/A
500,Gaussian_500_750_200,1817,1005353.56,6000,375595.8,N/A,N/A
500,Poisson_500_750_200,3459,1002895.65,6000,230071.8,N/A,N/A
500,Uniform_500_750_200,2540,1005351.31,6000,321566.7,N/A,N/A
800,Adversarial_800_1200_320,N/A,807886.72,N/A,N/A,N/A,N/A
800,Exponential_800_1200_320,3319,1004801.73,N/A,N/A,N/A,N/A
800,Gaussian_800_1200_320,25,1001810.11,N/A,N/A,N/A,N/A
1000,Adversarial_1000_1500_400,N/A,1006615.61,N/A,N/A,N/A,N/A
1000,Exponential_1000_1500_400,2022,1001892.2,N/A,N/A,N/A,N/A
1000,Gaussian_1000_1500_400,N/A,915866.55,N/A,N/A,N/A,N/A
1000,Poisson_1000_1500_400,56,1005224.46,N/A,N/A,N/A,N/A
1000,Uniform_1000_1500_400,N/A,881309.14,N/A,N/A,N/A,N/A
