Kich_Thuoc_N,Ten_Bai_Toan,Greedy_Diem,Greedy_Time(s),Gurobi_Diem,Gurobi_Time(s),CP_SAT_Diem,CP_SAT_Time(s),pywraplp_Diem,pywraplp_Time(s)
0,Heuristic_hustack01,169,0.0031,N/A,N/A,N/A,N/A,N/A,N/A
0,Heuristic_hustack02,167,0.0024,N/A,N/A,N/A,N/A,N/A,N/A
0,Heuristic_hustack03,37,0.0008,N/A,N/A,N/A,N/A,N/A,N/A
0,Heuristic_hustack04,227,0.0035,N/A,N/A,N/A,N/A,N/A,N/A
0,Heuristic_hustack05,318,0.0064,N/A,N/A,N/A,N/A,N/A,N/A
0,Heuristic_hustack06,69,0.0011,N/A,N/A,N/A,N/A,N/A,N/A
0,Heuristic_hustack07,200,0.003,N/A,N/A,N/A,N/A,N/A,N/A
0,Heuristic_hustack08,147,0.0053,N/A,N/A,N/A,N/A,N/A,N/A
0,Heuristic_hustack09,283,0.0051,N/A,N/A,N/A,N/A,N/A,N/A
0,Heuristic_hustack10,12,0.0002,N/A,N/A,N/A,N/A,N/A,N/A
0,Overall_Evaluation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,hustack01,N/A,N/A,169,0.2998,169,41.1746,169,3.8565
0,hustack02,N/A,N/A,167,0.2911,167,0.4305,167,1.2355
0,hustack03,N/A,N/A,37,0.069,37,0.0574,37,0.1023
0,hustack04,N/A,N/A,227,0.4783,227,0.9865,227,2.2418
0,hustack05,N/A,N/A,318,0.6237,318,1.9706,318,11.1352
0,hustack06,N/A,N/A,69,0.1405,69,0.1142,69,1.1416
0,hustack07,N/A,N/A,200,0.3206,200,1.4217,200,3.5434
0,hustack08,N/A,N/A,148,0.261,148,3.2852,148,10.7974
0,hustack09,N/A,N/A,284,0.5604,284,1000.0205,284,9.7958
0,hustack10,N/A,N/A,12,0.039,12,0.0131,12,0.0254
20,Adversarial_20_30_10,N/A,N/A,150,0.3057,150,1000.0136,150,16.0435
20,Exponential_20_30_10,N/A,N/A,170,0.3177,170,1000.0177,170,46.4536
20,Gaussian_20_30_10,N/A,N/A,180,0.2595,180,0.7602,180,29.4582
20,Heuristic_Adversarial_20_30_10,143,0.0072,N/A,N/A,N/A,N/A,N/A,N/A
20,Heuristic_Exponential_20_30_10,160,0.0073,N/A,N/A,N/A,N/A,N/A,N/A
20,Heuristic_Gaussian_20_30_10,178,0.0056,N/A,N/A,N/A,N/A,N/A,N/A
20,Heuristic_Poisson_20_30_10,174,0.0091,N/A,N/A,N/A,N/A,N/A,N/A
20,Heuristic_Uniform_20_30_10,180,0.0107,N/A,N/A,N/A,N/A,N/A,N/A
20,Poisson_20_30_10,N/A,N/A,180,0.2837,180,2.0203,180,27.6998
20,Uniform_20_30_10,N/A,N/A,180,0.2819,180,1.5648,180,5.609
50,Adversarial_50_75_20,N/A,N/A,545,1000.0382,535,1000.0382,479,1000.3268
50,Exponential_50_75_20,N/A,N/A,550,1.8998,549,1000.0278,550,935.3771
50,Gaussian_50_75_20,N/A,N/A,553,1.6931,553,1000.0305,528,1000.173
50,Heuristic_Adversarial_50_75_20,533,0.0367,N/A,N/A,N/A,N/A,N/A,N/A
50,Heuristic_Exponential_50_75_20,541,0.0323,N/A,N/A,N/A,N/A,N/A,N/A
50,Heuristic_Gaussian_50_75_20,553,0.0304,N/A,N/A,N/A,N/A,N/A,N/A
50,Heuristic_Poisson_50_75_20,473,0.0554,N/A,N/A,N/A,N/A,N/A,N/A
50,Heuristic_Uniform_50_75_20,579,0.0502,N/A,N/A,N/A,N/A,N/A,N/A
50,Poisson_50_75_20,N/A,N/A,480,83.0821,480,1000.0189,480,1000.1491
50,Uniform_50_75_20,N/A,N/A,585,2.3994,585,1000.0824,574,1000.3184
80,Adversarial_80_120_32,N/A,N/A,948,7.3236,948,1000.0968,889,1000.932
80,Exponential_80_120_32,N/A,N/A,869,6.7035,868,1000.0417,822,1001.4729
80,Gaussian_80_120_32,N/A,N/A,960,6.0256,960,200.2503,916,1002.16
80,Heuristic_Adversarial_80_120_32,947,0.0576,N/A,N/A,N/A,N/A,N/A,N/A
80,Heuristic_Exponential_80_120_32,855,0.0491,N/A,N/A,N/A,N/A,N/A,N/A
80,Heuristic_Gaussian_80_120_32,960,0.048,N/A,N/A,N/A,N/A,N/A,N/A
80,Heuristic_Poisson_80_120_32,905,0.1033,N/A,N/A,N/A,N/A,N/A,N/A
80,Heuristic_Uniform_80_120_32,944,0.1117,N/A,N/A,N/A,N/A,N/A,N/A
80,Poisson_80_120_32,N/A,N/A,910,6.7818,909,1000.047,847,1000.5403
80,Uniform_80_120_32,N/A,N/A,944,6.2058,944,1000.078,888,1003.3068
100,Adversarial_100_150_40,N/A,N/A,1160,19.1738,1160,1000.2266,1073,1003.7789
100,Exponential_100_150_40,N/A,N/A,1123,9.8779,1114,1000.0509,1044,1000.5828
100,Gaussian_100_150_40,N/A,N/A,1200,9.3593,1200,219.6564,1174,1001.1406
100,Heuristic_Adversarial_100_150_40,1156,0.064,N/A,N/A,N/A,N/A,N/A,N/A
100,Heuristic_Exponential_100_150_40,1095,0.0717,N/A,N/A,N/A,N/A,N/A,N/A
100,Heuristic_Gaussian_100_150_40,1199,0.0692,N/A,N/A,N/A,N/A,N/A,N/A
100,Heuristic_Poisson_100_150_40,1158,0.1217,N/A,N/A,N/A,N/A,N/A,N/A
100,Heuristic_Uniform_100_150_40,1188,0.1185,N/A,N/A,N/A,N/A,N/A,N/A
100,Poisson_100_150_40,N/A,N/A,1162,11.9615,1160,1000.066,1091,1001.5927
100,Uniform_100_150_40,N/A,N/A,1188,11.4556,1188,1000.1154,1145,1007.4286
150,Adversarial_150_225_60,N/A,N/A,1739,52.2421,1683,1000.4795,1558,1003.9904
150,Exponential_150_225_60,N/A,N/A,1647,20.9601,1644,1000.0939,1572,1001.4362
150,Gaussian_150_225_60,N/A,N/A,1800,21.0225,1800,453.0854,1760,1002.2874
150,Heuristic_Adversarial_150_225_60,1732,0.0919,N/A,N/A,N/A,N/A,N/A,N/A
150,Heuristic_Exponential_150_225_60,1625,0.1067,N/A,N/A,N/A,N/A,N/A,N/A
150,Heuristic_Gaussian_150_225_60,1798,0.1169,N/A,N/A,N/A,N/A,N/A,N/A
150,Heuristic_Poisson_150_225_60,1794,0.1652,N/A,N/A,N/A,N/A,N/A,N/A
150,Heuristic_Uniform_150_225_60,1778,0.202,N/A,N/A,N/A,N/A,N/A,N/A
150,Poisson_150_225_60,N/A,N/A,1795,15.0368,1795,1000.15,1770,1003.166
150,Uniform_150_225_60,N/A,N/A,1783,26.021,1783,1000.264,1725,1004.8775
200,Adversarial_200_300_80,N/A,N/A,2346,49.6057,1711,1000.0634,2191,1008.8886
200,Exponential_200_300_80,N/A,N/A,2263,1000.5276,2255,1000.1928,1981,1003.9553
200,Gaussian_200_300_80,N/A,N/A,2400,42.4502,2400,699.5331,2359,1004.8154
200,Heuristic_Adversarial_200_300_80,2343,0.1213,N/A,N/A,N/A,N/A,N/A,N/A
200,Heuristic_Exponential_200_300_80,2247,0.1311,N/A,N/A,N/A,N/A,N/A,N/A
200,Heuristic_Gaussian_200_300_80,2396,0.1615,N/A,N/A,N/A,N/A,N/A,N/A
200,Heuristic_Poisson_200_300_80,2400,0.2531,N/A,N/A,N/A,N/A,N/A,N/A
200,Heuristic_Uniform_200_300_80,2397,0.3085,N/A,N/A,N/A,N/A,N/A,N/A
200,Poisson_200_300_80,N/A,N/A,2400,29.8456,2400,454.2134,2337,1003.441
200,Uniform_200_300_80,N/A,N/A,2397,47.3669,2397,1000.5352,2348,1007.8194
300,Adversarial_300_450_120,N/A,N/A,3556,114.7387,673,1000.3444,3216,1018.3366
300,Exponential_300_450_120,N/A,N/A,3517,643.804,3495,1000.4797,3190,1007.0193
300,Gaussian_300_450_120,N/A,N/A,3600,104.3811,3385,1001.2707,3579,1013.5701
300,Heuristic_Adversarial_300_450_120,3554,0.2016,N/A,N/A,N/A,N/A,N/A,N/A
300,Heuristic_Exponential_300_450_120,3509,0.1875,N/A,N/A,N/A,N/A,N/A,N/A
300,Heuristic_Gaussian_300_450_120,3598,0.4329,N/A,N/A,N/A,N/A,N/A,N/A
300,Heuristic_Poisson_300_450_120,3592,0.5578,N/A,N/A,N/A,N/A,N/A,N/A
300,Heuristic_Uniform_300_450_120,3599,0.8055,N/A,N/A,N/A,N/A,N/A,N/A
300,Poisson_300_450_120,N/A,N/A,3600,55.3551,3600,818.8363,3557,1007.7155
300,Uniform_300_450_120,N/A,N/A,3600,115.6615,2893,1001.4528,3544,1010.804
500,Adversarial_500_750_200,N/A,N/A,N/A,1002.8544,N/A,913.4281,N/A,N/A
500,Exponential_500_750_200,N/A,N/A,5890,620.9605,4918,1001.2803,N/A,N/A
500,Gaussian_500_750_200,N/A,N/A,6000,375.5958,1817,1005.3536,N/A,N/A
500,Heuristic_Adversarial_500_750_200,5838,0.4763,N/A,N/A,N/A,N/A,N/A,N/A
500,Heuristic_Exponential_500_750_200,5870,0.448,N/A,N/A,N/A,N/A,N/A,N/A
500,Heuristic_Gaussian_500_750_200,5983,1.5571,N/A,N/A,N/A,N/A,N/A,N/A
500,Heuristic_Poisson_500_750_200,6000,1.516,N/A,N/A,N/A,N/A,N/A,N/A
500,Heuristic_Uniform_500_750_200,5995,2.1419,N/A,N/A,N/A,N/A,N/A,N/A
500,Poisson_500_750_200,N/A,N/A,6000,230.0718,3459,1002.8957,N/A,N/A
500,Uniform_500_750_200,N/A,N/A,6000,321.5667,2540,1005.3513,N/A,N/A
800,Adversarial_800_1200_320,N/A,N/A,N/A,N/A,N/A,807.8867,N/A,N/A
800,Exponential_800_1200_320,N/A,N/A,N/A,N/A,3319,1004.8017,N/A,N/A
800,Gaussian_800_1200_320,N/A,N/A,N/A,N/A,25,1001.8101,N/A,N/A
800,Heuristic_Adversarial_800_1200_320,9397,1.6008,N/A,N/A,N/A,N/A,N/A,N/A
800,Heuristic_Exponential_800_1200_320,9457,1.3133,N/A,N/A,N/A,N/A,N/A,N/A
