Kích thước (N_M_T),Điểm_Adversarial,Time_Adversarial(s),Điểm_Exponential,Time_Exponential(s),Điểm_Uniform,Time_Uniform(s),Điểm_Poisson,Time_Poisson(s),Điểm_Gaussian,Time_Gaussian(s),Điểm_hustack,Time_hustack(s)
20_30_10,157,20.0015,188,20.0019,189,19.9569,145,19.9513,161,20.0027,N/A,N/A
50_75_20,493,90.0241,376,90.0088,648,90.008,620,90.0105,687,90.0054,N/A,N/A
80_120_32,1064,180.0088,760,180.0148,1126,180.0254,1118,180.0257,1156,180.0301,N/A,N/A
100_150_40,1390,180.0399,1123,180.0181,1386,180.012,1417,180.0356,1449,180.021,N/A,N/A
150_225_60,2022,360.0281,1936,360.0299,2137,360.0269,2213,360.0309,2192,360.0485,N/A,N/A
200_300_80,2681,360.0631,2478,360.0329,2904,360.0241,2958,360.0877,2935,360.027,N/A,N/A
300_450_120,3924,360.0676,4030,360.0457,4277,360.1656,4473,360.1545,4385,360.0717,N/A,N/A
500_750_200,6630,600.1792,6993,600.2523,7287,600.1581,7329,600.419,7405,600.1809,N/A,N/A
800_1200_320,10608,900.6397,11450,900.2006,11755,900.6952,11833,900.5303,11808,900.1853,N/A,N/A
1000_1500_400,13211,900.2891,14414,900.6444,14661,902.0843,14619,901.0347,14798,901.1697,N/A,N/A
