Kích thước (N),Tên Bài Toán,Điểm_Rho_0.1,Time_Rho_0.1(s),Điểm_Rho_0.2,Time_Rho_0.2(s),Điểm_Rho_0.5,Time_Rho_0.5(s),Điểm_Rho_0.9,Time_Rho_0.9(s)
200,Adversarial_200_300_80,2248,19.02,2248,19.16,2247,19.36,2243,19.63
200,Exponential_200_300_80,2169,18.15,2171,18.04,2174,18.32,2171,18.47
200,Gaussian_200_300_80,2397,20.7,2397,20.52,2397,20.85,2397,21.03
200,Poisson_200_300_80,2399,20.4,2399,20.49,2399,20.88,2399,20.9
200,Uniform_200_300_80,2390,20.16,2390,20.44,2391,20.52,2390,21.12
800,Adversarial_800_1200_320,9068,87.88,9070,91.07,9049,90.57,9060,93.02
800,Exponential_800_1200_320,9395,89.4,9395,89.91,9392,93.71,9393,94.8
800,Gaussian_800_1200_320,9589,94.89,9589,94.58,9589,97.06,9589,98.66
800,Poisson_800_1200_320,9596,93.65,9596,94.71,9596,97.18,9596,98.87
800,Uniform_800_1200_320,9592,93.0,9592,93.22,9592,96.66,9592,98.17
1000,Adversarial_1000_1500_400,11345,115.08,11355,116.54,11348,120.75,11362,124.02
1000,Exponential_1000_1500_400,11854,126.78,11850,129.67,11852,128.52,11854,135.52
1000,Gaussian_1000_1500_400,11992,129.66,11992,131.63,11992,136.07,11993,140.25
1000,Poisson_1000_1500_400,11991,124.6,11991,126.04,11991,130.46,11991,134.66
1000,Uniform_1000_1500_400,11948,123.24,11946,125.17,11946,127.96,11945,130.86
