Kích thước (N),Tên Bài Toán,Điểm_AOS,Time_AOS(s),Điểm_Only_Init,Time_Only_Init(s),Điểm_Only_Kick,Time_Only_Kick(s),Điểm_Only_Shift,Time_Only_Shift(s),Điểm_Only_Swap,Time_Only_Swap(s),Điểm_Random_HCLS,Time_Random_HCLS(s)
200,Adversarial_200_300_80,2248,29.16,2223,0.0,2236,13.51,2223,19.52,2223,3.43,2247,32.78
200,Exponential_200_300_80,2171,26.91,2146,0.0,2158,14.28,2146,18.49,2146,3.01,2164,27.72
200,Gaussian_200_300_80,2397,31.76,2397,0.0,2397,1.11,2397,21.56,2397,4.02,2397,32.59
200,Poisson_200_300_80,2399,35.09,2399,0.0,2399,0.95,2399,21.08,2399,3.31,2399,36.95
200,Uniform_200_300_80,2390,33.67,2390,0.0,2390,1.6,2390,21.25,2390,3.37,2390,31.22
800,Adversarial_800_1200_320,9070,156.38,9003,0.0,9053,72.26,9003,98.37,9003,16.75,9065,161.99
800,Exponential_800_1200_320,9395,151.03,9385,0.0,9390,56.65,9385,104.17,9385,16.12,9399,158.66
800,Gaussian_800_1200_320,9589,177.63,9589,0.0,9589,8.56,9589,117.17,9589,19.45,9589,207.29
800,Poisson_800_1200_320,9596,166.05,9596,0.0,9596,5.09,9596,107.53,9596,16.55,9596,177.97
800,Uniform_800_1200_320,9592,164.58,9592,0.0,9592,8.11,9592,118.42,9592,18.6,9592,184.25
1000,Adversarial_1000_1500_400,11355,202.46,11307,0.0,11339,107.93,11307,143.92,11307,22.55,11351,229.32
1000,Exponential_1000_1500_400,11850,221.64,11844,0.0,11853,49.84,11844,144.15,11844,22.45,11854,245.54
1000,Gaussian_1000_1500_400,11992,227.71,11992,0.0,11992,17.24,11992,168.59,11992,24.93,11993,252.39
1000,Poisson_1000_1500_400,11991,229.37,11991,0.0,11991,16.63,11991,161.65,11991,23.1,11991,243.91
1000,Uniform_1000_1500_400,11946,253.94,11944,0.0,11946,34.02,11944,173.26,11944,25.84,11947,274.8
