Tên File,Trạng thái,Điểm tối ưu (Fitness),Thời gian (s)
AOS_Adversarial_1000_1500_400.txt,PARTIAL,11390,115.1031
AOS_Adversarial_100_150_40.txt,PARTIAL,1096,11.1043
AOS_Adversarial_150_225_60.txt,PARTIAL,1680,17.6862
AOS_Adversarial_200_300_80.txt,PARTIAL,2253,22.9582
AOS_Adversarial_20_30_10.txt,PARTIAL,136,1.0357
AOS_Adversarial_300_450_120.txt,PARTIAL,3353,34.2254
AOS_Adversarial_500_750_200.txt,PARTIAL,5620,49.3012
AOS_Adversarial_50_75_20.txt,PARTIAL,485,6.1017
AOS_Adversarial_800_1200_320.txt,PARTIAL,9073,87.9192
AOS_Adversarial_80_120_32.txt,PARTIAL,882,9.2361
AOS_Exponential_1000_1500_400.txt,PARTIAL,11841,119.3661
AOS_Exponential_100_150_40.txt,PARTIAL,1007,10.3877
AOS_Exponential_150_225_60.txt,PARTIAL,1597,16.6259
AOS_Exponential_200_300_80.txt,PARTIAL,2162,20.8792
AOS_Exponential_20_30_10.txt,PARTIAL,157,0.6707
AOS_Exponential_300_450_120.txt,PARTIAL,3431,28.2284
AOS_Exponential_500_750_200.txt,PARTIAL,5820,52.1109
AOS_Exponential_50_75_20.txt,PARTIAL,518,6.3197
AOS_Exponential_800_1200_320.txt,PARTIAL,9380,253.1031
AOS_Exponential_80_120_32.txt,PARTIAL,833,8.7303
AOS_Gaussian_1000_1500_400.txt,PARTIAL,11996,122.9289
AOS_Gaussian_100_150_40.txt,FEASIBLE,1200,0.001
AOS_Gaussian_150_225_60.txt,PARTIAL,1790,18.7707
AOS_Gaussian_200_300_80.txt,PARTIAL,2392,24.521
AOS_Gaussian_20_30_10.txt,PARTIAL,175,1.7041
AOS_Gaussian_300_450_120.txt,FEASIBLE,3600,0.0005
AOS_Gaussian_500_750_200.txt,PARTIAL,5997,73.5028
AOS_Gaussian_50_75_20.txt,PARTIAL,534,6.2867
AOS_Gaussian_800_1200_320.txt,PARTIAL,9591,116.9174
AOS_Gaussian_80_120_32.txt,PARTIAL,946,10.7323
AOS_Poisson_1000_1500_400.txt,PARTIAL,11993,121.1488
AOS_Poisson_100_150_40.txt,PARTIAL,1104,11.453
AOS_Poisson_150_225_60.txt,PARTIAL,1794,18.5192
AOS_Poisson_200_300_80.txt,PARTIAL,2399,24.8079
AOS_Poisson_20_30_10.txt,PARTIAL,171,1.0983
AOS_Poisson_300_450_120.txt,PARTIAL,3599,30.0261
AOS_Poisson_500_750_200.txt,PARTIAL,5996,56.1018
AOS_Poisson_50_75_20.txt,PARTIAL,465,5.1852
AOS_Poisson_800_1200_320.txt,PARTIAL,9595,95.8582
AOS_Poisson_80_120_32.txt,PARTIAL,869,9.027
AOS_Uniform_1000_1500_400.txt,PARTIAL,11955,121.3604
AOS_Uniform_100_150_40.txt,PARTIAL,1178,13.1958
AOS_Uniform_150_225_60.txt,PARTIAL,1779,17.9878
AOS_Uniform_200_300_80.txt,PARTIAL,2386,26.9882
AOS_Uniform_20_30_10.txt,FEASIBLE,180,0.001
AOS_Uniform_300_450_120.txt,PARTIAL,3599,30.4423
AOS_Uniform_500_750_200.txt,PARTIAL,5989,60.6337
AOS_Uniform_50_75_20.txt,PARTIAL,572,6.2069
AOS_Uniform_800_1200_320.txt,PARTIAL,9593,136.1975
AOS_Uniform_80_120_32.txt,PARTIAL,940,9.6948
AOS_hustack01.txt,PARTIAL,164,1.4495
AOS_hustack02.txt,PARTIAL,167,1.5401
AOS_hustack03.txt,PARTIAL,37,0.224
AOS_hustack04.txt,PARTIAL,227,2.6017
AOS_hustack05.txt,PARTIAL,318,3.3041
AOS_hustack06.txt,PARTIAL,69,0.4888
AOS_hustack07.txt,PARTIAL,199,2.1394
AOS_hustack08.txt,PARTIAL,137,0.763
AOS_hustack09.txt,PARTIAL,283,3.017
AOS_hustack10.txt,FEASIBLE,12,0.0
