Iteration,Time_Seconds,Objective_Value,W_Shift,W_Swap,W_Kick
0,0.0,133,100.0,100.0,100.0
10,0.0010094642639160156,133,51.2,40.96000000000001,51.2
13,0.0010094642639160156,133,50.96000000000001,33.76800000000001,40.96000000000001
17,0.0020029544830322266,133,42.61440000000001,27.01440000000001,32.76800000000001
20,0.0020029544830322266,133,34.09152000000001,27.01440000000001,20.97152000000001
29,0.0020029544830322266,133,31.81857280000001,11.065098240000005,10.737418240000006
30,0.0020029544830322266,133,25.454858240000007,11.065098240000005,10.737418240000006
34,0.003002166748046875,133,26.291109273600007,11.065098240000005,6.871947673600004
37,0.003002166748046875,133,26.826309935104007,11.065098240000005,5.497558138880003
40,0.003002166748046875,133,27.168838358466566,8.852078592000003,5.497558138880003
42,0.003002166748046875,133,27.388056549418604,8.852078592000003,5.497558138880003
50,0.004001140594482422,133,11.218147962641861,5.6653302988800025,5.0
51,0.004001140594482422,133,18.97451837011349,5.6653302988800025,5.0
60,0.004001140594482422,133,14.974056143615032,5.0,5.0
70,0.005004405975341797,133,5.0,5.0,5.0
80,0.005004405975341797,133,5.0,5.0,5.0
90,0.005004405975341797,133,5.0,5.0,5.0
93,0.006018638610839844,133,14.0,5.0,5.0
100,0.006018638610839844,133,8.96,5.0,5.0
110,0.006018638610839844,133,5.0,5.0,5.0
120,0.007016420364379883,133,5.0,5.0,5.0
123,0.007016420364379883,133,14.0,5.0,5.0
130,0.007016420364379883,133,11.200000000000001,5.0,5.0
140,0.008014917373657227,133,7.168000000000001,5.0,5.0
150,0.008014917373657227,133,5.0,5.0,5.0
158,0.009006500244140625,133,14.0,5.0,5.0
160,0.009006500244140625,133,8.96,5.0,5.0
164,0.009006500244140625,133,15.7344,5.0,5.0
170,0.009006500244140625,133,6.4448102400000025,5.0,5.0
178,0.010003805160522461,133,15.155848192000002,5.0,5.0
180,0.010003805160522461,133,9.699742842880003,5.0,5.0
190,0.010003805160522461,133,6.207835419443203,5.0,5.0
200,0.011026620864868164,133,5.0,5.0,5.0
210,0.011026620864868164,133,5.0,5.0,5.0
211,0.011026620864868164,133,5.0,5.0,14.0
220,0.012014627456665039,133,5.0,5.0,6.374400000000001
230,0.013002634048461914,133,5.0,5.0,5.0
236,0.013002634048461914,133,14.0,5.0,5.0
240,0.013002634048461914,133,8.96,5.0,5.0
250,0.014000654220581055,133,5.0,5.0,5.0
252,0.014000654220581055,133,14.0,5.0,5.0
256,0.014000654220581055,133,18.96,5.0,5.0
260,0.014000654220581055,133,12.134400000000001,5.0,5.0
264,0.014000654220581055,133,14.970250240000002,5.0,5.0
268,0.014000654220581055,133,21.976200192,5.0,5.0
270,0.015003681182861328,133,17.5809601536,5.0,5.0
275,0.015003681182861328,133,15.760929023131649,5.0,5.0
276,0.015003681182861328,133,22.608743218505317,5.0,5.0
277,0.015003681182861328,133,28.086994574804255,5.0,5.0
280,0.015003681182861328,133,22.469595659843407,5.0,5.0
282,0.015003681182861328,133,24.380541222299783,5.0,5.0
288,0.01600360870361328,133,19.98626968465399,5.0,5.0
290,0.01600360870361328,133,12.791212598178555,5.0,5.0
300,0.017003774642944336,133,6.549100850267421,5.0,5.0
309,0.018001794815063477,133,5.0,5.0,14.0
310,0.018001794815063477,133,5.0,5.0,11.200000000000001
320,0.018001794815063477,133,5.0,5.0,6.374400000000001
323,0.018001794815063477,133,14.0,5.0,5.0
324,0.018001794815063477,133,21.200000000000003,5.0,5.0
330,0.01900005340576172,133,8.683520000000005,5.0,5.0
340,0.01900005340576172,133,5.0,5.0,5.0
350,0.01900005340576172,133,5.0,5.0,5.0
360,0.01999950408935547,133,5.0,5.0,14.0
365,0.01999950408935547,133,14.0,5.0,7.968000000000001
366,0.01999950408935547,133,14.0,5.0,16.3744
370,0.01999950408935547,133,11.200000000000001,5.0,14.099520000000002
380,0.020999431610107422,133,5.734400000000001,5.0,5.0
383,0.020999431610107422,133,5.0,5.0,14.0
390,0.020999431610107422,133,5.0,5.0,5.734400000000001
398,0.020999431610107422,133,14.0,5.0,5.0
400,0.020999431610107422,133,8.96,5.0,5.0
410,0.021999359130859375,133,5.0,5.0,5.0
420,0.021999359130859375,133,5.0,5.0,5.0
425,0.021999359130859375,134,5.0,5.0,14.0
430,0.023000001907348633,134,5.0,5.0,9.96
437,0.023000001907348633,134,14.0,5.0,5.099520000000002
440,0.023000001907348633,134,11.200000000000001,5.0,5.0
450,0.023000001907348633,134,7.168000000000001,5.0,5.0
452,0.023000001907348633,134,14.587520000000001,5.0,5.0
453,0.023000001907348633,135,14.587520000000001,5.0,14.0
