Dataset_Type,File,GA_pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initheuristic_ga_low_mutation_0p4,GA_pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,GA_pop40_elite5_cx0p85_ox_mut0p75_mixed_tk3_initheuristic_ga_base_ox_mixed,GA_pop40_elite5_cx0p85_ox_mut0p75_mixed_tk3_initrandom_r_base_ox_mixed,GA_pop40_elite5_cx0p85_ox_mut0p9_mixed_tk3_initheuristic_ga_high_mutation_0p9,GA_pop40_elite5_cx0p85_ox_mut0p9_mixed_tk3_initrandom_r_high_mutation_0p9,GA_pop40_elite5_cx0p85_pmx_mut0p75_mixed_tk3_initheuristic_ga_pmx_mixed,GA_pop40_elite5_cx0p85_pmx_mut0p75_mixed_tk3_initrandom_r_pmx_mixed,Greedy
Adversarial,Adversarial_1000_1500_400,"{'Objective': 13211, 'Success_Rate': 0.8807333333333334, 'Time': 900.7155623810004, 'Status': 'VALID'}","{'Objective': 13126, 'Success_Rate': 0.8750666666666667, 'Time': 900.8607188339996, 'Status': 'VALID'}","{'Objective': 13211, 'Success_Rate': 0.8807333333333334, 'Time': 900.6129879350001, 'Status': 'VALID'}","{'Objective': 13129, 'Success_Rate': 0.8752666666666666, 'Time': 901.0387724690004, 'Status': 'VALID'}","{'Objective': 13211, 'Success_Rate': 0.8807333333333334, 'Time': 900.4683283289996, 'Status': 'VALID'}","{'Objective': 13133, 'Success_Rate': 0.8755333333333334, 'Time': 900.4536321549999, 'Status': 'VALID'}","{'Objective': 13211, 'Success_Rate': 0.8807333333333334, 'Time': 900.2890622010004, 'Status': 'VALID'}","{'Objective': 13140, 'Success_Rate': 0.876, 'Time': 900.4833233619997, 'Status': 'VALID'}",
Adversarial,Adversarial_100_150_40,"{'Objective': 1390, 'Success_Rate': 0.9266666666666666, 'Time': 180.04137759699995, 'Status': 'VALID'}","{'Objective': 1386, 'Success_Rate': 0.924, 'Time': 180.03716994, 'Status': 'VALID'}","{'Objective': 1390, 'Success_Rate': 0.9266666666666666, 'Time': 180.0358074840001, 'Status': 'VALID'}","{'Objective': 1388, 'Success_Rate': 0.9253333333333332, 'Time': 180.0161635610001, 'Status': 'VALID'}","{'Objective': 1390, 'Success_Rate': 0.9266666666666666, 'Time': 180.0121337630001, 'Status': 'VALID'}","{'Objective': 1386, 'Success_Rate': 0.924, 'Time': 180.008730065, 'Status': 'VALID'}","{'Objective': 1390, 'Success_Rate': 0.9266666666666666, 'Time': 180.03990762499996, 'Status': 'VALID'}","{'Objective': 1385, 'Success_Rate': 0.9233333333333332, 'Time': 180.027969234, 'Status': 'VALID'}",
Adversarial,Adversarial_150_225_60,"{'Objective': 2022, 'Success_Rate': 0.8986666666666666, 'Time': 360.05039357700014, 'Status': 'VALID'}","{'Objective': 2005, 'Success_Rate': 0.8911111111111111, 'Time': 360.053220461, 'Status': 'VALID'}","{'Objective': 2022, 'Success_Rate': 0.8986666666666666, 'Time': 360.0203581249999, 'Status': 'VALID'}","{'Objective': 2008, 'Success_Rate': 0.8924444444444445, 'Time': 360.05753356700006, 'Status': 'VALID'}","{'Objective': 2022, 'Success_Rate': 0.8986666666666666, 'Time': 360.0479374150001, 'Status': 'VALID'}","{'Objective': 2006, 'Success_Rate': 0.8915555555555555, 'Time': 360.071494501, 'Status': 'VALID'}","{'Objective': 2022, 'Success_Rate': 0.8986666666666666, 'Time': 360.02806143500004, 'Status': 'VALID'}","{'Objective': 2005, 'Success_Rate': 0.8911111111111111, 'Time': 360.0137304269999, 'Status': 'VALID'}",
Adversarial,Adversarial_200_300_80,"{'Objective': 2681, 'Success_Rate': 0.8936666666666667, 'Time': 360.0289345699998, 'Status': 'VALID'}","{'Objective': 2664, 'Success_Rate': 0.888, 'Time': 360.05391709700007, 'Status': 'VALID'}","{'Objective': 2681, 'Success_Rate': 0.8936666666666667, 'Time': 360.0366603089999, 'Status': 'VALID'}","{'Objective': 2671, 'Success_Rate': 0.8903333333333333, 'Time': 360.0496797200001, 'Status': 'VALID'}","{'Objective': 2681, 'Success_Rate': 0.8936666666666667, 'Time': 360.0660646829999, 'Status': 'VALID'}","{'Objective': 2671, 'Success_Rate': 0.8903333333333333, 'Time': 360.02681965500005, 'Status': 'VALID'}","{'Objective': 2681, 'Success_Rate': 0.8936666666666667, 'Time': 360.06307994300005, 'Status': 'VALID'}","{'Objective': 2666, 'Success_Rate': 0.8886666666666667, 'Time': 360.0434830030001, 'Status': 'VALID'}",
Adversarial,Adversarial_20_30_10,"{'Objective': 157, 'Success_Rate': 0.785, 'Time': 20.003652180000017, 'Status': 'VALID'}","{'Objective': 156, 'Success_Rate': 0.78, 'Time': 20.00310439699996, 'Status': 'VALID'}","{'Objective': 157, 'Success_Rate': 0.785, 'Time': 20.005030981999997, 'Status': 'VALID'}","{'Objective': 157, 'Success_Rate': 0.785, 'Time': 19.97861077999994, 'Status': 'VALID'}","{'Objective': 157, 'Success_Rate': 0.785, 'Time': 20.00215666599996, 'Status': 'VALID'}","{'Objective': 155, 'Success_Rate': 0.775, 'Time': 20.004563848000004, 'Status': 'VALID'}","{'Objective': 157, 'Success_Rate': 0.785, 'Time': 20.001482753999998, 'Status': 'VALID'}","{'Objective': 156, 'Success_Rate': 0.78, 'Time': 20.002378744, 'Status': 'VALID'}",
Adversarial,Adversarial_300_450_120,"{'Objective': 3924, 'Success_Rate': 0.872, 'Time': 360.07961475699994, 'Status': 'VALID'}","{'Objective': 3907, 'Success_Rate': 0.8682222222222222, 'Time': 360.077435752, 'Status': 'VALID'}","{'Objective': 3924, 'Success_Rate': 0.872, 'Time': 360.052974836, 'Status': 'VALID'}","{'Objective': 3898, 'Success_Rate': 0.8662222222222222, 'Time': 360.08323025699974, 'Status': 'VALID'}","{'Objective': 3924, 'Success_Rate': 0.872, 'Time': 360.1275679329999, 'Status': 'VALID'}","{'Objective': 3914, 'Success_Rate': 0.8697777777777778, 'Time': 360.15266410000004, 'Status': 'VALID'}","{'Objective': 3924, 'Success_Rate': 0.872, 'Time': 360.0675812520001, 'Status': 'VALID'}","{'Objective': 3907, 'Success_Rate': 0.8682222222222222, 'Time': 360.095166498, 'Status': 'VALID'}",
Adversarial,Adversarial_500_750_200,"{'Objective': 6630, 'Success_Rate': 0.8841178823843179, 'Time': 600.0559443330001, 'Status': 'VALID'}","{'Objective': 6570, 'Success_Rate': 0.8761168155754101, 'Time': 600.0769934930001, 'Status': 'VALID'}","{'Objective': 6630, 'Success_Rate': 0.8841178823843179, 'Time': 600.0934912849998, 'Status': 'VALID'}","{'Objective': 6581, 'Success_Rate': 0.8775836778237098, 'Time': 600.3696486000003, 'Status': 'VALID'}","{'Objective': 6630, 'Success_Rate': 0.8841178823843179, 'Time': 600.0533500659999, 'Status': 'VALID'}","{'Objective': 6590, 'Success_Rate': 0.878783837845046, 'Time': 600.3192672719999, 'Status': 'VALID'}","{'Objective': 6630, 'Success_Rate': 0.8841178823843179, 'Time': 600.179233333, 'Status': 'VALID'}","{'Objective': 6582, 'Success_Rate': 0.8777170289371916, 'Time': 600.0986985119998, 'Status': 'VALID'}",
Adversarial,Adversarial_50_75_20,"{'Objective': 493, 'Success_Rate': 0.6573333333333333, 'Time': 90.02168782599995, 'Status': 'VALID'}","{'Objective': 490, 'Success_Rate': 0.6533333333333333, 'Time': 90.02229558899995, 'Status': 'VALID'}","{'Objective': 493, 'Success_Rate': 0.6573333333333333, 'Time': 90.01926280100002, 'Status': 'VALID'}","{'Objective': 490, 'Success_Rate': 0.6533333333333333, 'Time': 90.02413964999994, 'Status': 'VALID'}","{'Objective': 493, 'Success_Rate': 0.6573333333333333, 'Time': 90.02182923000004, 'Status': 'VALID'}","{'Objective': 491, 'Success_Rate': 0.6546666666666666, 'Time': 89.97270276499998, 'Status': 'VALID'}","{'Objective': 493, 'Success_Rate': 0.6573333333333333, 'Time': 90.024143261, 'Status': 'VALID'}","{'Objective': 489, 'Success_Rate': 0.652, 'Time': 90.017951945, 'Status': 'VALID'}",
Adversarial,Adversarial_800_1200_320,"{'Objective': 10608, 'Success_Rate': 0.884, 'Time': 900.349955013, 'Status': 'VALID'}","{'Objective': 10522, 'Success_Rate': 0.8768333333333334, 'Time': 900.1439705809998, 'Status': 'VALID'}","{'Objective': 10608, 'Success_Rate': 0.884, 'Time': 900.156143706, 'Status': 'VALID'}","{'Objective': 10530, 'Success_Rate': 0.8775, 'Time': 900.2617927230003, 'Status': 'VALID'}","{'Objective': 10608, 'Success_Rate': 0.884, 'Time': 900.5803106180001, 'Status': 'VALID'}","{'Objective': 10516, 'Success_Rate': 0.8763333333333333, 'Time': 900.713849878, 'Status': 'VALID'}","{'Objective': 10608, 'Success_Rate': 0.884, 'Time': 900.639654304, 'Status': 'VALID'}","{'Objective': 10522, 'Success_Rate': 0.8768333333333334, 'Time': 900.5030967800003, 'Status': 'VALID'}",
Adversarial,Adversarial_80_120_32,"{'Objective': 1064, 'Success_Rate': 0.8866666666666667, 'Time': 180.02376752700002, 'Status': 'VALID'}","{'Objective': 1066, 'Success_Rate': 0.8883333333333333, 'Time': 180.02010040599993, 'Status': 'VALID'}","{'Objective': 1064, 'Success_Rate': 0.8866666666666667, 'Time': 180.01239835800004, 'Status': 'VALID'}","{'Objective': 1064, 'Success_Rate': 0.8866666666666667, 'Time': 180.04230873699998, 'Status': 'VALID'}","{'Objective': 1064, 'Success_Rate': 0.8866666666666667, 'Time': 180.03654652499995, 'Status': 'VALID'}","{'Objective': 1065, 'Success_Rate': 0.8875, 'Time': 180.01671606400004, 'Status': 'VALID'}","{'Objective': 1064, 'Success_Rate': 0.8866666666666667, 'Time': 180.00879799999996, 'Status': 'VALID'}","{'Objective': 1064, 'Success_Rate': 0.8866666666666667, 'Time': 180.02600646499997, 'Status': 'VALID'}",
