549
1 3 5 7
1 5 37 11
1 6 31 24
1 8 51 20
1 9 7 10
1 10 15 16
1 11 11 31
1 12 58 44
1 13 40 5
1 18 19 71
1 20 1 57
2 3 49 47
2 5 1 11
2 6 25 24
2 7 4 65
2 8 59 20
2 10 46 16
2 12 7 44
2 15 31 41
2 17 19 7
2 20 10 57
3 2 7 36
3 3 47 47
3 4 25 67
3 5 19 11
3 6 1 74
3 7 31 65
3 8 49 20
3 9 40 52
3 10 37 16
3 12 34 38
3 15 16 41
3 16 4 51
4 3 31 47
4 5 53 11
4 6 28 24
4 7 37 22
4 9 34 10
4 10 21 16
4 11 15 31
4 12 10 44
4 13 7 5
4 16 13 73
4 19 49 68
4 20 19 55
5 3 53 7
5 5 25 11
5 7 13 22
5 8 7 20
5 9 40 10
5 11 11 49
5 12 58 38
5 13 37 5
5 14 21 19
5 17 43 7
5 19 27 15
5 20 1 55
6 2 27 54
6 4 31 59
6 5 55 11
6 6 13 24
6 8 9 50
6 10 7 16
6 11 29 49
6 12 4 44
6 13 1 19
6 17 57 6
6 20 37 57
7 2 21 36
7 3 5 47
7 4 7 67
7 7 28 65
7 9 1 52
7 10 11 16
7 12 34 44
7 13 31 5
7 14 19 19
7 17 43 38
7 18 55 39
7 20 37 55
8 2 9 36
8 3 25 47
8 5 47 11
8 8 27 20
8 9 22 10
8 11 35 49
8 13 16 5
8 16 11 51
8 17 55 7
8 18 49 39
8 19 1 68
8 20 7 57
9 2 3 36
9 3 15 47
9 7 22 22
9 9 7 52
9 10 33 16
9 11 17 49
9 15 40 41
9 17 43 6
9 18 49 71
9 20 13 55
10 2 37 36
10 5 15 44
10 6 34 24
10 7 10 22
10 9 22 52
10 11 19 49
10 13 4 19
10 16 31 73
10 18 25 71
10 20 13 57
11 2 5 36
11 4 21 67
11 5 3 11
11 7 25 65
11 8 19 20
11 9 58 52
11 11 13 31
11 12 55 38
11 13 34 5
11 19 8 68
11 20 17 57
12 3 11 47
12 4 51 59
12 6 4 24
12 9 13 10
12 11 19 31
12 12 25 38
12 13 55 5
12 14 47 19
12 15 22 41
12 20 31 57
13 2 28 36
13 3 47 7
13 4 37 67
13 5 59 11
13 6 25 74
13 7 22 57
13 8 1 20
13 10 3 16
13 11 17 31
13 12 19 44
13 13 52 19
13 14 57 19
14 5 51 11
14 7 7 22
14 8 55 20
14 9 37 52
14 11 25 31
14 12 40 44
14 14 45 19
14 15 58 41
14 16 3 73
14 17 31 7
14 18 19 39
15 2 17 54
15 3 41 7
15 5 5 11
15 6 7 74
15 7 1 65
15 8 23 20
15 9 10 52
15 11 31 49
15 13 28 19
15 17 13 6
15 19 43 68
15 20 21 55
16 2 13 54
16 3 39 47
16 4 43 59
16 5 41 11
16 6 1 24
16 9 31 52
16 10 9 16
16 11 7 31
16 12 28 38
16 16 21 73
16 20 11 55
17 4 49 67
17 5 13 44
17 6 10 74
17 7 1 22
17 8 31 20
17 9 16 10
17 11 21 49
17 14 35 19
17 15 28 41
17 16 25 73
18 3 45 47
18 6 40 24
18 8 43 50
18 9 27 52
18 10 25 16
18 11 5 31
18 14 23 19
18 15 7 41
18 18 13 71
19 2 33 54
19 4 55 59
19 5 35 11
19 9 46 10
19 10 13 16
19 11 23 49
19 12 40 38
19 14 59 19
19 15 1 41
19 17 49 6
19 18 7 39
19 20 15 57
20 3 41 47
20 5 49 11
20 6 43 24
20 9 10 10
20 12 7 38
20 14 31 19
20 15 19 41
20 18 37 39
20 19 13 15
20 20 5 57
21 2 11 36
21 4 13 67
21 5 17 44
21 6 49 24
21 7 52 65
21 9 46 52
21 12 1 38
21 15 55 41
21 16 9 51
21 18 25 39
21 19 37 15
21 20 43 55
22 2 1 36
22 3 13 47
22 6 16 24
22 8 3 20
22 9 43 10
22 10 5 59
22 13 10 5
22 14 7 19
22 15 25 41
22 17 37 6
22 18 31 39
22 20 23 55
23 2 29 54
23 3 1 47
23 5 33 11
23 6 4 74
23 9 52 10
23 10 35 59
23 11 9 31
23 12 22 38
23 13 16 19
23 14 55 19
23 19 43 15
24 2 25 54
24 3 17 47
24 4 19 59
24 5 39 11
24 6 58 24
24 8 5 50
24 10 23 59
24 15 49 41
24 16 11 73
24 17 1 7
24 20 27 55
25 2 19 36
25 3 23 47
25 5 45 11
25 6 16 74
25 8 39 20
25 9 13 52
25 12 25 44
25 16 1 73
25 17 7 6
25 20 41 55
26 2 31 36
26 5 27 11
26 6 55 24
26 7 19 57
26 8 25 50
26 9 37 10
26 10 53 16
26 13 58 5
26 14 33 74
26 16 23 51
26 17 49 7
26 18 13 39
27 2 15 54
27 3 53 47
27 5 11 11
27 6 37 74
27 8 9 20
27 9 55 52
27 10 31 16
27 14 47 74
27 15 43 41
27 20 3 55
28 2 21 54
28 7 4 22
28 8 47 20
28 9 1 10
28 11 40 31
28 12 37 38
28 13 49 19
28 15 52 41
28 16 29 73
28 18 55 71
28 20 35 57
29 3 7 47
29 4 13 59
29 5 29 11
29 6 55 74
29 11 35 31
29 13 52 5
29 14 45 74
29 15 10 41
29 16 19 51
29 18 1 71
29 19 25 68
29 20 33 57
30 2 15 36
30 3 55 47
30 5 53 44
30 9 19 10
30 10 28 16
30 11 13 49
30 14 43 74
30 15 46 41
30 16 7 73
30 17 37 7
30 19 31 68
31 2 43 54
31 3 3 47
31 4 25 59
31 5 17 11
31 6 10 24
31 9 55 10
31 10 7 59
31 12 31 38
31 14 41 74
31 15 13 41
31 19 19 15
31 20 39 55
32 3 9 47
32 7 25 22
32 8 17 20
32 9 31 10
32 11 7 49
32 12 46 44
32 15 34 41
32 18 3 39
32 19 49 15
33 5 23 11
33 8 21 50
33 9 43 52
33 10 17 59
33 11 25 49
33 13 9 19
33 14 51 74
33 15 4 41
33 16 33 73
33 17 27 7
33 18 37 71
34 2 3 54
34 3 35 7
34 5 7 11
34 7 49 65
34 8 41 20
34 9 25 10
34 12 31 44
34 13 46 5
34 14 43 19
34 15 37 41
34 19 19 68
34 20 5 55
35 4 31 67
35 6 13 74
35 7 10 65
35 8 25 20
35 10 47 59
35 11 1 49
35 12 16 38
35 13 22 5
35 14 53 74
35 15 28 46
35 16 19 73
35 19 55 15
36 2 13 36
36 3 21 47
36 4 1 59
36 5 49 44
36 8 35 20
36 9 52 52
36 10 17 16
36 11 9 49
36 15 25 46
36 16 5 73
36 17 31 6
36 20 7 55
37 2 23 54
37 5 13 11
37 6 19 74
37 7 7 65
37 8 29 20
37 10 39 16
37 12 1 44
37 13 4 5
37 15 10 46
37 16 27 51
37 20 25 57
38 3 27 47
38 5 51 44
38 6 58 74
38 7 13 65
38 8 43 20
38 10 29 59
38 13 1 5
38 16 16 51
38 17 19 6
38 18 31 71
39 2 5 54
39 4 55 67
39 6 46 24
39 7 16 22
39 9 28 10
39 10 41 16
39 12 43 44
39 13 49 5
39 14 33 19
39 18 7 71
39 19 37 68
40 2 19 54
40 6 7 24
40 7 16 65
40 10 23 16
40 11 3 31
40 12 55 44
40 13 13 19
40 15 37 46
40 16 25 51
40 20 31 55
41 3 7 7
41 5 43 11
41 6 52 24
41 8 37 20
41 10 19 16
41 11 31 31
41 12 28 44
41 15 1 46
41 16 15 73
41 20 9 55
42 4 43 67
42 5 57 11
42 7 39 57
42 8 15 20
42 10 1 16
42 11 22 31
42 13 19 5
42 14 37 19
42 15 4 46
42 16 27 73
42 19 7 15
43 2 1 54
43 3 29 47
43 4 9 59
43 8 5 20
43 10 55 16
43 12 49 38
43 13 13 5
43 14 41 19
43 16 21 51
43 17 25 6
43 19 33 15
43 20 17 55
44 2 7 54
44 3 23 7
44 5 15 11
44 6 19 24
44 8 13 20
44 9 58 10
44 11 4 49
44 12 52 38
44 13 43 5
44 14 49 74
44 17 9 7
45 2 25 36
45 3 34 47
45 5 31 11
45 6 22 24
45 8 11 20
45 9 49 10
45 12 19 38
45 13 28 5
45 16 1 51
45 17 3 6
45 18 43 71
45 19 13 68
46 5 9 11
46 8 1 50
46 11 33 49
46 12 37 44
46 13 25 19
46 14 31 74
46 15 13 46
46 16 7 51
46 20 3 57
47 2 10 54
47 3 43 47
47 4 38 59
47 7 31 22
47 8 13 50
47 9 49 52
47 11 1 31
47 12 4 38
47 15 7 46
47 16 17 73
47 20 15 55
48 5 21 11
48 6 28 74
48 8 11 50
48 9 34 52
48 12 13 38
48 13 25 5
48 14 39 19
48 15 16 46
48 16 9 73
48 19 1 15
49 2 17 36
49 3 51 47
49 4 1 67
49 6 22 74
49 7 27 57
49 8 7 50
49 9 19 52
49 10 5 16
49 12 10 38
49 14 35 74
50 2 31 54
50 6 37 24
50 7 19 22
50 9 4 52
50 10 49 59
50 11 27 49
50 12 22 44
50 15 33 46
50 17 15 7
50 18 43 39
50 19 55 68
Điểm tối ưu: 549
Thời gian: 1000027.82 ms
Trạng thái: FEASIBLE
