Iteration,Time_Seconds,Objective_Value,W_Shift,W_Swap,W_Kick
0,0.0,11307,100.0,100.0,100.0
4,0.008984804153442383,11307,46.0,14.499999999999998,9.999999999999998
6,0.01475214958190918,11307,46.0,5.949999999999999,46.0
8,0.017683744430541992,11307,49.6,5.949999999999999,5.0
10,0.022653579711914062,11307,5.0,5.095,5.0
20,0.050333261489868164,11307,45.5,5.0,5.0
26,0.060837745666503906,11307,45.5,5.0,5.0
30,0.07109880447387695,11307,5.0,5.0,5.0
32,0.07418560981750488,11307,45.5,5.0,5.0
40,0.09509849548339844,11307,5.0,5.0,5.0
49,0.11559152603149414,11307,45.5,5.0,5.0
50,0.11651802062988281,11307,5.0,5.0,5.0
60,0.14848899841308594,11307,5.0,5.0,45.5
69,0.16288971900939941,11307,45.5,5.0,5.0
70,0.16424298286437988,11307,5.0,5.0,5.0
73,0.17505526542663574,11307,45.5,5.0,5.0
74,0.17670440673828125,11307,49.55,5.0,5.0
75,0.17827320098876953,11307,49.955,5.0,5.0
80,0.1905369758605957,11307,5.0,5.0,5.0
88,0.21175813674926758,11307,45.5,5.0,5.0
90,0.21675753593444824,11307,5.0,5.0,5.0
92,0.2192554473876953,11307,5.0,5.0,45.5
93,0.22073888778686523,11307,5.0,5.0,49.55
100,0.23021650314331055,11307,5.0,5.0,5.0
106,0.24827933311462402,11307,45.5,5.0,5.0
108,0.2506537437438965,11307,49.55,5.0,5.0
110,0.2562997341156006,11307,5.0,5.0,5.0
113,0.264359712600708,11307,5.0,5.0,45.5
115,0.2673075199127197,11307,45.5,5.0,5.0
120,0.2862234115600586,11307,5.0,5.0,5.0
121,0.2881357669830322,11307,45.5,5.0,5.0
122,0.28980374336242676,11307,49.55,5.0,5.0
124,0.2953455448150635,11307,49.955,5.0,5.0
126,0.2984292507171631,11307,45.5,5.0,5.0
127,0.29993581771850586,11307,49.55,5.0,5.0
128,0.30145978927612305,11307,49.955,5.0,5.0
129,0.30293941497802734,11307,49.9955,5.0,5.0
130,0.3041696548461914,11307,49.9955,5.0,5.0
134,0.3129265308380127,11307,45.5,5.0,5.0
135,0.31452441215515137,11307,49.55,5.0,5.0
139,0.32303333282470703,11307,45.5,5.0,5.0
140,0.3251001834869385,11307,49.55,5.0,5.0
146,0.34894299507141113,11307,45.5,5.0,5.0
150,0.35790419578552246,11307,5.0,5.0,5.0
160,0.38155341148376465,11307,5.0,5.0,5.0
165,0.3956780433654785,11307,45.5,5.0,5.0
166,0.3975191116333008,11307,49.55,5.0,5.0
170,0.417083740234375,11307,5.0,5.0,5.0
180,0.449474573135376,11307,5.0,5.0,5.0
182,0.4526238441467285,11307,45.5,5.0,5.0
183,0.4542510509490967,11307,49.55,5.0,5.0
190,0.4748039245605469,11307,5.0,5.0,5.0
194,0.4820742607116699,11307,45.5,5.0,5.0
197,0.4865076541900635,11307,45.5,5.0,5.0
200,0.4955923557281494,11307,5.0,5.0,5.0
208,0.5220239162445068,11307,45.5,5.0,5.0
210,0.5249953269958496,11307,5.0,5.0,45.5
219,0.5634870529174805,11307,45.5,5.0,5.0
220,0.5649068355560303,11307,5.0,5.0,5.0
224,0.5763111114501953,11307,45.5,5.0,5.0
230,0.5894198417663574,11307,5.0,5.0,5.0
232,0.5933883190155029,11307,45.5,5.0,5.0
233,0.5950093269348145,11307,49.55,5.0,5.0
234,0.596569299697876,11307,49.955,5.0,5.0
236,0.5993928909301758,11307,49.9955,5.0,5.0
237,0.6009507179260254,11307,49.99955,5.0,5.0
238,0.6025688648223877,11307,49.999955,5.0,5.0
240,0.6051177978515625,11307,49.999955,5.0,5.0
250,0.6312072277069092,11307,45.5,5.0,5.0
253,0.6440613269805908,11307,49.55,5.0,5.0
254,0.6457290649414062,11307,49.955,5.0,5.0
255,0.6473314762115479,11307,49.9955,5.0,5.0
257,0.6503307819366455,11307,45.5,5.0,5.0
258,0.6518383026123047,11307,45.5,5.0,45.5
260,0.6542789936065674,11307,49.55,5.0,5.0
261,0.6558380126953125,11307,49.955,5.0,5.0
270,0.686802864074707,11307,5.0,5.0,5.0
275,0.7038862705230713,11307,45.5,5.0,5.0
276,0.7056033611297607,11307,49.55,5.0,5.0
278,0.7082257270812988,11307,45.5,5.0,5.0
280,0.7106988430023193,11307,5.0,5.0,5.0
283,0.7285268306732178,11307,45.5,5.0,5.0
290,0.7588567733764648,11307,5.0,5.0,5.0
293,0.76546311378479,11307,5.0,5.0,45.5
300,0.7842550277709961,11307,5.0,5.0,5.0
302,0.7904868125915527,11307,45.5,5.0,5.0
307,0.8033130168914795,11307,45.5,5.0,5.0
308,0.8048627376556396,11307,49.55,5.0,5.0
310,0.8075211048126221,11307,5.0,5.0,5.0
312,0.8105010986328125,11307,45.5,5.0,5.0
313,0.8120994567871094,11307,49.55,5.0,5.0
315,0.8149487972259521,11307,49.955,5.0,5.0
318,0.8190147876739502,11307,49.9955,5.0,5.0
320,0.821990966796875,11307,45.5,5.0,5.0
327,0.8381376266479492,11307,45.5,5.0,5.0
328,0.8397059440612793,11307,49.55,5.0,5.0
