Iteration,Time_Seconds,Objective_Value,W_Shift,W_Swap,W_Kick
0,0.0,9385,100.0,100.0,100.0
4,0.009897947311401367,9385,46.0,9.999999999999998,9.999999999999998
10,0.02088451385498047,9385,45.5,5.05,5.0
13,0.02658367156982422,9385,45.5,5.005,5.0
16,0.03219866752624512,9385,45.5,5.0005,5.0
17,0.03359484672546387,9385,49.55,5.0005,5.0
18,0.034798622131347656,9385,49.955,5.0005,5.0
20,0.03872251510620117,9385,5.0,5.00005,5.0
27,0.0566256046295166,9385,45.5,5.0000000005,5.0
28,0.05789661407470703,9385,49.55,5.0000000005,5.0
30,0.05991101264953613,9385,5.0,5.0000000005,5.0
40,0.08078217506408691,9385,5.0,5.0,5.0
50,0.0978403091430664,9385,45.5,5.0,5.0
53,0.10302591323852539,9385,45.5,5.0,5.0
56,0.10930848121643066,9385,49.55,5.0,5.0
60,0.11322140693664551,9385,5.0,5.0,5.0
62,0.11549663543701172,9385,45.5,5.0,5.0
63,0.1167914867401123,9385,49.55,5.0,5.0
65,0.1190340518951416,9385,45.5,5.0,5.0
66,0.12020540237426758,9385,49.55,5.0,5.0
70,0.12455081939697266,9385,5.0,5.0,5.0
72,0.12679600715637207,9385,45.5,5.0,5.0
80,0.13885068893432617,9385,45.5,5.0,5.0
83,0.14586424827575684,9385,45.5,5.0,5.0
85,0.15061450004577637,9385,49.55,5.0,5.0
89,0.15709614753723145,9385,45.5,5.0,5.0
90,0.15819478034973145,9385,5.0,5.0,5.0
94,0.16928434371948242,9385,45.5,5.0,5.0
95,0.17048072814941406,9385,49.55,5.0,5.0
97,0.17285990715026855,9385,45.5,5.0,5.0
98,0.1741011142730713,9385,49.55,5.0,5.0
99,0.17531657218933105,9385,49.955,5.0,5.0
100,0.17648601531982422,9385,49.9955,5.0,5.0
101,0.17769837379455566,9385,49.99955,5.0,5.0
102,0.17894220352172852,9385,49.999955,5.0,5.0
105,0.18456315994262695,9385,45.5,5.0,5.0
106,0.18577361106872559,9385,49.55,5.0,5.0
107,0.18701577186584473,9385,49.955,5.0,5.0
109,0.1889200210571289,9385,5.0,5.0,45.5
110,0.1904439926147461,9385,5.0,5.0,5.0
118,0.20920467376708984,9385,45.5,5.0,5.0
119,0.21039891242980957,9385,49.55,5.0,5.0
120,0.21158528327941895,9385,49.955,5.0,5.0
124,0.2180345058441162,9385,45.5,5.0,5.0
128,0.22252821922302246,9385,45.5,5.0,5.0
130,0.22430801391601562,9385,49.55,5.0,5.0
140,0.24464678764343262,9385,5.0,5.0,5.0
150,0.26015257835388184,9385,5.0,5.0,45.5
158,0.27003002166748047,9385,45.5,5.0,5.0
159,0.27120447158813477,9385,49.55,5.0,5.0
160,0.27226758003234863,9385,5.0,5.0,5.0
165,0.2795872688293457,9385,45.5,5.0,5.0
166,0.28073906898498535,9385,49.55,5.0,5.0
170,0.28737425804138184,9385,5.0,5.0,5.0
180,0.30502772331237793,9385,5.0,5.0,5.0
183,0.31030750274658203,9385,45.5,5.0,5.0
190,0.31871485710144043,9385,5.0,5.0,5.0
191,0.32001304626464844,9385,45.5,5.0,5.0
198,0.3339838981628418,9385,45.5,5.0,5.0
199,0.3351929187774658,9385,49.55,5.0,5.0
200,0.3363475799560547,9385,49.955,5.0,5.0
