Algorithm,Experiment,Dataset,Objective,Success_Rate,Avg_Time,Status
Greedy Heuristic,-,Adversarial_1000_1500_400,13218,-,-,Success
Greedy Heuristic,-,Adversarial_100_150_40,1390,-,-,Success
Greedy Heuristic,-,Adversarial_150_225_60,2022,-,-,Success
Greedy Heuristic,-,Adversarial_200_300_80,2683,-,-,Success
Greedy Heuristic,-,Adversarial_20_30_10,157,-,-,Success
Greedy Heuristic,-,Adversarial_300_450_120,3930,-,-,Success
Greedy Heuristic,-,Adversarial_500_750_200,6619,-,-,Success
Greedy Heuristic,-,Adversarial_50_75_20,493,-,-,Success
Greedy Heuristic,-,Adversarial_800_1200_320,10609,-,-,Success
Greedy Heuristic,-,Adversarial_80_120_32,1064,-,-,Success
Greedy Heuristic,-,Exponential_1000_1500_400,14437,-,-,Success
Greedy Heuristic,-,Exponential_100_150_40,1112,-,-,Success
Greedy Heuristic,-,Exponential_150_225_60,1940,-,-,Success
Greedy Heuristic,-,Exponential_200_300_80,2472,-,-,Success
Greedy Heuristic,-,Exponential_20_30_10,188,-,-,Success
Greedy Heuristic,-,Exponential_300_450_120,4028,-,-,Success
Greedy Heuristic,-,Exponential_500_750_200,7006,-,-,Success
Greedy Heuristic,-,Exponential_50_75_20,376,-,-,Success
Greedy Heuristic,-,Exponential_800_1200_320,11454,-,-,Success
Greedy Heuristic,-,Exponential_80_120_32,756,-,-,Success
Greedy Heuristic,-,Gaussian_1000_1500_400,14770,-,-,Success
Greedy Heuristic,-,Gaussian_100_150_40,1429,-,-,Success
Greedy Heuristic,-,Gaussian_150_225_60,2175,-,-,Success
Greedy Heuristic,-,Gaussian_200_300_80,2900,-,-,Success
Greedy Heuristic,-,Gaussian_20_30_10,159,-,-,Success
Greedy Heuristic,-,Gaussian_300_450_120,4361,-,-,Success
Greedy Heuristic,-,Gaussian_500_750_200,7393,-,-,Success
Greedy Heuristic,-,Gaussian_50_75_20,687,-,-,Success
Greedy Heuristic,-,Gaussian_800_1200_320,11784,-,-,Success
Greedy Heuristic,-,Gaussian_80_120_32,1151,-,-,Success
Greedy Heuristic,-,hustack01,169,-,-,Success
Greedy Heuristic,-,hustack02,167,-,-,Success
Greedy Heuristic,-,hustack03,37,-,-,Success
Greedy Heuristic,-,hustack04,227,-,-,Success
Greedy Heuristic,-,hustack05,318,-,-,Success
Greedy Heuristic,-,hustack06,69,-,-,Success
Greedy Heuristic,-,hustack07,200,-,-,Success
Greedy Heuristic,-,hustack08,147,-,-,Success
Greedy Heuristic,-,hustack09,283,-,-,Success
Greedy Heuristic,-,hustack10,12,-,-,Success
Greedy Heuristic,-,Poisson_1000_1500_400,14567,-,-,Success
Greedy Heuristic,-,Poisson_100_150_40,1420,-,-,Success
Greedy Heuristic,-,Poisson_150_225_60,2216,-,-,Success
Greedy Heuristic,-,Poisson_200_300_80,2923,-,-,Success
Greedy Heuristic,-,Poisson_20_30_10,140,-,-,Success
Greedy Heuristic,-,Poisson_300_450_120,4456,-,-,Success
Greedy Heuristic,-,Poisson_500_750_200,7313,-,-,Success
Greedy Heuristic,-,Poisson_50_75_20,620,-,-,Success
Greedy Heuristic,-,Poisson_800_1200_320,11796,-,-,Success
Greedy Heuristic,-,Poisson_80_120_32,1114,-,-,Success
Greedy Heuristic,-,Uniform_1000_1500_400,14657,-,-,Success
Greedy Heuristic,-,Uniform_100_150_40,1387,-,-,Success
Greedy Heuristic,-,Uniform_150_225_60,2120,-,-,Success
Greedy Heuristic,-,Uniform_200_300_80,2875,-,-,Success
Greedy Heuristic,-,Uniform_20_30_10,184,-,-,Success
Greedy Heuristic,-,Uniform_300_450_120,4281,-,-,Success
Greedy Heuristic,-,Uniform_500_750_200,7266,-,-,Success
Greedy Heuristic,-,Uniform_50_75_20,648,-,-,Success
Greedy Heuristic,-,Uniform_800_1200_320,11684,-,-,Success
Greedy Heuristic,-,Uniform_80_120_32,1126,-,-,Success
