Iteration,Time_Seconds,Objective_Value,W_Shift,W_Swap,W_Kick
0,0.0,9003,100.0,100.0,100.0
1,0.0021593570709228516,9003,90.0,100.0,100.0
5,0.012113094329833984,9003,67.6,81.0,80.0
10,0.026795387268066406,9003,54.08,53.64,52.0
12,0.0310516357421875,9003,44.611200000000004,53.64,52.0
20,0.05273628234863281,9003,28.551168000000004,29.103680000000004,26.624000000000002
22,0.05959725379943848,9003,32.84093440000001,24.282944000000004,26.624000000000002
26,0.06841897964477539,9003,26.814558412800007,20.426355200000003,26.624000000000002
30,0.0738067626953125,9003,17.161317384192007,20.426355200000003,17.039360000000002
34,0.08203649520874023,9003,23.729053907353606,16.341084160000005,10.905190400000002
35,0.08381938934326172,9003,28.983243125882886,16.341084160000005,10.905190400000002
40,0.09137296676635742,9003,21.871536384361633,16.341084160000005,8.724152320000002
50,0.12443327903747559,9003,11.198226628793158,9.645308071936004,5.0
60,0.15691900253295898,9003,8.958581303034526,5.210174549011991,5.0
62,0.1602766513824463,9003,17.16686504242762,5.210174549011991,5.0
63,0.16209149360656738,9003,23.7334920339421,5.210174549011991,5.0
64,0.16387081146240234,9003,28.98679362715368,5.210174549011991,5.0
69,0.17485809326171875,9003,24.841238337102688,5.168139639209593,5.0
70,0.1759471893310547,9003,19.872990669682153,5.168139639209593,5.0
72,0.17888951301574707,9003,22.71871402859658,5.168139639209593,5.0
75,0.18674397468566895,9003,28.174971222877264,5.134511711367675,5.0
79,0.19268488883972168,9003,24.42558526611316,5.134511711367675,5.0
80,0.19728899002075195,9003,24.42558526611316,5.0,5.0
81,0.199937105178833,9003,29.54046821289053,5.0,5.0
82,0.20186758041381836,9003,33.63237457031242,5.0,5.0
83,0.2041025161743164,9003,36.90589965624994,5.0,5.0
90,0.21770763397216797,9003,25.11665649919998,5.0,5.0
93,0.2230517864227295,9003,30.093325199359985,5.0,5.0
95,0.2267305850982666,9003,29.259728127590392,5.0,5.0
100,0.24002575874328613,9003,14.980980801326282,5.0,5.0
108,0.25646257400512695,9003,14.0,5.0,5.0
110,0.26831936836242676,9003,14.0,5.0,5.0
113,0.2727198600769043,9003,18.96,5.0,5.0
114,0.2746157646179199,9003,25.168,5.0,5.0
120,0.2826821804046631,9003,8.247050240000002,5.0,5.0
122,0.2859673500061035,9003,16.597640192,5.0,5.0
124,0.28869152069091797,9003,13.2781121536,5.0,14.0
130,0.30066752433776855,9003,6.798393422643201,5.0,8.96
137,0.3225531578063965,9003,14.350971790491649,5.0,5.734400000000001
140,0.3269174098968506,9003,14.350971790491649,5.0,5.0
141,0.32888126373291016,9003,21.480777432393317,5.0,5.0
142,0.3307161331176758,9003,27.184621945914653,5.0,5.0
144,0.33354711532592773,9003,27.39815804538538,5.0,5.0
148,0.339679479598999,9003,21.222285535389855,5.0,5.0
150,0.3428506851196289,9003,13.582262742649508,5.0,5.0
155,0.3540313243865967,9003,15.563294819389238,5.0,5.0
160,0.3647017478942871,9003,7.968406947527291,5.0,5.0
161,0.366640567779541,9003,16.374725558021833,5.0,5.0
162,0.3684523105621338,9003,23.09978044641747,5.0,5.0
165,0.3731958866119385,9003,21.827087588565746,5.0,5.0
170,0.3944225311279297,9003,17.4616700708526,5.0,5.0
175,0.40541672706604004,9003,18.94037507627653,5.0,5.0
180,0.412064790725708,9003,12.121840048816981,5.0,5.0
182,0.4150044918060303,9003,17.75797763124287,5.0,5.0
190,0.43431735038757324,9003,14.206382104994297,5.0,5.0
196,0.4438951015472412,9003,15.818934110205664,5.0,5.0
199,0.4517476558685303,9003,20.124117830531624,5.0,5.0
200,0.4532339572906494,9003,20.124117830531624,5.0,5.0
210,0.4740724563598633,9003,5.275416744566883,5.0,5.0
212,0.4808659553527832,9003,14.220333395653507,5.0,5.0
220,0.4995572566986084,9003,5.824648558859678,5.0,5.0
230,0.5237810611724854,9003,5.0,5.0,5.0
231,0.5256013870239258,9003,14.0,5.0,5.0
235,0.534653902053833,9003,21.200000000000003,5.0,5.0
237,0.5382177829742432,9003,23.568000000000005,5.0,5.0
240,0.5425055027008057,9003,12.066816000000005,5.0,5.0
241,0.5443263053894043,9003,19.653452800000004,5.0,5.0
243,0.5472443103790283,9003,22.578209792000003,5.0,5.0
244,0.5491294860839844,9003,28.062567833600003,5.0,5.0
250,0.5605454444885254,9003,14.368034730803203,5.0,5.0
260,0.5845680236816406,9003,7.356433782171241,5.0,5.0
264,0.5933897495269775,9003,15.885147025736993,5.0,5.0
267,0.5982306003570557,9003,22.708117620589597,5.0,5.0
269,0.6011037826538086,9003,24.53319527717734,5.0,5.0
270,0.6026604175567627,9003,19.626556221741875,5.0,5.0
277,0.6170647144317627,9003,15.144983954192304,5.0,5.0
280,0.6241805553436279,9003,12.115987163353843,5.0,5.0
283,0.6336767673492432,9003,19.692789730683074,5.0,5.0
290,0.6471226215362549,9003,16.45293333895023,5.0,5.0
295,0.6618442535400391,9003,18.42390186954252,5.0,5.0
296,0.6636734008789062,9003,24.739121495634016,5.0,5.0
298,0.6665310859680176,9003,25.833037757205773,5.0,5.0
300,0.6690764427185059,9003,20.66643020576462,5.0,5.0
310,0.6948685646057129,9003,8.464969812281188,5.0,5.0
313,0.6998579502105713,9003,15.417580679859961,5.0,5.0
315,0.7032628059387207,9003,19.867251635110378,5.0,5.0
317,0.7100043296813965,9003,25.893801308088303,5.0,5.0
320,0.7146670818328857,9003,23.257626269741216,5.0,5.0
323,0.7192695140838623,9003,21.907904650107504,5.0,5.0
330,0.7336430549621582,9003,8.973477744684036,5.0,5.0
338,0.757037878036499,9003,15.743025756597785,5.0,5.0
340,0.7595388889312744,9003,15.743025756597785,5.0,5.0
346,0.776423454284668,9003,18.06042918737807,5.0,5.0
347,0.7782318592071533,9003,24.44834334990246,5.0,5.0
350,0.786292552947998,9003,15.646939743937574,5.0,5.0
353,0.7915003299713135,9003,18.01123314889604,5.0,5.0
354,0.7932610511779785,9003,24.40898651911683,5.0,5.0
358,0.8031535148620605,9003,22.49740109778782,5.0,5.0
360,0.8052825927734375,9003,14.398336702584206,5.0,5.0
364,0.8121912479400635,9003,17.371948391723116,5.0,5.0
370,0.8241822719573975,9003,7.115550061249791,5.0,5.0
380,0.8568277359008789,9003,5.0,5.0,5.0
383,0.8652453422546387,9003,14.0,5.0,5.0
387,0.8716301918029785,9003,15.7344,5.0,5.0
390,0.8837261199951172,9003,15.7344,5.0,5.0
391,0.8858258724212646,9003,22.58752,5.0,5.0
397,0.8935635089874268,9003,9.251848192000002,5.0,14.0
398,0.8955471515655518,9003,17.4014785536,5.0,14.0
400,0.904341459274292,9003,13.92118284288,5.0,14.0
410,0.9233572483062744,9003,8.909557019443202,5.0,5.0
420,0.964026927947998,9003,5.0,5.0,5.0
421,0.9660789966583252,9003,14.0,5.0,5.0
425,0.9726128578186035,9003,17.168,5.0,5.0
430,0.9833090305328369,9003,17.0320128,5.0,5.0
434,0.9926137924194336,9003,23.62561024,5.0,5.0
435,0.9944899082183838,9003,28.900488192,5.0,5.0
440,1.00893235206604,9003,28.496312442880004,5.0,5.0
441,1.0107908248901367,9003,32.797049954304,5.0,5.0
445,1.0241789817810059,9003,30.990111970754562,5.0,5.0
446,1.0261447429656982,9003,34.79208957660365,5.0,5.0
450,1.031632900238037,9003,17.81354986322107,5.0,5.0
452,1.0347237586975098,9003,21.400671912461483,5.0,5.0
454,1.0416460037231445,9003,27.120537529969187,5.0,5.0
457,1.0464317798614502,9003,23.885715215344227,5.0,5.0
458,1.0483288764953613,9003,29.108572172275384,5.0,5.0
460,1.05143141746521,9003,28.629486190256248,5.0,5.0
463,1.056558609008789,9003,24.6582969294112,5.0,5.0
465,1.059386968612671,9003,29.726637543528962,5.0,5.0
470,1.0699312686920166,9003,19.02504802785854,5.0,5.0
474,1.080772876739502,9003,19.74082459026357,5.0,5.0
475,1.0825982093811035,9003,25.79265967221086,5.0,5.0
477,1.0855293273925781,9003,26.507302190214954,5.0,5.0
480,1.0930554866790771,9003,16.96467340173757,5.0,5.0
482,1.0999817848205566,9003,23.571738721390055,5.0,5.0
485,1.1046860218048096,9003,22.068730225351707,5.0,5.0
490,1.1120681762695312,9003,9.03935190030406,5.0,5.0
500,1.1340711116790771,9003,5.0,5.0,5.0
502,1.1406381130218506,9003,14.0,5.0,5.0
507,1.149240493774414,9003,17.168,5.0,5.0
508,1.1510891914367676,9003,23.7344,5.0,5.0
510,1.1548457145690918,9003,28.98752,5.0,5.0
513,1.164452075958252,9003,28.5520128,5.0,5.0
515,1.168048620223999,9003,28.273288192000003,5.0,5.0
519,1.1755154132843018,9003,24.475923554304003,5.0,5.0
520,1.1766467094421387,9003,19.580738843443203,5.0,5.0
523,1.1862962245941162,9003,22.53167285980365,5.0,5.0
530,1.2095310688018799,9003,19.228973203375578,5.0,5.0
531,1.2114191055297852,9003,25.383178562700465,5.0,5.0
532,1.2132506370544434,9003,30.306542850160373,5.0,5.0
533,1.215111255645752,9003,34.2452342801283,5.0,5.0
539,1.2273249626159668,9003,21.221478368912443,5.0,5.0
540,1.2296984195709229,9003,26.977182695129954,5.0,5.0
548,1.2532050609588623,9003,11.049854031925232,5.0,14.0
550,1.2571783065795898,9003,8.839883225540186,5.0,11.200000000000001
554,1.270765781402588,9003,14.526020211476576,5.0,11.200000000000001
555,1.2728681564331055,9003,21.62081616918126,5.0,11.200000000000001
560,1.284620761871338,9003,8.855886302896646,5.0,11.200000000000001
564,1.2953860759735107,9003,17.084709042317318,5.0,7.168000000000001
567,1.300652027130127,9003,23.667767233853855,5.0,5.5875200000000005
570,1.306840419769287,9003,15.147371029666468,5.0,5.0
