Iteration,Time_Seconds,Objective_Value,W_Shift,W_Swap,W_Kick
0,0.0,9003,0.0,0.0,100.0
4,0.006487607955932617,9003,0.0,0.0,100.0
10,0.015509843826293945,9003,0.0,0.0,100.0
16,0.0237276554107666,9003,0.0,0.0,100.0
20,0.0297701358795166,9003,0.0,0.0,100.0
21,0.03180432319641113,9003,0.0,0.0,100.0
30,0.04430031776428223,9003,0.0,0.0,100.0
40,0.05819082260131836,9003,0.0,0.0,100.0
50,0.07089114189147949,9003,0.0,0.0,100.0
53,0.07566189765930176,9003,0.0,0.0,100.0
60,0.08529925346374512,9003,0.0,0.0,100.0
70,0.09958863258361816,9003,0.0,0.0,100.0
80,0.11511445045471191,9003,0.0,0.0,100.0
90,0.1312394142150879,9003,0.0,0.0,100.0
100,0.14545321464538574,9003,0.0,0.0,100.0
110,0.16109418869018555,9003,0.0,0.0,100.0
118,0.17290925979614258,9003,0.0,0.0,100.0
120,0.1758894920349121,9003,0.0,0.0,100.0
123,0.18058085441589355,9003,0.0,0.0,100.0
130,0.18939423561096191,9003,0.0,0.0,100.0
140,0.20396947860717773,9003,0.0,0.0,100.0
150,0.21928668022155762,9003,0.0,0.0,100.0
160,0.2330775260925293,9003,0.0,0.0,100.0
161,0.23477721214294434,9003,0.0,0.0,100.0
170,0.2501397132873535,9003,0.0,0.0,100.0
180,0.2639939785003662,9003,0.0,0.0,100.0
190,0.27880382537841797,9003,0.0,0.0,100.0
200,0.2918069362640381,9003,0.0,0.0,100.0
207,0.302807092666626,9003,0.0,0.0,100.0
210,0.306610107421875,9003,0.0,0.0,100.0
220,0.32042765617370605,9003,0.0,0.0,100.0
225,0.3283987045288086,9003,0.0,0.0,100.0
230,0.33523035049438477,9003,0.0,0.0,100.0
235,0.3429715633392334,9003,0.0,0.0,100.0
240,0.34876012802124023,9003,0.0,0.0,100.0
250,0.3620564937591553,9003,0.0,0.0,100.0
260,0.3756551742553711,9003,0.0,0.0,100.0
270,0.38929104804992676,9003,0.0,0.0,100.0
280,0.4050483703613281,9003,0.0,0.0,100.0
289,0.4170689582824707,9003,0.0,0.0,100.0
290,0.418595552444458,9003,0.0,0.0,100.0
295,0.42598581314086914,9003,0.0,0.0,100.0
300,0.4327707290649414,9003,0.0,0.0,100.0
301,0.434478759765625,9004,0.0,0.0,100.0
305,0.440654993057251,9004,0.0,0.0,100.0
310,0.4471466541290283,9004,0.0,0.0,100.0
314,0.45275306701660156,9004,0.0,0.0,100.0
320,0.46185874938964844,9004,0.0,0.0,100.0
329,0.4743659496307373,9004,0.0,0.0,100.0
330,0.47578978538513184,9004,0.0,0.0,100.0
340,0.4885728359222412,9004,0.0,0.0,100.0
350,0.5034360885620117,9004,0.0,0.0,100.0
360,0.5175001621246338,9004,0.0,0.0,100.0
370,0.5312929153442383,9004,0.0,0.0,100.0
380,0.5457050800323486,9004,0.0,0.0,100.0
390,0.5602881908416748,9004,0.0,0.0,100.0
400,0.5732884407043457,9004,0.0,0.0,100.0
410,0.5846891403198242,9004,0.0,0.0,100.0
420,0.5978090763092041,9004,0.0,0.0,100.0
430,0.6108443737030029,9004,0.0,0.0,100.0
440,0.6231920719146729,9004,0.0,0.0,100.0
450,0.6365418434143066,9004,0.0,0.0,100.0
455,0.645298957824707,9005,0.0,0.0,100.0
460,0.6540379524230957,9005,0.0,0.0,100.0
470,0.6691572666168213,9005,0.0,0.0,100.0
473,0.6738855838775635,9005,0.0,0.0,100.0
480,0.683657169342041,9005,0.0,0.0,100.0
487,0.6929516792297363,9005,0.0,0.0,100.0
490,0.696819543838501,9005,0.0,0.0,100.0
500,0.7109470367431641,9005,0.0,0.0,100.0
510,0.724515438079834,9005,0.0,0.0,100.0
520,0.7379021644592285,9005,0.0,0.0,100.0
530,0.751685619354248,9005,0.0,0.0,100.0
540,0.7675235271453857,9005,0.0,0.0,100.0
550,0.7825477123260498,9005,0.0,0.0,100.0
560,0.7964694499969482,9005,0.0,0.0,100.0
564,0.8020758628845215,9005,0.0,0.0,100.0
570,0.8104631900787354,9005,0.0,0.0,100.0
572,0.8136680126190186,9005,0.0,0.0,100.0
579,0.8237514495849609,9005,0.0,0.0,100.0
580,0.8252060413360596,9005,0.0,0.0,100.0
590,0.8397607803344727,9005,0.0,0.0,100.0
597,0.8493466377258301,9005,0.0,0.0,100.0
600,0.8532476425170898,9005,0.0,0.0,100.0
608,0.8678839206695557,9006,0.0,0.0,100.0
610,0.8706700801849365,9006,0.0,0.0,100.0
620,0.8883085250854492,9006,0.0,0.0,100.0
630,0.905609130859375,9006,0.0,0.0,100.0
640,0.9235506057739258,9006,0.0,0.0,100.0
644,0.9306316375732422,9007,0.0,0.0,100.0
650,0.9406270980834961,9007,0.0,0.0,100.0
660,0.9607477188110352,9007,0.0,0.0,100.0
670,0.9743521213531494,9007,0.0,0.0,100.0
679,0.9880199432373047,9008,0.0,0.0,100.0
680,0.9895827770233154,9008,0.0,0.0,100.0
