Iteration,Time_Seconds,Objective_Value,W_Shift,W_Swap,W_Kick
0,0.0,9385,0.0,0.0,100.0
10,0.014928102493286133,9385,0.0,0.0,100.0
11,0.016911029815673828,9385,0.0,0.0,100.0
20,0.032085418701171875,9385,0.0,0.0,100.0
30,0.04666304588317871,9385,0.0,0.0,100.0
40,0.06127810478210449,9385,0.0,0.0,100.0
42,0.06454753875732422,9385,0.0,0.0,100.0
45,0.06956934928894043,9385,0.0,0.0,100.0
50,0.07704567909240723,9385,0.0,0.0,100.0
60,0.09171104431152344,9385,0.0,0.0,100.0
69,0.10397505760192871,9385,0.0,0.0,100.0
70,0.10543513298034668,9385,0.0,0.0,100.0
80,0.1201620101928711,9385,0.0,0.0,100.0
87,0.13248229026794434,9385,0.0,0.0,100.0
89,0.13576245307922363,9385,0.0,0.0,100.0
90,0.13732385635375977,9385,0.0,0.0,100.0
100,0.15182018280029297,9385,0.0,0.0,100.0
108,0.16422009468078613,9385,0.0,0.0,100.0
110,0.16754937171936035,9385,0.0,0.0,100.0
120,0.18168258666992188,9385,0.0,0.0,100.0
130,0.1970045566558838,9385,0.0,0.0,100.0
140,0.21122407913208008,9385,0.0,0.0,100.0
145,0.2188558578491211,9385,0.0,0.0,100.0
150,0.22663402557373047,9385,0.0,0.0,100.0
160,0.24200773239135742,9385,0.0,0.0,100.0
170,0.25612854957580566,9385,0.0,0.0,100.0
180,0.26905059814453125,9385,0.0,0.0,100.0
185,0.2771148681640625,9385,0.0,0.0,100.0
190,0.2847142219543457,9385,0.0,0.0,100.0
200,0.29775357246398926,9385,0.0,0.0,100.0
210,0.3112831115722656,9385,0.0,0.0,100.0
220,0.32848572731018066,9385,0.0,0.0,100.0
230,0.34434032440185547,9385,0.0,0.0,100.0
237,0.3560824394226074,9385,0.0,0.0,100.0
240,0.3600754737854004,9385,0.0,0.0,100.0
248,0.37191319465637207,9385,0.0,0.0,100.0
250,0.3743627071380615,9385,0.0,0.0,100.0
252,0.3776545524597168,9385,0.0,0.0,100.0
260,0.38809680938720703,9385,0.0,0.0,100.0
270,0.4023475646972656,9385,0.0,0.0,100.0
280,0.41662025451660156,9385,0.0,0.0,100.0
290,0.4306197166442871,9385,0.0,0.0,100.0
300,0.44550490379333496,9385,0.0,0.0,100.0
308,0.4578375816345215,9385,0.0,0.0,100.0
310,0.46024227142333984,9385,0.0,0.0,100.0
320,0.47435545921325684,9385,0.0,0.0,100.0
330,0.49001073837280273,9385,0.0,0.0,100.0
340,0.5037200450897217,9385,0.0,0.0,100.0
350,0.5172679424285889,9385,0.0,0.0,100.0
360,0.5315930843353271,9385,0.0,0.0,100.0
370,0.547050952911377,9385,0.0,0.0,100.0
380,0.5617682933807373,9385,0.0,0.0,100.0
390,0.577294111251831,9385,0.0,0.0,100.0
400,0.5937762260437012,9385,0.0,0.0,100.0
406,0.6033082008361816,9385,0.0,0.0,100.0
410,0.6093358993530273,9385,0.0,0.0,100.0
420,0.6244323253631592,9385,0.0,0.0,100.0
430,0.6385283470153809,9385,0.0,0.0,100.0
440,0.6542472839355469,9385,0.0,0.0,100.0
450,0.6702048778533936,9385,0.0,0.0,100.0
460,0.6843807697296143,9385,0.0,0.0,100.0
470,0.6984474658966064,9385,0.0,0.0,100.0
480,0.7142200469970703,9385,0.0,0.0,100.0
490,0.7288222312927246,9385,0.0,0.0,100.0
492,0.7321596145629883,9385,0.0,0.0,100.0
500,0.7440304756164551,9385,0.0,0.0,100.0
508,0.7564749717712402,9385,0.0,0.0,100.0
510,0.7595524787902832,9385,0.0,0.0,100.0
520,0.7758362293243408,9385,0.0,0.0,100.0
527,0.7868683338165283,9385,0.0,0.0,100.0
530,0.7914261817932129,9385,0.0,0.0,100.0
540,0.8082854747772217,9385,0.0,0.0,100.0
543,0.8174498081207275,9385,0.0,0.0,100.0
550,0.8270690441131592,9385,0.0,0.0,100.0
560,0.8493638038635254,9385,0.0,0.0,100.0
570,0.8656373023986816,9385,0.0,0.0,100.0
580,0.8802163600921631,9385,0.0,0.0,100.0
590,0.8941812515258789,9385,0.0,0.0,100.0
598,0.9057769775390625,9385,0.0,0.0,100.0
600,0.9092519283294678,9385,0.0,0.0,100.0
604,0.9159951210021973,9385,0.0,0.0,100.0
610,0.9273104667663574,9385,0.0,0.0,100.0
620,0.94527268409729,9385,0.0,0.0,100.0
630,0.9601190090179443,9385,0.0,0.0,100.0
640,0.9778769016265869,9385,0.0,0.0,100.0
650,0.9930551052093506,9385,0.0,0.0,100.0
660,1.0116581916809082,9385,0.0,0.0,100.0
670,1.0349984169006348,9385,0.0,0.0,100.0
680,1.0561747550964355,9385,0.0,0.0,100.0
690,1.0801441669464111,9385,0.0,0.0,100.0
700,1.1028740406036377,9385,0.0,0.0,100.0
710,1.1184256076812744,9385,0.0,0.0,100.0
712,1.1211702823638916,9385,0.0,0.0,100.0
720,1.132171630859375,9385,0.0,0.0,100.0
730,1.1521379947662354,9385,0.0,0.0,100.0
740,1.1727807521820068,9385,0.0,0.0,100.0
750,1.1868433952331543,9385,0.0,0.0,100.0
760,1.2029950618743896,9385,0.0,0.0,100.0
770,1.215764045715332,9385,0.0,0.0,100.0
780,1.2317478656768799,9385,0.0,0.0,100.0
781,1.233625888824463,9385,0.0,0.0,100.0
790,1.2463364601135254,9385,0.0,0.0,100.0
793,1.251218318939209,9385,0.0,0.0,100.0
800,1.2614593505859375,9385,0.0,0.0,100.0
810,1.2749457359313965,9385,0.0,0.0,100.0
811,1.2767126560211182,9385,0.0,0.0,100.0
819,1.2893955707550049,9385,0.0,0.0,100.0
820,1.2909255027770996,9385,0.0,0.0,100.0
830,1.3064987659454346,9385,0.0,0.0,100.0
840,1.3204395771026611,9385,0.0,0.0,100.0
850,1.336930751800537,9385,0.0,0.0,100.0
853,1.3449010848999023,9385,0.0,0.0,100.0
860,1.354454517364502,9385,0.0,0.0,100.0
870,1.3701553344726562,9385,0.0,0.0,100.0
880,1.386009931564331,9385,0.0,0.0,100.0
890,1.400754690170288,9385,0.0,0.0,100.0
900,1.4136440753936768,9385,0.0,0.0,100.0
910,1.4318790435791016,9385,0.0,0.0,100.0
920,1.4468364715576172,9385,0.0,0.0,100.0
930,1.4605207443237305,9385,0.0,0.0,100.0
934,1.4670560359954834,9385,0.0,0.0,100.0
937,1.4721217155456543,9385,0.0,0.0,100.0
940,1.4762475490570068,9385,0.0,0.0,100.0
950,1.4926905632019043,9385,0.0,0.0,100.0
960,1.507791519165039,9385,0.0,0.0,100.0
970,1.522963285446167,9385,0.0,0.0,100.0
976,1.5337350368499756,9385,0.0,0.0,100.0
980,1.5406122207641602,9385,0.0,0.0,100.0
990,1.556856393814087,9385,0.0,0.0,100.0
1000,1.5868816375732422,9385,0.0,0.0,100.0
1010,1.606252670288086,9385,0.0,0.0,100.0
1020,1.624558448791504,9385,0.0,0.0,100.0
