Iteration,Time_Seconds,Objective_Value,W_Shift,W_Swap,W_Kick
0,0.0,9589,0.0,0.0,100.0
10,0.017206192016601562,9589,0.0,0.0,100.0
12,0.021070003509521484,9589,0.0,0.0,100.0
20,0.03510928153991699,9589,0.0,0.0,100.0
30,0.05362725257873535,9589,0.0,0.0,100.0
32,0.05720400810241699,9589,0.0,0.0,100.0
40,0.07083320617675781,9589,0.0,0.0,100.0
50,0.088134765625,9589,0.0,0.0,100.0
60,0.1068124771118164,9589,0.0,0.0,100.0
65,0.11613154411315918,9589,0.0,0.0,100.0
70,0.1240084171295166,9589,0.0,0.0,100.0
80,0.14263343811035156,9589,0.0,0.0,100.0
90,0.16229891777038574,9589,0.0,0.0,100.0
100,0.18179082870483398,9589,0.0,0.0,100.0
110,0.19900178909301758,9589,0.0,0.0,100.0
120,0.2180783748626709,9589,0.0,0.0,100.0
130,0.23619580268859863,9589,0.0,0.0,100.0
140,0.25426602363586426,9589,0.0,0.0,100.0
150,0.271345853805542,9589,0.0,0.0,100.0
154,0.28026580810546875,9589,0.0,0.0,100.0
160,0.29154157638549805,9589,0.0,0.0,100.0
170,0.3093080520629883,9589,0.0,0.0,100.0
180,0.3270134925842285,9589,0.0,0.0,100.0
190,0.3440260887145996,9589,0.0,0.0,100.0
200,0.360431432723999,9589,0.0,0.0,100.0
210,0.378875732421875,9589,0.0,0.0,100.0
220,0.39666175842285156,9589,0.0,0.0,100.0
230,0.4130685329437256,9589,0.0,0.0,100.0
240,0.43047523498535156,9589,0.0,0.0,100.0
250,0.4466109275817871,9589,0.0,0.0,100.0
260,0.4647817611694336,9589,0.0,0.0,100.0
270,0.4815826416015625,9589,0.0,0.0,100.0
274,0.4895026683807373,9589,0.0,0.0,100.0
280,0.5003759860992432,9589,0.0,0.0,100.0
290,0.5164422988891602,9589,0.0,0.0,100.0
300,0.5334122180938721,9589,0.0,0.0,100.0
310,0.5508103370666504,9589,0.0,0.0,100.0
320,0.5679762363433838,9589,0.0,0.0,100.0
330,0.5855276584625244,9589,0.0,0.0,100.0
340,0.6058852672576904,9589,0.0,0.0,100.0
350,0.626762866973877,9589,0.0,0.0,100.0
360,0.6501314640045166,9589,0.0,0.0,100.0
370,0.6705520153045654,9589,0.0,0.0,100.0
380,0.6871042251586914,9589,0.0,0.0,100.0
390,0.7048914432525635,9589,0.0,0.0,100.0
400,0.7205865383148193,9589,0.0,0.0,100.0
410,0.737372636795044,9589,0.0,0.0,100.0
420,0.7538847923278809,9589,0.0,0.0,100.0
430,0.7714147567749023,9589,0.0,0.0,100.0
440,0.787247896194458,9589,0.0,0.0,100.0
450,0.8029336929321289,9589,0.0,0.0,100.0
460,0.8210263252258301,9589,0.0,0.0,100.0
470,0.8416402339935303,9589,0.0,0.0,100.0
480,0.8626828193664551,9589,0.0,0.0,100.0
490,0.8787295818328857,9589,0.0,0.0,100.0
500,0.894589900970459,9589,0.0,0.0,100.0
510,0.9110381603240967,9589,0.0,0.0,100.0
520,0.9275894165039062,9589,0.0,0.0,100.0
530,0.9437339305877686,9589,0.0,0.0,100.0
540,0.9606795310974121,9589,0.0,0.0,100.0
549,0.9755327701568604,9589,0.0,0.0,100.0
550,0.9773087501525879,9589,0.0,0.0,100.0
560,0.9948251247406006,9589,0.0,0.0,100.0
570,1.0109398365020752,9589,0.0,0.0,100.0
580,1.0291502475738525,9589,0.0,0.0,100.0
590,1.0454185009002686,9589,0.0,0.0,100.0
600,1.0627670288085938,9589,0.0,0.0,100.0
610,1.0802526473999023,9589,0.0,0.0,100.0
620,1.1009058952331543,9589,0.0,0.0,100.0
630,1.1301448345184326,9589,0.0,0.0,100.0
640,1.150834560394287,9589,0.0,0.0,100.0
650,1.1715035438537598,9589,0.0,0.0,100.0
660,1.193230390548706,9589,0.0,0.0,100.0
670,1.2098333835601807,9589,0.0,0.0,100.0
680,1.2263398170471191,9589,0.0,0.0,100.0
690,1.2468039989471436,9589,0.0,0.0,100.0
700,1.264406681060791,9589,0.0,0.0,100.0
710,1.2813575267791748,9589,0.0,0.0,100.0
720,1.2993340492248535,9589,0.0,0.0,100.0
730,1.3167016506195068,9589,0.0,0.0,100.0
740,1.3328149318695068,9589,0.0,0.0,100.0
750,1.3485984802246094,9589,0.0,0.0,100.0
760,1.3649015426635742,9589,0.0,0.0,100.0
770,1.3813354969024658,9589,0.0,0.0,100.0
780,1.3976049423217773,9589,0.0,0.0,100.0
790,1.4156980514526367,9589,0.0,0.0,100.0
800,1.4330453872680664,9589,0.0,0.0,100.0
810,1.4494080543518066,9589,0.0,0.0,100.0
820,1.4679348468780518,9589,0.0,0.0,100.0
830,1.4859442710876465,9589,0.0,0.0,100.0
840,1.5041041374206543,9589,0.0,0.0,100.0
850,1.5216944217681885,9589,0.0,0.0,100.0
860,1.5380942821502686,9589,0.0,0.0,100.0
870,1.5532233715057373,9589,0.0,0.0,100.0
880,1.5693211555480957,9589,0.0,0.0,100.0
890,1.5860342979431152,9589,0.0,0.0,100.0
900,1.6009526252746582,9589,0.0,0.0,100.0
910,1.617290735244751,9589,0.0,0.0,100.0
920,1.6358606815338135,9589,0.0,0.0,100.0
930,1.6549477577209473,9589,0.0,0.0,100.0
932,1.660094976425171,9589,0.0,0.0,100.0
940,1.6747105121612549,9589,0.0,0.0,100.0
950,1.6902856826782227,9589,0.0,0.0,100.0
960,1.705629825592041,9589,0.0,0.0,100.0
970,1.722043752670288,9589,0.0,0.0,100.0
980,1.7383143901824951,9589,0.0,0.0,100.0
990,1.7537033557891846,9589,0.0,0.0,100.0
1000,1.770244836807251,9589,0.0,0.0,100.0
1010,1.7861354351043701,9589,0.0,0.0,100.0
1020,1.8029913902282715,9589,0.0,0.0,100.0
1030,1.8196704387664795,9589,0.0,0.0,100.0
1040,1.8363051414489746,9589,0.0,0.0,100.0
1050,1.851684331893921,9589,0.0,0.0,100.0
1060,1.8676607608795166,9589,0.0,0.0,100.0
1070,1.882901668548584,9589,0.0,0.0,100.0
1080,1.899416208267212,9589,0.0,0.0,100.0
1090,1.9166994094848633,9589,0.0,0.0,100.0
1100,1.9336371421813965,9589,0.0,0.0,100.0
1110,1.950207233428955,9589,0.0,0.0,100.0
1120,1.9653890132904053,9589,0.0,0.0,100.0
1130,1.9813833236694336,9589,0.0,0.0,100.0
1140,1.9975314140319824,9589,0.0,0.0,100.0
1150,2.0135624408721924,9589,0.0,0.0,100.0
1160,2.0303168296813965,9589,0.0,0.0,100.0
1170,2.046271800994873,9589,0.0,0.0,100.0
1180,2.065680980682373,9589,0.0,0.0,100.0
1190,2.0838632583618164,9589,0.0,0.0,100.0
1200,2.102033853530884,9589,0.0,0.0,100.0
1210,2.118778705596924,9589,0.0,0.0,100.0
1220,2.1367762088775635,9589,0.0,0.0,100.0
1230,2.155442953109741,9589,0.0,0.0,100.0
1240,2.172621965408325,9589,0.0,0.0,100.0
1250,2.1906731128692627,9589,0.0,0.0,100.0
1260,2.2088639736175537,9589,0.0,0.0,100.0
1270,2.224867105484009,9589,0.0,0.0,100.0
1280,2.2440528869628906,9589,0.0,0.0,100.0
1290,2.2616732120513916,9589,0.0,0.0,100.0
1300,2.278886556625366,9589,0.0,0.0,100.0
1310,2.296696424484253,9589,0.0,0.0,100.0
1320,2.314913749694824,9589,0.0,0.0,100.0
1330,2.331543445587158,9589,0.0,0.0,100.0
1340,2.3489246368408203,9589,0.0,0.0,100.0
1350,2.366594076156616,9589,0.0,0.0,100.0
1360,2.385329008102417,9589,0.0,0.0,100.0
1370,2.4026272296905518,9589,0.0,0.0,100.0
1380,2.4211480617523193,9589,0.0,0.0,100.0
1390,2.4392921924591064,9589,0.0,0.0,100.0
1400,2.455340623855591,9589,0.0,0.0,100.0
1410,2.472229480743408,9589,0.0,0.0,100.0
1420,2.4891726970672607,9589,0.0,0.0,100.0
1430,2.5062286853790283,9589,0.0,0.0,100.0
1440,2.523064136505127,9589,0.0,0.0,100.0
1450,2.5408968925476074,9589,0.0,0.0,100.0
1452,2.5447726249694824,9589,0.0,0.0,100.0
1460,2.5588161945343018,9589,0.0,0.0,100.0
1470,2.577807903289795,9589,0.0,0.0,100.0
1480,2.595027446746826,9589,0.0,0.0,100.0
1490,2.610470771789551,9589,0.0,0.0,100.0
1500,2.630535364151001,9589,0.0,0.0,100.0
1510,2.647374153137207,9589,0.0,0.0,100.0
1520,2.6667613983154297,9589,0.0,0.0,100.0
1530,2.6838607788085938,9589,0.0,0.0,100.0
1540,2.700101375579834,9589,0.0,0.0,100.0
1550,2.717902421951294,9589,0.0,0.0,100.0
1560,2.733788013458252,9589,0.0,0.0,100.0
1570,2.7502927780151367,9589,0.0,0.0,100.0
1580,2.767460346221924,9589,0.0,0.0,100.0
1590,2.7834746837615967,9589,0.0,0.0,100.0
1600,2.800262689590454,9589,0.0,0.0,100.0
1610,2.8172719478607178,9589,0.0,0.0,100.0
1620,2.8363683223724365,9589,0.0,0.0,100.0
1630,2.853041887283325,9589,0.0,0.0,100.0
1640,2.870435953140259,9589,0.0,0.0,100.0
1650,2.8869974613189697,9589,0.0,0.0,100.0
1660,2.903456449508667,9589,0.0,0.0,100.0
1670,2.920067548751831,9589,0.0,0.0,100.0
1680,2.9371700286865234,9589,0.0,0.0,100.0
1690,2.9550955295562744,9589,0.0,0.0,100.0
1700,2.9733831882476807,9589,0.0,0.0,100.0
1710,2.9923722743988037,9589,0.0,0.0,100.0
1720,3.010775566101074,9589,0.0,0.0,100.0
1730,3.027801513671875,9589,0.0,0.0,100.0
1740,3.043837547302246,9589,0.0,0.0,100.0
1750,3.0615456104278564,9589,0.0,0.0,100.0
1760,3.078852891921997,9589,0.0,0.0,100.0
1770,3.098033905029297,9589,0.0,0.0,100.0
1780,3.116666555404663,9589,0.0,0.0,100.0
1790,3.134282112121582,9589,0.0,0.0,100.0
1800,3.1520721912384033,9589,0.0,0.0,100.0
1810,3.169623613357544,9589,0.0,0.0,100.0
1817,3.1817872524261475,9589,0.0,0.0,100.0
1820,3.186234951019287,9589,0.0,0.0,100.0
1830,3.203467845916748,9589,0.0,0.0,100.0
1840,3.221475601196289,9589,0.0,0.0,100.0
1850,3.2382988929748535,9589,0.0,0.0,100.0
1860,3.254408359527588,9589,0.0,0.0,100.0
1870,3.2698910236358643,9589,0.0,0.0,100.0
1880,3.2857372760772705,9589,0.0,0.0,100.0
1890,3.3022375106811523,9589,0.0,0.0,100.0
1900,3.3185315132141113,9589,0.0,0.0,100.0
1910,3.3355681896209717,9589,0.0,0.0,100.0
1920,3.352036237716675,9589,0.0,0.0,100.0
1930,3.368814706802368,9589,0.0,0.0,100.0
1940,3.3860132694244385,9589,0.0,0.0,100.0
1950,3.4018919467926025,9589,0.0,0.0,100.0
1960,3.417975664138794,9589,0.0,0.0,100.0
1970,3.4339256286621094,9589,0.0,0.0,100.0
1980,3.4510693550109863,9589,0.0,0.0,100.0
1990,3.466459274291992,9589,0.0,0.0,100.0
2000,3.4811906814575195,9589,0.0,0.0,100.0
2010,3.497457265853882,9589,0.0,0.0,100.0
2020,3.513288974761963,9589,0.0,0.0,100.0
2030,3.5309126377105713,9589,0.0,0.0,100.0
2040,3.548095226287842,9589,0.0,0.0,100.0
2045,3.556281089782715,9589,0.0,0.0,100.0
