Iteration,Time_Seconds,Objective_Value,W_Shift,W_Swap,W_Kick
0,0.0,11991,0.0,0.0,100.0
3,0.009222030639648438,11991,0.0,0.0,100.0
4,0.01235508918762207,11991,0.0,0.0,100.0
10,0.026135921478271484,11991,0.0,0.0,100.0
20,0.04966259002685547,11991,0.0,0.0,100.0
30,0.07244229316711426,11991,0.0,0.0,100.0
37,0.08880829811096191,11991,0.0,0.0,100.0
40,0.09467840194702148,11991,0.0,0.0,100.0
50,0.11800360679626465,11991,0.0,0.0,100.0
60,0.1403059959411621,11991,0.0,0.0,100.0
70,0.16205430030822754,11991,0.0,0.0,100.0
80,0.1828317642211914,11991,0.0,0.0,100.0
84,0.19190740585327148,11991,0.0,0.0,100.0
90,0.20654773712158203,11991,0.0,0.0,100.0
100,0.228424072265625,11991,0.0,0.0,100.0
110,0.2494511604309082,11991,0.0,0.0,100.0
120,0.27288293838500977,11991,0.0,0.0,100.0
126,0.2866394519805908,11991,0.0,0.0,100.0
130,0.2954580783843994,11991,0.0,0.0,100.0
140,0.31885862350463867,11991,0.0,0.0,100.0
150,0.34230732917785645,11991,0.0,0.0,100.0
160,0.36577820777893066,11991,0.0,0.0,100.0
170,0.39159250259399414,11991,0.0,0.0,100.0
180,0.41994619369506836,11991,0.0,0.0,100.0
189,0.4429175853729248,11991,0.0,0.0,100.0
190,0.4451155662536621,11991,0.0,0.0,100.0
200,0.46884822845458984,11991,0.0,0.0,100.0
210,0.4971916675567627,11991,0.0,0.0,100.0
220,0.5198512077331543,11991,0.0,0.0,100.0
230,0.5438175201416016,11991,0.0,0.0,100.0
240,0.5665585994720459,11991,0.0,0.0,100.0
244,0.5788192749023438,11991,0.0,0.0,100.0
250,0.5948448181152344,11991,0.0,0.0,100.0
260,0.621859073638916,11991,0.0,0.0,100.0
270,0.6557731628417969,11991,0.0,0.0,100.0
280,0.6841380596160889,11991,0.0,0.0,100.0
290,0.7126712799072266,11991,0.0,0.0,100.0
300,0.7386302947998047,11991,0.0,0.0,100.0
310,0.7662184238433838,11991,0.0,0.0,100.0
320,0.7976419925689697,11991,0.0,0.0,100.0
330,0.8342132568359375,11991,0.0,0.0,100.0
340,0.8592479228973389,11991,0.0,0.0,100.0
350,0.8829989433288574,11991,0.0,0.0,100.0
354,0.8926072120666504,11991,0.0,0.0,100.0
360,0.90659499168396,11991,0.0,0.0,100.0
364,0.9166817665100098,11991,0.0,0.0,100.0
370,0.9314291477203369,11991,0.0,0.0,100.0
380,0.9533960819244385,11991,0.0,0.0,100.0
390,0.9745669364929199,11991,0.0,0.0,100.0
400,0.9973421096801758,11991,0.0,0.0,100.0
410,1.0185153484344482,11991,0.0,0.0,100.0
420,1.0399062633514404,11991,0.0,0.0,100.0
430,1.0626776218414307,11991,0.0,0.0,100.0
440,1.0869581699371338,11991,0.0,0.0,100.0
450,1.1100232601165771,11991,0.0,0.0,100.0
460,1.1331124305725098,11991,0.0,0.0,100.0
470,1.155834674835205,11991,0.0,0.0,100.0
480,1.1757152080535889,11991,0.0,0.0,100.0
490,1.1995511054992676,11991,0.0,0.0,100.0
500,1.2215545177459717,11991,0.0,0.0,100.0
510,1.2439169883728027,11991,0.0,0.0,100.0
520,1.2673578262329102,11991,0.0,0.0,100.0
530,1.2908916473388672,11991,0.0,0.0,100.0
540,1.3141226768493652,11991,0.0,0.0,100.0
550,1.3355491161346436,11991,0.0,0.0,100.0
560,1.3577921390533447,11991,0.0,0.0,100.0
570,1.3814632892608643,11991,0.0,0.0,100.0
580,1.4045825004577637,11991,0.0,0.0,100.0
590,1.4260170459747314,11991,0.0,0.0,100.0
600,1.4483892917633057,11991,0.0,0.0,100.0
610,1.470017671585083,11991,0.0,0.0,100.0
613,1.4770252704620361,11991,0.0,0.0,100.0
620,1.4923381805419922,11991,0.0,0.0,100.0
630,1.5157978534698486,11991,0.0,0.0,100.0
640,1.53920316696167,11991,0.0,0.0,100.0
650,1.562596321105957,11991,0.0,0.0,100.0
660,1.5858497619628906,11991,0.0,0.0,100.0
670,1.6082513332366943,11991,0.0,0.0,100.0
680,1.6298720836639404,11991,0.0,0.0,100.0
690,1.6510999202728271,11991,0.0,0.0,100.0
700,1.6731691360473633,11991,0.0,0.0,100.0
710,1.694105863571167,11991,0.0,0.0,100.0
720,1.7155437469482422,11991,0.0,0.0,100.0
730,1.738447904586792,11991,0.0,0.0,100.0
740,1.760746717453003,11991,0.0,0.0,100.0
750,1.7819926738739014,11991,0.0,0.0,100.0
760,1.803403615951538,11991,0.0,0.0,100.0
770,1.8267204761505127,11991,0.0,0.0,100.0
780,1.851085901260376,11991,0.0,0.0,100.0
790,1.8737413883209229,11991,0.0,0.0,100.0
800,1.896467924118042,11991,0.0,0.0,100.0
810,1.9151532649993896,11991,0.0,0.0,100.0
820,1.9372637271881104,11991,0.0,0.0,100.0
830,1.9598524570465088,11991,0.0,0.0,100.0
840,1.984654188156128,11991,0.0,0.0,100.0
850,2.0076067447662354,11991,0.0,0.0,100.0
860,2.0330379009246826,11991,0.0,0.0,100.0
870,2.0563602447509766,11991,0.0,0.0,100.0
880,2.0817971229553223,11991,0.0,0.0,100.0
890,2.103286027908325,11991,0.0,0.0,100.0
900,2.1240131855010986,11991,0.0,0.0,100.0
910,2.146231174468994,11991,0.0,0.0,100.0
920,2.16967511177063,11991,0.0,0.0,100.0
930,2.1922638416290283,11991,0.0,0.0,100.0
940,2.214423894882202,11991,0.0,0.0,100.0
950,2.236463785171509,11991,0.0,0.0,100.0
960,2.2584285736083984,11991,0.0,0.0,100.0
970,2.2798380851745605,11991,0.0,0.0,100.0
980,2.3013556003570557,11991,0.0,0.0,100.0
990,2.3229994773864746,11991,0.0,0.0,100.0
1000,2.3447647094726562,11991,0.0,0.0,100.0
1010,2.3687522411346436,11991,0.0,0.0,100.0
1020,2.392662525177002,11991,0.0,0.0,100.0
1030,2.416645050048828,11991,0.0,0.0,100.0
1040,2.4393813610076904,11991,0.0,0.0,100.0
1050,2.4618616104125977,11991,0.0,0.0,100.0
1060,2.48429536819458,11991,0.0,0.0,100.0
1070,2.50632643699646,11991,0.0,0.0,100.0
1080,2.528334617614746,11991,0.0,0.0,100.0
1090,2.550185441970825,11991,0.0,0.0,100.0
1100,2.571442127227783,11991,0.0,0.0,100.0
1110,2.591756582260132,11991,0.0,0.0,100.0
1120,2.61460280418396,11991,0.0,0.0,100.0
