Iteration,Time_Seconds,Objective_Value,W_Shift,W_Swap,W_Kick
0,0.0,11944,0.0,0.0,100.0
10,0.03069901466369629,11944,0.0,0.0,100.0
19,0.05109262466430664,11944,0.0,0.0,100.0
20,0.05469775199890137,11944,0.0,0.0,100.0
22,0.05916285514831543,11944,0.0,0.0,100.0
30,0.07771778106689453,11944,0.0,0.0,100.0
40,0.10066628456115723,11944,0.0,0.0,100.0
50,0.12041449546813965,11944,0.0,0.0,100.0
60,0.14243459701538086,11944,0.0,0.0,100.0
66,0.15524864196777344,11944,0.0,0.0,100.0
70,0.1636946201324463,11944,0.0,0.0,100.0
80,0.19381308555603027,11944,0.0,0.0,100.0
90,0.22177338600158691,11944,0.0,0.0,100.0
100,0.24406814575195312,11944,0.0,0.0,100.0
106,0.25942015647888184,11944,0.0,0.0,100.0
110,0.2673952579498291,11944,0.0,0.0,100.0
120,0.2893664836883545,11944,0.0,0.0,100.0
130,0.3141493797302246,11944,0.0,0.0,100.0
140,0.3339872360229492,11944,0.0,0.0,100.0
150,0.35724472999572754,11944,0.0,0.0,100.0
160,0.3813769817352295,11944,0.0,0.0,100.0
170,0.4052412509918213,11944,0.0,0.0,100.0
178,0.42160725593566895,11944,0.0,0.0,100.0
180,0.4262213706970215,11944,0.0,0.0,100.0
185,0.43640828132629395,11944,0.0,0.0,100.0
190,0.4497249126434326,11944,0.0,0.0,100.0
200,0.474869966506958,11944,0.0,0.0,100.0
209,0.4969358444213867,11944,0.0,0.0,100.0
210,0.4984767436981201,11944,0.0,0.0,100.0
220,0.5205106735229492,11944,0.0,0.0,100.0
230,0.5416626930236816,11944,0.0,0.0,100.0
240,0.5639176368713379,11944,0.0,0.0,100.0
250,0.5873663425445557,11944,0.0,0.0,100.0
260,0.6101391315460205,11944,0.0,0.0,100.0
270,0.6329643726348877,11944,0.0,0.0,100.0
276,0.6484298706054688,11944,0.0,0.0,100.0
280,0.6579062938690186,11944,0.0,0.0,100.0
290,0.6879661083221436,11944,0.0,0.0,100.0
293,0.6954166889190674,11944,0.0,0.0,100.0
300,0.7235982418060303,11944,0.0,0.0,100.0
310,0.7468471527099609,11944,0.0,0.0,100.0
320,0.7738656997680664,11944,0.0,0.0,100.0
330,0.7947618961334229,11944,0.0,0.0,100.0
340,0.8149998188018799,11944,0.0,0.0,100.0
350,0.8366339206695557,11944,0.0,0.0,100.0
356,0.8489253520965576,11945,0.0,0.0,100.0
360,0.8570122718811035,11945,0.0,0.0,100.0
370,0.8787868022918701,11945,0.0,0.0,100.0
373,0.8858377933502197,11945,0.0,0.0,100.0
380,0.8992233276367188,11945,0.0,0.0,100.0
390,0.9206490516662598,11945,0.0,0.0,100.0
