Iteration,Time_Seconds,Objective_Value,W_Shift,W_Swap,W_Kick
0,0.0,11307,100.0,0.0,0.0
2,0.005978107452392578,11307,100.0,0.0,0.0
4,0.014372110366821289,11307,100.0,0.0,0.0
6,0.0199735164642334,11307,100.0,0.0,0.0
7,0.02354264259338379,11307,100.0,0.0,0.0
10,0.029433488845825195,11307,100.0,0.0,0.0
11,0.033252716064453125,11307,100.0,0.0,0.0
19,0.05133795738220215,11307,100.0,0.0,0.0
20,0.053090572357177734,11307,100.0,0.0,0.0
21,0.055809736251831055,11307,100.0,0.0,0.0
25,0.0654296875,11307,100.0,0.0,0.0
26,0.06827855110168457,11307,100.0,0.0,0.0
27,0.07105112075805664,11307,100.0,0.0,0.0
30,0.07822585105895996,11307,100.0,0.0,0.0
32,0.08374285697937012,11307,100.0,0.0,0.0
33,0.08731484413146973,11307,100.0,0.0,0.0
34,0.09046554565429688,11307,100.0,0.0,0.0
35,0.09431648254394531,11307,100.0,0.0,0.0
36,0.09775781631469727,11307,100.0,0.0,0.0
39,0.10511159896850586,11307,100.0,0.0,0.0
40,0.10689020156860352,11307,100.0,0.0,0.0
42,0.11179208755493164,11307,100.0,0.0,0.0
46,0.1244661808013916,11307,100.0,0.0,0.0
48,0.13091421127319336,11307,100.0,0.0,0.0
50,0.13730216026306152,11307,100.0,0.0,0.0
51,0.14070677757263184,11307,100.0,0.0,0.0
53,0.1458141803741455,11307,100.0,0.0,0.0
54,0.14905929565429688,11307,100.0,0.0,0.0
55,0.15213537216186523,11307,100.0,0.0,0.0
57,0.15666770935058594,11307,100.0,0.0,0.0
60,0.165510892868042,11307,100.0,0.0,0.0
64,0.18356823921203613,11307,100.0,0.0,0.0
66,0.19005799293518066,11307,100.0,0.0,0.0
69,0.20221471786499023,11307,100.0,0.0,0.0
70,0.2041020393371582,11307,100.0,0.0,0.0
73,0.21450543403625488,11307,100.0,0.0,0.0
74,0.21845388412475586,11307,100.0,0.0,0.0
76,0.22344732284545898,11307,100.0,0.0,0.0
79,0.23357486724853516,11307,100.0,0.0,0.0
80,0.23708081245422363,11307,100.0,0.0,0.0
82,0.24347829818725586,11307,100.0,0.0,0.0
87,0.25575733184814453,11307,100.0,0.0,0.0
88,0.2586648464202881,11307,100.0,0.0,0.0
89,0.26142358779907227,11307,100.0,0.0,0.0
90,0.264146089553833,11307,100.0,0.0,0.0
95,0.2761514186859131,11307,100.0,0.0,0.0
97,0.28080201148986816,11307,100.0,0.0,0.0
100,0.28765153884887695,11307,100.0,0.0,0.0
101,0.29038453102111816,11307,100.0,0.0,0.0
105,0.30029845237731934,11307,100.0,0.0,0.0
106,0.3031022548675537,11307,100.0,0.0,0.0
108,0.3083498477935791,11307,100.0,0.0,0.0
110,0.3137502670288086,11307,100.0,0.0,0.0
112,0.31903934478759766,11307,100.0,0.0,0.0
114,0.3235480785369873,11307,100.0,0.0,0.0
115,0.3262665271759033,11307,100.0,0.0,0.0
118,0.3330872058868408,11307,100.0,0.0,0.0
120,0.3378176689147949,11307,100.0,0.0,0.0
121,0.34053874015808105,11307,100.0,0.0,0.0
124,0.3473520278930664,11307,100.0,0.0,0.0
127,0.35416650772094727,11307,100.0,0.0,0.0
128,0.35687828063964844,11307,100.0,0.0,0.0
130,0.36127209663391113,11307,100.0,0.0,0.0
131,0.36407470703125,11307,100.0,0.0,0.0
132,0.3668968677520752,11307,100.0,0.0,0.0
