Iteration,Time_Seconds,Objective_Value,W_Shift,W_Swap,W_Kick
0,0.0,11991,100.0,0.0,0.0
2,0.005133390426635742,11991,100.0,0.0,0.0
3,0.007999658584594727,11991,100.0,0.0,0.0
10,0.025787830352783203,11991,100.0,0.0,0.0
12,0.03153562545776367,11991,100.0,0.0,0.0
13,0.03502392768859863,11991,100.0,0.0,0.0
14,0.03798341751098633,11991,100.0,0.0,0.0
16,0.04395484924316406,11991,100.0,0.0,0.0
18,0.04870319366455078,11991,100.0,0.0,0.0
19,0.05169367790222168,11991,100.0,0.0,0.0
20,0.05455160140991211,11991,100.0,0.0,0.0
22,0.05896353721618652,11991,100.0,0.0,0.0
23,0.061696529388427734,11991,100.0,0.0,0.0
24,0.06450104713439941,11991,100.0,0.0,0.0
26,0.07020330429077148,11991,100.0,0.0,0.0
27,0.07310771942138672,11991,100.0,0.0,0.0
30,0.0806417465209961,11991,100.0,0.0,0.0
31,0.08356642723083496,11991,100.0,0.0,0.0
33,0.08889007568359375,11991,100.0,0.0,0.0
36,0.09670686721801758,11991,100.0,0.0,0.0
37,0.09963631629943848,11991,100.0,0.0,0.0
38,0.1023874282836914,11991,100.0,0.0,0.0
40,0.10658907890319824,11991,100.0,0.0,0.0
41,0.10944724082946777,11991,100.0,0.0,0.0
43,0.11490964889526367,11991,100.0,0.0,0.0
44,0.1178293228149414,11991,100.0,0.0,0.0
48,0.12831544876098633,11991,100.0,0.0,0.0
50,0.1336355209350586,11991,100.0,0.0,0.0
53,0.14161324501037598,11991,100.0,0.0,0.0
56,0.14995718002319336,11991,100.0,0.0,0.0
60,0.1608424186706543,11991,100.0,0.0,0.0
61,0.16383004188537598,11991,100.0,0.0,0.0
65,0.17504310607910156,11991,100.0,0.0,0.0
66,0.1780693531036377,11991,100.0,0.0,0.0
68,0.1835029125213623,11991,100.0,0.0,0.0
70,0.18898653984069824,11991,100.0,0.0,0.0
73,0.19682741165161133,11991,100.0,0.0,0.0
