Iteration,Time_Seconds,Objective_Value,W_Shift,W_Swap,W_Kick
0,0.0,11944,100.0,0.0,0.0
1,0.0086822509765625,11944,100.0,0.0,0.0
9,0.03197646141052246,11944,100.0,0.0,0.0
10,0.03504753112792969,11944,100.0,0.0,0.0
11,0.0381166934967041,11944,100.0,0.0,0.0
12,0.04153943061828613,11944,100.0,0.0,0.0
15,0.05288219451904297,11944,100.0,0.0,0.0
16,0.05882549285888672,11944,100.0,0.0,0.0
18,0.06668567657470703,11944,100.0,0.0,0.0
19,0.0729529857635498,11944,100.0,0.0,0.0
20,0.0781857967376709,11944,100.0,0.0,0.0
21,0.08129382133483887,11944,100.0,0.0,0.0
25,0.09523749351501465,11944,100.0,0.0,0.0
26,0.09920549392700195,11944,100.0,0.0,0.0
28,0.10595226287841797,11944,100.0,0.0,0.0
30,0.11228013038635254,11944,100.0,0.0,0.0
31,0.11563944816589355,11944,100.0,0.0,0.0
37,0.13184785842895508,11944,100.0,0.0,0.0
38,0.13494110107421875,11944,100.0,0.0,0.0
39,0.13808465003967285,11944,100.0,0.0,0.0
40,0.13985395431518555,11944,100.0,0.0,0.0
41,0.1430215835571289,11944,100.0,0.0,0.0
42,0.1465134620666504,11944,100.0,0.0,0.0
46,0.1581122875213623,11944,100.0,0.0,0.0
48,0.16370177268981934,11944,100.0,0.0,0.0
50,0.1688077449798584,11944,100.0,0.0,0.0
55,0.18335390090942383,11944,100.0,0.0,0.0
56,0.18746614456176758,11944,100.0,0.0,0.0
58,0.19388222694396973,11944,100.0,0.0,0.0
60,0.1993248462677002,11944,100.0,0.0,0.0
61,0.2023942470550537,11944,100.0,0.0,0.0
64,0.2108781337738037,11944,100.0,0.0,0.0
66,0.21719098091125488,11944,100.0,0.0,0.0
67,0.22019720077514648,11944,100.0,0.0,0.0
68,0.22358965873718262,11944,100.0,0.0,0.0
69,0.22675108909606934,11944,100.0,0.0,0.0
70,0.22999835014343262,11944,100.0,0.0,0.0
72,0.23594927787780762,11944,100.0,0.0,0.0
73,0.2390294075012207,11944,100.0,0.0,0.0
75,0.24803972244262695,11944,100.0,0.0,0.0
76,0.25160956382751465,11944,100.0,0.0,0.0
77,0.25495076179504395,11944,100.0,0.0,0.0
78,0.2583625316619873,11944,100.0,0.0,0.0
79,0.2615492343902588,11944,100.0,0.0,0.0
80,0.2645139694213867,11944,100.0,0.0,0.0
81,0.2679457664489746,11944,100.0,0.0,0.0
82,0.2711982727050781,11944,100.0,0.0,0.0
84,0.27721643447875977,11944,100.0,0.0,0.0
87,0.28598904609680176,11944,100.0,0.0,0.0
90,0.29588747024536133,11944,100.0,0.0,0.0
92,0.30172061920166016,11944,100.0,0.0,0.0
93,0.30483078956604004,11944,100.0,0.0,0.0
94,0.30838704109191895,11944,100.0,0.0,0.0
96,0.31545567512512207,11944,100.0,0.0,0.0
98,0.3214387893676758,11944,100.0,0.0,0.0
