Iteration,Time_Seconds,Objective_Value,W_Shift,W_Swap,W_Kick
0,0.0,9385,0.0,100.0,0.0
10,0.05153465270996094,9385,0.0,100.0,0.0
20,0.10199332237243652,9385,0.0,100.0,0.0
30,0.15231060981750488,9385,0.0,100.0,0.0
40,0.20633363723754883,9385,0.0,100.0,0.0
50,0.25833845138549805,9385,0.0,100.0,0.0
60,0.3127875328063965,9385,0.0,100.0,0.0
70,0.36499953269958496,9385,0.0,100.0,0.0
80,0.4183642864227295,9385,0.0,100.0,0.0
90,0.4683971405029297,9385,0.0,100.0,0.0
100,0.5183720588684082,9385,0.0,100.0,0.0
110,0.5673658847808838,9385,0.0,100.0,0.0
120,0.6203038692474365,9385,0.0,100.0,0.0
130,0.6704978942871094,9385,0.0,100.0,0.0
140,0.7181603908538818,9385,0.0,100.0,0.0
150,0.7706434726715088,9385,0.0,100.0,0.0
160,0.819990873336792,9385,0.0,100.0,0.0
170,0.8730056285858154,9385,0.0,100.0,0.0
180,0.9319067001342773,9385,0.0,100.0,0.0
190,0.9838507175445557,9385,0.0,100.0,0.0
200,1.0338993072509766,9385,0.0,100.0,0.0
210,1.0940394401550293,9385,0.0,100.0,0.0
220,1.1512763500213623,9385,0.0,100.0,0.0
230,1.2049047946929932,9385,0.0,100.0,0.0
240,1.2573440074920654,9385,0.0,100.0,0.0
250,1.3111274242401123,9385,0.0,100.0,0.0
260,1.3748366832733154,9385,0.0,100.0,0.0
270,1.4433965682983398,9385,0.0,100.0,0.0
280,1.50215744972229,9385,0.0,100.0,0.0
290,1.5604197978973389,9385,0.0,100.0,0.0
300,1.6183974742889404,9385,0.0,100.0,0.0
310,1.6681585311889648,9385,0.0,100.0,0.0
320,1.7201564311981201,9385,0.0,100.0,0.0
330,1.770824670791626,9385,0.0,100.0,0.0
340,1.8228721618652344,9385,0.0,100.0,0.0
350,1.8746426105499268,9385,0.0,100.0,0.0
360,1.9269359111785889,9385,0.0,100.0,0.0
370,1.9761478900909424,9385,0.0,100.0,0.0
380,2.0274856090545654,9385,0.0,100.0,0.0
390,2.082799196243286,9385,0.0,100.0,0.0
400,2.1378774642944336,9385,0.0,100.0,0.0
410,2.1939711570739746,9385,0.0,100.0,0.0
420,2.248467445373535,9385,0.0,100.0,0.0
