Iteration,Time_Seconds,Objective_Value,W_Shift,W_Swap,W_Kick
0,0.0,2397,0.0,100.0,0.0
10,0.013243436813354492,2397,0.0,100.0,0.0
20,0.02493762969970703,2397,0.0,100.0,0.0
30,0.036420583724975586,2397,0.0,100.0,0.0
40,0.048401832580566406,2397,0.0,100.0,0.0
50,0.0593719482421875,2397,0.0,100.0,0.0
60,0.07059526443481445,2397,0.0,100.0,0.0
70,0.08188962936401367,2397,0.0,100.0,0.0
80,0.09256339073181152,2397,0.0,100.0,0.0
90,0.10555148124694824,2397,0.0,100.0,0.0
100,0.11879849433898926,2397,0.0,100.0,0.0
110,0.1311790943145752,2397,0.0,100.0,0.0
120,0.1438887119293213,2397,0.0,100.0,0.0
130,0.15572667121887207,2397,0.0,100.0,0.0
140,0.1669304370880127,2397,0.0,100.0,0.0
150,0.17847013473510742,2397,0.0,100.0,0.0
160,0.1915576457977295,2397,0.0,100.0,0.0
170,0.2043609619140625,2397,0.0,100.0,0.0
180,0.21714067459106445,2397,0.0,100.0,0.0
190,0.2304229736328125,2397,0.0,100.0,0.0
200,0.24364948272705078,2397,0.0,100.0,0.0
210,0.2593083381652832,2397,0.0,100.0,0.0
220,0.2742929458618164,2397,0.0,100.0,0.0
230,0.2888829708099365,2397,0.0,100.0,0.0
240,0.3040945529937744,2397,0.0,100.0,0.0
250,0.318371057510376,2397,0.0,100.0,0.0
260,0.33155083656311035,2397,0.0,100.0,0.0
270,0.3451368808746338,2397,0.0,100.0,0.0
280,0.3584170341491699,2397,0.0,100.0,0.0
290,0.3731343746185303,2397,0.0,100.0,0.0
300,0.3882744312286377,2397,0.0,100.0,0.0
310,0.40204381942749023,2397,0.0,100.0,0.0
320,0.41906094551086426,2397,0.0,100.0,0.0
330,0.43308424949645996,2397,0.0,100.0,0.0
340,0.4468817710876465,2397,0.0,100.0,0.0
350,0.4611489772796631,2397,0.0,100.0,0.0
360,0.47858715057373047,2397,0.0,100.0,0.0
370,0.4983649253845215,2397,0.0,100.0,0.0
380,0.5113928318023682,2397,0.0,100.0,0.0
390,0.5236504077911377,2397,0.0,100.0,0.0
400,0.5363590717315674,2397,0.0,100.0,0.0
410,0.5484709739685059,2397,0.0,100.0,0.0
420,0.5630044937133789,2397,0.0,100.0,0.0
430,0.5774402618408203,2397,0.0,100.0,0.0
440,0.5908167362213135,2397,0.0,100.0,0.0
450,0.6028616428375244,2397,0.0,100.0,0.0
460,0.6181192398071289,2397,0.0,100.0,0.0
470,0.6303544044494629,2397,0.0,100.0,0.0
480,0.643132209777832,2397,0.0,100.0,0.0
490,0.6569950580596924,2397,0.0,100.0,0.0
500,0.6702237129211426,2397,0.0,100.0,0.0
510,0.6874020099639893,2397,0.0,100.0,0.0
520,0.707927942276001,2397,0.0,100.0,0.0
530,0.7211935520172119,2397,0.0,100.0,0.0
540,0.7374954223632812,2397,0.0,100.0,0.0
550,0.7514934539794922,2397,0.0,100.0,0.0
560,0.762742280960083,2397,0.0,100.0,0.0
570,0.7748925685882568,2397,0.0,100.0,0.0
580,0.7906973361968994,2397,0.0,100.0,0.0
590,0.8051915168762207,2397,0.0,100.0,0.0
600,0.8171026706695557,2397,0.0,100.0,0.0
610,0.8315093517303467,2397,0.0,100.0,0.0
620,0.8446910381317139,2397,0.0,100.0,0.0
630,0.8587853908538818,2397,0.0,100.0,0.0
640,0.8788149356842041,2397,0.0,100.0,0.0
650,0.8926737308502197,2397,0.0,100.0,0.0
660,0.9063479900360107,2397,0.0,100.0,0.0
670,0.9193837642669678,2397,0.0,100.0,0.0
680,0.9317588806152344,2397,0.0,100.0,0.0
690,0.9493944644927979,2397,0.0,100.0,0.0
700,0.9677188396453857,2397,0.0,100.0,0.0
710,0.9888362884521484,2397,0.0,100.0,0.0
720,1.0046515464782715,2397,0.0,100.0,0.0
730,1.0184218883514404,2397,0.0,100.0,0.0
740,1.0381934642791748,2397,0.0,100.0,0.0
750,1.054018259048462,2397,0.0,100.0,0.0
760,1.0663421154022217,2397,0.0,100.0,0.0
770,1.0859014987945557,2397,0.0,100.0,0.0
780,1.1003084182739258,2397,0.0,100.0,0.0
790,1.1150567531585693,2397,0.0,100.0,0.0
800,1.1286725997924805,2397,0.0,100.0,0.0
810,1.139404058456421,2397,0.0,100.0,0.0
820,1.151489019393921,2397,0.0,100.0,0.0
830,1.1627681255340576,2397,0.0,100.0,0.0
840,1.1756293773651123,2397,0.0,100.0,0.0
850,1.188791036605835,2397,0.0,100.0,0.0
860,1.2034270763397217,2397,0.0,100.0,0.0
870,1.2217700481414795,2397,0.0,100.0,0.0
880,1.2353405952453613,2397,0.0,100.0,0.0
890,1.2469432353973389,2397,0.0,100.0,0.0
900,1.2585558891296387,2397,0.0,100.0,0.0
910,1.271195411682129,2397,0.0,100.0,0.0
920,1.2862935066223145,2397,0.0,100.0,0.0
930,1.2998778820037842,2397,0.0,100.0,0.0
940,1.312164306640625,2397,0.0,100.0,0.0
950,1.32310152053833,2397,0.0,100.0,0.0
960,1.335221767425537,2397,0.0,100.0,0.0
970,1.3459630012512207,2397,0.0,100.0,0.0
980,1.357879638671875,2397,0.0,100.0,0.0
990,1.369675636291504,2397,0.0,100.0,0.0
1000,1.3817005157470703,2397,0.0,100.0,0.0
1010,1.3931009769439697,2397,0.0,100.0,0.0
1020,1.4056925773620605,2397,0.0,100.0,0.0
1030,1.4191462993621826,2397,0.0,100.0,0.0
1040,1.4302294254302979,2397,0.0,100.0,0.0
