Iteration,Time_Seconds,Objective_Value,W_Shift,W_Swap,W_Kick
0,0.0,2399,0.0,100.0,0.0
10,0.01074671745300293,2399,0.0,100.0,0.0
20,0.024341344833374023,2399,0.0,100.0,0.0
30,0.03525042533874512,2399,0.0,100.0,0.0
40,0.04628753662109375,2399,0.0,100.0,0.0
50,0.05704498291015625,2399,0.0,100.0,0.0
60,0.0675804615020752,2399,0.0,100.0,0.0
70,0.07800984382629395,2399,0.0,100.0,0.0
80,0.08881616592407227,2399,0.0,100.0,0.0
90,0.1006772518157959,2399,0.0,100.0,0.0
100,0.11106586456298828,2399,0.0,100.0,0.0
110,0.12130928039550781,2399,0.0,100.0,0.0
120,0.1320497989654541,2399,0.0,100.0,0.0
130,0.1420760154724121,2399,0.0,100.0,0.0
140,0.15257787704467773,2399,0.0,100.0,0.0
150,0.16306614875793457,2399,0.0,100.0,0.0
160,0.17328190803527832,2399,0.0,100.0,0.0
170,0.18326258659362793,2399,0.0,100.0,0.0
180,0.19332075119018555,2399,0.0,100.0,0.0
190,0.20462322235107422,2399,0.0,100.0,0.0
200,0.2156054973602295,2399,0.0,100.0,0.0
210,0.22618937492370605,2399,0.0,100.0,0.0
220,0.23689579963684082,2399,0.0,100.0,0.0
230,0.24775171279907227,2399,0.0,100.0,0.0
240,0.25800418853759766,2399,0.0,100.0,0.0
250,0.26825380325317383,2399,0.0,100.0,0.0
260,0.27959704399108887,2399,0.0,100.0,0.0
270,0.29004979133605957,2399,0.0,100.0,0.0
280,0.30094075202941895,2399,0.0,100.0,0.0
290,0.3119795322418213,2399,0.0,100.0,0.0
300,0.3227863311767578,2399,0.0,100.0,0.0
310,0.3343191146850586,2399,0.0,100.0,0.0
320,0.3454103469848633,2399,0.0,100.0,0.0
330,0.35578036308288574,2399,0.0,100.0,0.0
340,0.3660449981689453,2399,0.0,100.0,0.0
350,0.3766794204711914,2399,0.0,100.0,0.0
360,0.38712453842163086,2399,0.0,100.0,0.0
370,0.39818501472473145,2399,0.0,100.0,0.0
380,0.4091005325317383,2399,0.0,100.0,0.0
390,0.4195106029510498,2399,0.0,100.0,0.0
400,0.42941856384277344,2399,0.0,100.0,0.0
410,0.43973851203918457,2399,0.0,100.0,0.0
420,0.45002102851867676,2399,0.0,100.0,0.0
430,0.4605133533477783,2399,0.0,100.0,0.0
440,0.4713935852050781,2399,0.0,100.0,0.0
450,0.4816627502441406,2399,0.0,100.0,0.0
460,0.4917910099029541,2399,0.0,100.0,0.0
470,0.502661943435669,2399,0.0,100.0,0.0
480,0.5138053894042969,2399,0.0,100.0,0.0
490,0.5247633457183838,2399,0.0,100.0,0.0
500,0.5360214710235596,2399,0.0,100.0,0.0
510,0.5468661785125732,2399,0.0,100.0,0.0
520,0.557870626449585,2399,0.0,100.0,0.0
530,0.5681426525115967,2399,0.0,100.0,0.0
540,0.5783452987670898,2399,0.0,100.0,0.0
550,0.588637113571167,2399,0.0,100.0,0.0
560,0.5995357036590576,2399,0.0,100.0,0.0
570,0.6096863746643066,2399,0.0,100.0,0.0
580,0.6203222274780273,2399,0.0,100.0,0.0
590,0.6305966377258301,2399,0.0,100.0,0.0
600,0.6409862041473389,2399,0.0,100.0,0.0
610,0.6512317657470703,2399,0.0,100.0,0.0
620,0.6617817878723145,2399,0.0,100.0,0.0
630,0.6721420288085938,2399,0.0,100.0,0.0
640,0.6825885772705078,2399,0.0,100.0,0.0
650,0.6925981044769287,2399,0.0,100.0,0.0
660,0.7033529281616211,2399,0.0,100.0,0.0
670,0.713747501373291,2399,0.0,100.0,0.0
680,0.7240958213806152,2399,0.0,100.0,0.0
690,0.7345232963562012,2399,0.0,100.0,0.0
700,0.745466947555542,2399,0.0,100.0,0.0
710,0.7558119297027588,2399,0.0,100.0,0.0
720,0.7663869857788086,2399,0.0,100.0,0.0
730,0.7776196002960205,2399,0.0,100.0,0.0
740,0.7901062965393066,2399,0.0,100.0,0.0
750,0.8010227680206299,2399,0.0,100.0,0.0
760,0.811936616897583,2399,0.0,100.0,0.0
770,0.8235771656036377,2399,0.0,100.0,0.0
780,0.8343007564544678,2399,0.0,100.0,0.0
790,0.846703052520752,2399,0.0,100.0,0.0
800,0.8577256202697754,2399,0.0,100.0,0.0
810,0.8685715198516846,2399,0.0,100.0,0.0
820,0.8798155784606934,2399,0.0,100.0,0.0
830,0.8913614749908447,2399,0.0,100.0,0.0
840,0.9039297103881836,2399,0.0,100.0,0.0
850,0.9154691696166992,2399,0.0,100.0,0.0
860,0.9258315563201904,2399,0.0,100.0,0.0
870,0.937307596206665,2399,0.0,100.0,0.0
880,0.9497826099395752,2399,0.0,100.0,0.0
890,0.9615092277526855,2399,0.0,100.0,0.0
900,0.973679780960083,2399,0.0,100.0,0.0
910,0.984684944152832,2399,0.0,100.0,0.0
920,0.995732307434082,2399,0.0,100.0,0.0
930,1.0068786144256592,2399,0.0,100.0,0.0
940,1.0184528827667236,2399,0.0,100.0,0.0
950,1.0287532806396484,2399,0.0,100.0,0.0
960,1.0402193069458008,2399,0.0,100.0,0.0
970,1.0504570007324219,2399,0.0,100.0,0.0
980,1.0608782768249512,2399,0.0,100.0,0.0
990,1.071394920349121,2399,0.0,100.0,0.0
1000,1.081986904144287,2399,0.0,100.0,0.0
1010,1.092909812927246,2399,0.0,100.0,0.0
1020,1.1054935455322266,2399,0.0,100.0,0.0
1030,1.1167280673980713,2399,0.0,100.0,0.0
1040,1.1279780864715576,2399,0.0,100.0,0.0
1050,1.1386525630950928,2399,0.0,100.0,0.0
1060,1.1496729850769043,2399,0.0,100.0,0.0
