Iteration,Time_Seconds,Objective_Value,W_Shift,W_Swap,W_Kick
0,0.0,9592,0.0,100.0,0.0
10,0.05680966377258301,9592,0.0,100.0,0.0
20,0.11315011978149414,9592,0.0,100.0,0.0
30,0.1688389778137207,9592,0.0,100.0,0.0
40,0.2212815284729004,9592,0.0,100.0,0.0
50,0.27431726455688477,9592,0.0,100.0,0.0
60,0.3288416862487793,9592,0.0,100.0,0.0
70,0.3871281147003174,9592,0.0,100.0,0.0
80,0.448253870010376,9592,0.0,100.0,0.0
90,0.5070993900299072,9592,0.0,100.0,0.0
100,0.5661401748657227,9592,0.0,100.0,0.0
110,0.6220009326934814,9592,0.0,100.0,0.0
120,0.6790933609008789,9592,0.0,100.0,0.0
130,0.7355527877807617,9592,0.0,100.0,0.0
140,0.7929563522338867,9592,0.0,100.0,0.0
150,0.8508849143981934,9592,0.0,100.0,0.0
160,0.9074199199676514,9592,0.0,100.0,0.0
170,0.9644277095794678,9592,0.0,100.0,0.0
180,1.0185463428497314,9592,0.0,100.0,0.0
190,1.0718176364898682,9592,0.0,100.0,0.0
200,1.1286818981170654,9592,0.0,100.0,0.0
210,1.1891694068908691,9592,0.0,100.0,0.0
220,1.246068000793457,9592,0.0,100.0,0.0
230,1.3050708770751953,9592,0.0,100.0,0.0
240,1.3655860424041748,9592,0.0,100.0,0.0
250,1.4221556186676025,9592,0.0,100.0,0.0
260,1.479109287261963,9592,0.0,100.0,0.0
270,1.538646936416626,9592,0.0,100.0,0.0
280,1.5995943546295166,9592,0.0,100.0,0.0
290,1.6568360328674316,9592,0.0,100.0,0.0
300,1.7127716541290283,9592,0.0,100.0,0.0
310,1.7722382545471191,9592,0.0,100.0,0.0
320,1.8312151432037354,9592,0.0,100.0,0.0
330,1.8923640251159668,9592,0.0,100.0,0.0
340,1.9494349956512451,9592,0.0,100.0,0.0
350,2.0059499740600586,9592,0.0,100.0,0.0
360,2.067047357559204,9592,0.0,100.0,0.0
370,2.1231772899627686,9592,0.0,100.0,0.0
380,2.1818599700927734,9592,0.0,100.0,0.0
390,2.239609956741333,9592,0.0,100.0,0.0
400,2.2960808277130127,9592,0.0,100.0,0.0
410,2.3542418479919434,9592,0.0,100.0,0.0
420,2.415275812149048,9592,0.0,100.0,0.0
430,2.4734456539154053,9592,0.0,100.0,0.0
440,2.5340328216552734,9592,0.0,100.0,0.0
450,2.592142343521118,9592,0.0,100.0,0.0
460,2.6469905376434326,9592,0.0,100.0,0.0
470,2.7014565467834473,9592,0.0,100.0,0.0
480,2.7563636302948,9592,0.0,100.0,0.0
490,2.8127827644348145,9592,0.0,100.0,0.0
500,2.8758599758148193,9592,0.0,100.0,0.0
510,2.9357073307037354,9592,0.0,100.0,0.0
520,2.990443706512451,9592,0.0,100.0,0.0
530,3.0501132011413574,9592,0.0,100.0,0.0
540,3.1080942153930664,9592,0.0,100.0,0.0
550,3.1637887954711914,9592,0.0,100.0,0.0
560,3.2193844318389893,9592,0.0,100.0,0.0
570,3.275888204574585,9592,0.0,100.0,0.0
580,3.337944269180298,9592,0.0,100.0,0.0
590,3.3985071182250977,9592,0.0,100.0,0.0
600,3.4585225582122803,9592,0.0,100.0,0.0
610,3.5171501636505127,9592,0.0,100.0,0.0
620,3.58390736579895,9592,0.0,100.0,0.0
630,3.6411430835723877,9592,0.0,100.0,0.0
640,3.7017197608947754,9592,0.0,100.0,0.0
650,3.7585692405700684,9592,0.0,100.0,0.0
660,3.8158087730407715,9592,0.0,100.0,0.0
670,3.8746213912963867,9592,0.0,100.0,0.0
680,3.93198299407959,9592,0.0,100.0,0.0
690,3.99078106880188,9592,0.0,100.0,0.0
700,4.047113418579102,9592,0.0,100.0,0.0
710,4.1056883335113525,9592,0.0,100.0,0.0
720,4.168553829193115,9592,0.0,100.0,0.0
730,4.225091218948364,9592,0.0,100.0,0.0
740,4.281837701797485,9592,0.0,100.0,0.0
750,4.351789236068726,9592,0.0,100.0,0.0
760,4.40846586227417,9592,0.0,100.0,0.0
770,4.467775583267212,9592,0.0,100.0,0.0
780,4.526194334030151,9592,0.0,100.0,0.0
790,4.592820167541504,9592,0.0,100.0,0.0
800,4.657465934753418,9592,0.0,100.0,0.0
810,4.720353364944458,9592,0.0,100.0,0.0
820,4.777246713638306,9592,0.0,100.0,0.0
830,4.834240436553955,9592,0.0,100.0,0.0
840,4.888902425765991,9592,0.0,100.0,0.0
850,4.947450399398804,9592,0.0,100.0,0.0
860,5.00240159034729,9592,0.0,100.0,0.0
870,5.059425115585327,9592,0.0,100.0,0.0
880,5.121007680892944,9592,0.0,100.0,0.0
890,5.179627418518066,9592,0.0,100.0,0.0
900,5.238414287567139,9592,0.0,100.0,0.0
910,5.294475078582764,9592,0.0,100.0,0.0
920,5.357888698577881,9592,0.0,100.0,0.0
930,5.431842803955078,9592,0.0,100.0,0.0
940,5.49607253074646,9592,0.0,100.0,0.0
950,5.570969820022583,9592,0.0,100.0,0.0
960,5.632419109344482,9592,0.0,100.0,0.0
970,5.688392877578735,9592,0.0,100.0,0.0
980,5.746412754058838,9592,0.0,100.0,0.0
990,5.80885124206543,9592,0.0,100.0,0.0
1000,5.866884469985962,9592,0.0,100.0,0.0
1010,5.932127475738525,9592,0.0,100.0,0.0
1020,5.995190143585205,9592,0.0,100.0,0.0
1030,6.053724765777588,9592,0.0,100.0,0.0
1040,6.124887704849243,9592,0.0,100.0,0.0
1050,6.192444086074829,9592,0.0,100.0,0.0
1060,6.268801689147949,9592,0.0,100.0,0.0
1070,6.354929208755493,9592,0.0,100.0,0.0
1080,6.425282001495361,9592,0.0,100.0,0.0
1090,6.490478754043579,9592,0.0,100.0,0.0
1100,6.555436611175537,9592,0.0,100.0,0.0
1110,6.620570182800293,9592,0.0,100.0,0.0
1120,6.683029890060425,9592,0.0,100.0,0.0
1130,6.7428669929504395,9592,0.0,100.0,0.0
1140,6.7996649742126465,9592,0.0,100.0,0.0
1150,6.863706827163696,9592,0.0,100.0,0.0
1160,6.930560350418091,9592,0.0,100.0,0.0
1170,6.990498065948486,9592,0.0,100.0,0.0
1180,7.0466601848602295,9592,0.0,100.0,0.0
1190,7.111148834228516,9592,0.0,100.0,0.0
1200,7.1663877964019775,9592,0.0,100.0,0.0
1210,7.22140645980835,9592,0.0,100.0,0.0
1220,7.27650785446167,9592,0.0,100.0,0.0
1230,7.336820840835571,9592,0.0,100.0,0.0
1240,7.394095420837402,9592,0.0,100.0,0.0
1250,7.452232837677002,9592,0.0,100.0,0.0
1260,7.5107340812683105,9592,0.0,100.0,0.0
1270,7.571325778961182,9592,0.0,100.0,0.0
1280,7.629966735839844,9592,0.0,100.0,0.0
1290,7.688576698303223,9592,0.0,100.0,0.0
1300,7.7475244998931885,9592,0.0,100.0,0.0
1310,7.809735298156738,9592,0.0,100.0,0.0
1320,7.86965537071228,9592,0.0,100.0,0.0
1330,7.929800748825073,9592,0.0,100.0,0.0
1340,7.992365121841431,9592,0.0,100.0,0.0
1350,8.055217504501343,9592,0.0,100.0,0.0
1360,8.111947059631348,9592,0.0,100.0,0.0
