Iteration,Time_Seconds,Objective_Value,W_Shift,W_Swap,W_Kick
0,0.0,2223,100.0,100.0,100.0
7,0.0042078495025634766,2223,100.0,100.0,100.0
10,0.005151271820068359,2223,100.0,100.0,100.0
20,0.011486053466796875,2223,100.0,100.0,100.0
23,0.012376546859741211,2223,100.0,100.0,100.0
24,0.012703657150268555,2223,100.0,100.0,100.0
28,0.01381993293762207,2223,100.0,100.0,100.0
30,0.015711307525634766,2223,100.0,100.0,100.0
31,0.016054391860961914,2223,100.0,100.0,100.0
40,0.022208690643310547,2223,100.0,100.0,100.0
43,0.023165225982666016,2223,100.0,100.0,100.0
47,0.024350404739379883,2223,100.0,100.0,100.0
49,0.024862051010131836,2223,100.0,100.0,100.0
50,0.025015592575073242,2223,100.0,100.0,100.0
51,0.025335311889648438,2223,100.0,100.0,100.0
60,0.029854536056518555,2223,100.0,100.0,100.0
70,0.035152435302734375,2223,100.0,100.0,100.0
76,0.037665605545043945,2223,100.0,100.0,100.0
80,0.039574623107910156,2223,100.0,100.0,100.0
88,0.04638099670410156,2223,100.0,100.0,100.0
90,0.04846787452697754,2223,100.0,100.0,100.0
94,0.0504612922668457,2223,100.0,100.0,100.0
95,0.050813913345336914,2223,100.0,100.0,100.0
96,0.05112433433532715,2223,100.0,100.0,100.0
100,0.052919626235961914,2223,100.0,100.0,100.0
110,0.058521270751953125,2223,100.0,100.0,100.0
114,0.062142133712768555,2223,100.0,100.0,100.0
120,0.06457853317260742,2223,100.0,100.0,100.0
121,0.0649406909942627,2223,100.0,100.0,100.0
130,0.07123899459838867,2223,100.0,100.0,100.0
132,0.07193374633789062,2223,100.0,100.0,100.0
137,0.07342672348022461,2223,100.0,100.0,100.0
140,0.07494473457336426,2223,100.0,100.0,100.0
143,0.07721614837646484,2223,100.0,100.0,100.0
146,0.07868671417236328,2223,100.0,100.0,100.0
147,0.07902407646179199,2223,100.0,100.0,100.0
150,0.08137226104736328,2223,100.0,100.0,100.0
160,0.08564376831054688,2223,100.0,100.0,100.0
163,0.08735489845275879,2223,100.0,100.0,100.0
167,0.08830404281616211,2223,100.0,100.0,100.0
170,0.09050941467285156,2223,100.0,100.0,100.0
171,0.09087109565734863,2223,100.0,100.0,100.0
178,0.09582257270812988,2223,100.0,100.0,100.0
180,0.09709429740905762,2223,100.0,100.0,100.0
185,0.09909462928771973,2223,100.0,100.0,100.0
190,0.10033106803894043,2223,100.0,100.0,100.0
198,0.10393142700195312,2223,100.0,100.0,100.0
199,0.10427522659301758,2223,100.0,100.0,100.0
200,0.10531449317932129,2223,100.0,100.0,100.0
208,0.1118004322052002,2223,100.0,100.0,100.0
210,0.11315703392028809,2223,100.0,100.0,100.0
220,0.12005615234375,2223,100.0,100.0,100.0
222,0.12133145332336426,2223,100.0,100.0,100.0
230,0.12756824493408203,2223,100.0,100.0,100.0
233,0.1285395622253418,2223,100.0,100.0,100.0
236,0.13029789924621582,2223,100.0,100.0,100.0
240,0.13303875923156738,2223,100.0,100.0,100.0
242,0.1337137222290039,2223,100.0,100.0,100.0
248,0.13701128959655762,2223,100.0,100.0,100.0
250,0.1383059024810791,2223,100.0,100.0,100.0
260,0.1464061737060547,2223,100.0,100.0,100.0
267,0.15058398246765137,2223,100.0,100.0,100.0
268,0.15093612670898438,2223,100.0,100.0,100.0
270,0.1515510082244873,2223,100.0,100.0,100.0
271,0.15186762809753418,2223,100.0,100.0,100.0
274,0.15407538414001465,2223,100.0,100.0,100.0
280,0.15659451484680176,2223,100.0,100.0,100.0
281,0.15695881843566895,2223,100.0,100.0,100.0
290,0.16232562065124512,2223,100.0,100.0,100.0
291,0.16267156600952148,2223,100.0,100.0,100.0
294,0.16365933418273926,2223,100.0,100.0,100.0
296,0.16505837440490723,2223,100.0,100.0,100.0
300,0.1676340103149414,2223,100.0,100.0,100.0
310,0.17349910736083984,2223,100.0,100.0,100.0
320,0.17891287803649902,2223,100.0,100.0,100.0
330,0.18318510055541992,2223,100.0,100.0,100.0
340,0.18948149681091309,2223,100.0,100.0,100.0
347,0.19387435913085938,2223,100.0,100.0,100.0
350,0.19542288780212402,2223,100.0,100.0,100.0
357,0.20073461532592773,2223,100.0,100.0,100.0
360,0.2029266357421875,2223,100.0,100.0,100.0
369,0.20691895484924316,2223,100.0,100.0,100.0
370,0.2078557014465332,2223,100.0,100.0,100.0
380,0.2142341136932373,2223,100.0,100.0,100.0
386,0.21664214134216309,2223,100.0,100.0,100.0
390,0.21863555908203125,2223,100.0,100.0,100.0
391,0.21903491020202637,2223,100.0,100.0,100.0
399,0.22571754455566406,2223,100.0,100.0,100.0
400,0.22606468200683594,2223,100.0,100.0,100.0
403,0.22776484489440918,2223,100.0,100.0,100.0
409,0.230879545211792,2223,100.0,100.0,100.0
410,0.23118305206298828,2223,100.0,100.0,100.0
420,0.23859548568725586,2223,100.0,100.0,100.0
421,0.2391059398651123,2223,100.0,100.0,100.0
430,0.24526739120483398,2223,100.0,100.0,100.0
