Iteration,Time_Seconds,Objective_Value,W_Shift,W_Swap,W_Kick
0,0.0,9385,100.0,100.0,100.0
8,0.024875402450561523,9385,100.0,100.0,100.0
10,0.037340402603149414,9385,100.0,100.0,100.0
12,0.042438507080078125,9385,100.0,100.0,100.0
13,0.04588747024536133,9385,100.0,100.0,100.0
14,0.04920244216918945,9385,100.0,100.0,100.0
15,0.051682472229003906,9385,100.0,100.0,100.0
17,0.055275678634643555,9385,100.0,100.0,100.0
19,0.062032222747802734,9385,100.0,100.0,100.0
20,0.06501603126525879,9385,100.0,100.0,100.0
21,0.06783771514892578,9385,100.0,100.0,100.0
29,0.0979459285736084,9385,100.0,100.0,100.0
30,0.10297584533691406,9385,100.0,100.0,100.0
40,0.1287229061126709,9385,100.0,100.0,100.0
50,0.15029454231262207,9385,100.0,100.0,100.0
52,0.1574091911315918,9385,100.0,100.0,100.0
60,0.19725489616394043,9385,100.0,100.0,100.0
70,0.22569751739501953,9385,100.0,100.0,100.0
80,0.25109362602233887,9385,100.0,100.0,100.0
84,0.2612137794494629,9385,100.0,100.0,100.0
90,0.28028202056884766,9385,100.0,100.0,100.0
96,0.29618406295776367,9385,100.0,100.0,100.0
97,0.29803037643432617,9385,100.0,100.0,100.0
99,0.3016488552093506,9385,100.0,100.0,100.0
100,0.30637454986572266,9385,100.0,100.0,100.0
105,0.3139505386352539,9385,100.0,100.0,100.0
106,0.3157932758331299,9385,100.0,100.0,100.0
107,0.3175933361053467,9385,100.0,100.0,100.0
110,0.32877039909362793,9385,100.0,100.0,100.0
112,0.33252477645874023,9385,100.0,100.0,100.0
120,0.3556334972381592,9385,100.0,100.0,100.0
124,0.3650171756744385,9385,100.0,100.0,100.0
130,0.38094472885131836,9385,100.0,100.0,100.0
135,0.3956894874572754,9385,100.0,100.0,100.0
140,0.4104800224304199,9385,100.0,100.0,100.0
146,0.4283452033996582,9385,100.0,100.0,100.0
148,0.435687780380249,9385,100.0,100.0,100.0
149,0.43767619132995605,9385,100.0,100.0,100.0
150,0.43927931785583496,9385,100.0,100.0,100.0
156,0.45174694061279297,9385,100.0,100.0,100.0
160,0.4571192264556885,9385,100.0,100.0,100.0
167,0.47540998458862305,9385,100.0,100.0,100.0
170,0.4836890697479248,9385,100.0,100.0,100.0
171,0.4856247901916504,9385,100.0,100.0,100.0
180,0.5125467777252197,9385,100.0,100.0,100.0
185,0.5297625064849854,9385,100.0,100.0,100.0
190,0.5440399646759033,9385,100.0,100.0,100.0
191,0.5460147857666016,9385,100.0,100.0,100.0
200,0.5743062496185303,9385,100.0,100.0,100.0
202,0.581390380859375,9385,100.0,100.0,100.0
207,0.5930345058441162,9385,100.0,100.0,100.0
210,0.60150146484375,9385,100.0,100.0,100.0
211,0.6033165454864502,9385,100.0,100.0,100.0
212,0.6052341461181641,9385,100.0,100.0,100.0
220,0.6314921379089355,9385,100.0,100.0,100.0
222,0.6383428573608398,9385,100.0,100.0,100.0
230,0.6602213382720947,9385,100.0,100.0,100.0
235,0.668208122253418,9385,100.0,100.0,100.0
240,0.6787266731262207,9385,100.0,100.0,100.0
242,0.6817715167999268,9385,100.0,100.0,100.0
248,0.7014553546905518,9385,100.0,100.0,100.0
250,0.7080812454223633,9385,100.0,100.0,100.0
258,0.7383031845092773,9385,100.0,100.0,100.0
259,0.7401869297027588,9385,100.0,100.0,100.0
260,0.7419874668121338,9385,100.0,100.0,100.0
261,0.7437808513641357,9385,100.0,100.0,100.0
265,0.7568562030792236,9385,100.0,100.0,100.0
267,0.7600202560424805,9385,100.0,100.0,100.0
270,0.769503116607666,9385,100.0,100.0,100.0
278,0.7933230400085449,9385,100.0,100.0,100.0
280,0.7954437732696533,9385,100.0,100.0,100.0
290,0.8228199481964111,9385,100.0,100.0,100.0
291,0.8248746395111084,9385,100.0,100.0,100.0
298,0.8503003120422363,9385,100.0,100.0,100.0
299,0.8522288799285889,9385,100.0,100.0,100.0
300,0.8541064262390137,9385,100.0,100.0,100.0
310,0.8870456218719482,9385,100.0,100.0,100.0
316,0.9012510776519775,9385,100.0,100.0,100.0
320,0.9127790927886963,9385,100.0,100.0,100.0
325,0.9240186214447021,9385,100.0,100.0,100.0
326,0.9259819984436035,9385,100.0,100.0,100.0
328,0.9333450794219971,9385,100.0,100.0,100.0
330,0.9399521350860596,9385,100.0,100.0,100.0
339,0.9604079723358154,9385,100.0,100.0,100.0
340,0.9622981548309326,9385,100.0,100.0,100.0
347,0.986670970916748,9385,100.0,100.0,100.0
350,0.991640567779541,9385,100.0,100.0,100.0
351,0.9935574531555176,9385,100.0,100.0,100.0
360,1.016010046005249,9385,100.0,100.0,100.0
365,1.0280418395996094,9385,100.0,100.0,100.0
370,1.0411860942840576,9385,100.0,100.0,100.0
