Iteration,Time_Seconds,Objective_Value,W_Shift,W_Swap,W_Kick
0,0.0,11992,100.0,100.0,100.0
10,0.053473711013793945,11992,100.0,100.0,100.0
17,0.09160041809082031,11992,100.0,100.0,100.0
20,0.10398745536804199,11992,100.0,100.0,100.0
27,0.14071440696716309,11992,100.0,100.0,100.0
30,0.15349960327148438,11992,100.0,100.0,100.0
40,0.19514775276184082,11992,100.0,100.0,100.0
44,0.21169090270996094,11992,100.0,100.0,100.0
50,0.2421114444732666,11992,100.0,100.0,100.0
52,0.2549448013305664,11992,100.0,100.0,100.0
55,0.26770782470703125,11992,100.0,100.0,100.0
60,0.30066847801208496,11992,100.0,100.0,100.0
61,0.30388522148132324,11992,100.0,100.0,100.0
70,0.35420823097229004,11992,100.0,100.0,100.0
74,0.3689548969268799,11992,100.0,100.0,100.0
76,0.374678373336792,11992,100.0,100.0,100.0
80,0.3893282413482666,11992,100.0,100.0,100.0
81,0.3924853801727295,11992,100.0,100.0,100.0
90,0.4257049560546875,11992,100.0,100.0,100.0
98,0.44692325592041016,11992,100.0,100.0,100.0
100,0.4627811908721924,11992,100.0,100.0,100.0
108,0.4948139190673828,11993,100.0,100.0,100.0
110,0.5055220127105713,11993,100.0,100.0,100.0
112,0.5171308517456055,11993,100.0,100.0,100.0
113,0.5204861164093018,11993,100.0,100.0,100.0
116,0.5411713123321533,11993,100.0,100.0,100.0
117,0.5446925163269043,11993,100.0,100.0,100.0
120,0.5583436489105225,11993,100.0,100.0,100.0
124,0.5764923095703125,11993,100.0,100.0,100.0
125,0.5796332359313965,11993,100.0,100.0,100.0
130,0.60129714012146,11993,100.0,100.0,100.0
134,0.6189892292022705,11993,100.0,100.0,100.0
139,0.6496450901031494,11993,100.0,100.0,100.0
140,0.6527471542358398,11993,100.0,100.0,100.0
150,0.6968257427215576,11993,100.0,100.0,100.0
153,0.7105262279510498,11993,100.0,100.0,100.0
157,0.726539134979248,11993,100.0,100.0,100.0
158,0.7295937538146973,11993,100.0,100.0,100.0
159,0.7326483726501465,11993,100.0,100.0,100.0
160,0.7357187271118164,11993,100.0,100.0,100.0
162,0.7416472434997559,11993,100.0,100.0,100.0
165,0.7561511993408203,11993,100.0,100.0,100.0
166,0.7592241764068604,11993,100.0,100.0,100.0
167,0.7621898651123047,11993,100.0,100.0,100.0
170,0.775585412979126,11993,100.0,100.0,100.0
175,0.7994604110717773,11993,100.0,100.0,100.0
180,0.8167605400085449,11993,100.0,100.0,100.0
185,0.8408713340759277,11993,100.0,100.0,100.0
190,0.8632941246032715,11993,100.0,100.0,100.0
191,0.8664898872375488,11993,100.0,100.0,100.0
195,0.8766086101531982,11993,100.0,100.0,100.0
200,0.8941757678985596,11993,100.0,100.0,100.0
209,0.927574634552002,11993,100.0,100.0,100.0
210,0.9299535751342773,11993,100.0,100.0,100.0
211,0.9331514835357666,11993,100.0,100.0,100.0
212,0.9361093044281006,11993,100.0,100.0,100.0
218,0.9612159729003906,11993,100.0,100.0,100.0
219,0.9641368389129639,11993,100.0,100.0,100.0
220,0.9665734767913818,11993,100.0,100.0,100.0
223,0.9809982776641846,11993,100.0,100.0,100.0
229,1.0006906986236572,11993,100.0,100.0,100.0
230,1.0088086128234863,11993,100.0,100.0,100.0
235,1.0391921997070312,11993,100.0,100.0,100.0
236,1.0423142910003662,11993,100.0,100.0,100.0
240,1.0572776794433594,11993,100.0,100.0,100.0
241,1.0605037212371826,11993,100.0,100.0,100.0
244,1.078402042388916,11993,100.0,100.0,100.0
246,1.0837407112121582,11993,100.0,100.0,100.0
250,1.1038143634796143,11993,100.0,100.0,100.0
259,1.1474809646606445,11993,100.0,100.0,100.0
260,1.1498184204101562,11993,100.0,100.0,100.0
269,1.1872985363006592,11993,100.0,100.0,100.0
270,1.1942808628082275,11993,100.0,100.0,100.0
271,1.197540521621704,11993,100.0,100.0,100.0
278,1.2366070747375488,11993,100.0,100.0,100.0
280,1.2415730953216553,11993,100.0,100.0,100.0
286,1.2602720260620117,11993,100.0,100.0,100.0
290,1.2756879329681396,11993,100.0,100.0,100.0
297,1.313159704208374,11993,100.0,100.0,100.0
300,1.3369426727294922,11993,100.0,100.0,100.0
303,1.3503086566925049,11993,100.0,100.0,100.0
305,1.356154203414917,11993,100.0,100.0,100.0
306,1.359093427658081,11993,100.0,100.0,100.0
310,1.3829140663146973,11993,100.0,100.0,100.0
314,1.398184061050415,11993,100.0,100.0,100.0
317,1.4163274765014648,11993,100.0,100.0,100.0
318,1.4193291664123535,11993,100.0,100.0,100.0
319,1.422311782836914,11993,100.0,100.0,100.0
320,1.4245500564575195,11993,100.0,100.0,100.0
324,1.440002202987671,11993,100.0,100.0,100.0
330,1.47001051902771,11993,100.0,100.0,100.0
334,1.4845895767211914,11993,100.0,100.0,100.0
335,1.4874672889709473,11993,100.0,100.0,100.0
336,1.4902915954589844,11993,100.0,100.0,100.0
340,1.5056393146514893,11993,100.0,100.0,100.0
350,1.5617523193359375,11993,100.0,100.0,100.0
352,1.5723106861114502,11993,100.0,100.0,100.0
360,1.6016783714294434,11993,100.0,100.0,100.0
370,1.6569383144378662,11993,100.0,100.0,100.0
372,1.6623618602752686,11993,100.0,100.0,100.0
378,1.68119478225708,11993,100.0,100.0,100.0
380,1.6909575462341309,11993,100.0,100.0,100.0
381,1.6938300132751465,11993,100.0,100.0,100.0
390,1.7253220081329346,11993,100.0,100.0,100.0
400,1.766280174255371,11993,100.0,100.0,100.0
410,1.7957468032836914,11993,100.0,100.0,100.0
420,1.838869333267212,11993,100.0,100.0,100.0
430,1.8723623752593994,11993,100.0,100.0,100.0
440,1.9170830249786377,11993,100.0,100.0,100.0
446,1.945356845855713,11993,100.0,100.0,100.0
450,1.9576666355133057,11993,100.0,100.0,100.0
451,1.9611763954162598,11993,100.0,100.0,100.0
455,1.9831745624542236,11993,100.0,100.0,100.0
457,1.9946966171264648,11993,100.0,100.0,100.0
460,2.0152249336242676,11993,100.0,100.0,100.0
462,2.0216267108917236,11993,100.0,100.0,100.0
470,2.0660183429718018,11993,100.0,100.0,100.0
473,2.081378698348999,11993,100.0,100.0,100.0
480,2.1236772537231445,11993,100.0,100.0,100.0
482,2.129350423812866,11993,100.0,100.0,100.0
483,2.132524013519287,11993,100.0,100.0,100.0
488,2.1517364978790283,11993,100.0,100.0,100.0
490,2.1559839248657227,11993,100.0,100.0,100.0
500,2.21805739402771,11993,100.0,100.0,100.0
505,2.247880220413208,11993,100.0,100.0,100.0
506,2.2527670860290527,11993,100.0,100.0,100.0
510,2.2682650089263916,11993,100.0,100.0,100.0
518,2.310817003250122,11993,100.0,100.0,100.0
520,2.321911096572876,11993,100.0,100.0,100.0
521,2.3258628845214844,11993,100.0,100.0,100.0
523,2.331538677215576,11993,100.0,100.0,100.0
530,2.3600544929504395,11993,100.0,100.0,100.0
540,2.398015260696411,11993,100.0,100.0,100.0
547,2.4300169944763184,11993,100.0,100.0,100.0
550,2.4430160522460938,11993,100.0,100.0,100.0
554,2.461782932281494,11993,100.0,100.0,100.0
