Iteration,Time_Seconds,Objective_Value,W_Shift,W_Swap,W_Kick
0,0.0,2399,100.0,100.0,100.0
7,0.0058515071868896484,2399,100.0,100.0,100.0
10,0.00843501091003418,2399,100.0,100.0,100.0
14,0.01206827163696289,2399,100.0,100.0,100.0
16,0.013485908508300781,2399,100.0,100.0,100.0
20,0.015432119369506836,2399,100.0,100.0,100.0
21,0.015820741653442383,2399,100.0,100.0,100.0
22,0.01617717742919922,2399,100.0,100.0,100.0
28,0.020508527755737305,2399,100.0,100.0,100.0
30,0.021953344345092773,2399,100.0,100.0,100.0
31,0.022322416305541992,2399,100.0,100.0,100.0
40,0.026779890060424805,2399,100.0,100.0,100.0
47,0.03136014938354492,2399,100.0,100.0,100.0
50,0.03231477737426758,2399,100.0,100.0,100.0
54,0.034920692443847656,2399,100.0,100.0,100.0
55,0.035301923751831055,2399,100.0,100.0,100.0
57,0.036710500717163086,2399,100.0,100.0,100.0
60,0.03756237030029297,2399,100.0,100.0,100.0
70,0.041779279708862305,2399,100.0,100.0,100.0
73,0.04276084899902344,2399,100.0,100.0,100.0
79,0.04468536376953125,2399,100.0,100.0,100.0
80,0.04491400718688965,2399,100.0,100.0,100.0
84,0.04694342613220215,2399,100.0,100.0,100.0
87,0.04865717887878418,2399,100.0,100.0,100.0
90,0.05017828941345215,2399,100.0,100.0,100.0
96,0.05451345443725586,2399,100.0,100.0,100.0
100,0.05811476707458496,2399,100.0,100.0,100.0
110,0.0630190372467041,2399,100.0,100.0,100.0
120,0.0704045295715332,2399,100.0,100.0,100.0
124,0.07262730598449707,2399,100.0,100.0,100.0
126,0.07334542274475098,2399,100.0,100.0,100.0
130,0.0759274959564209,2399,100.0,100.0,100.0
135,0.07927083969116211,2399,100.0,100.0,100.0
140,0.08323097229003906,2399,100.0,100.0,100.0
145,0.08565402030944824,2399,100.0,100.0,100.0
150,0.08814454078674316,2399,100.0,100.0,100.0
153,0.0891561508178711,2399,100.0,100.0,100.0
155,0.09054136276245117,2399,100.0,100.0,100.0
158,0.0922861099243164,2399,100.0,100.0,100.0
160,0.09369969367980957,2399,100.0,100.0,100.0
165,0.09611964225769043,2399,100.0,100.0,100.0
170,0.09767913818359375,2399,100.0,100.0,100.0
172,0.09829282760620117,2399,100.0,100.0,100.0
173,0.0986788272857666,2399,100.0,100.0,100.0
180,0.10379815101623535,2399,100.0,100.0,100.0
182,0.1045525074005127,2399,100.0,100.0,100.0
183,0.10497093200683594,2399,100.0,100.0,100.0
189,0.10821700096130371,2399,100.0,100.0,100.0
190,0.10857582092285156,2399,100.0,100.0,100.0
193,0.10961627960205078,2399,100.0,100.0,100.0
200,0.11344623565673828,2399,100.0,100.0,100.0
207,0.11730647087097168,2399,100.0,100.0,100.0
209,0.11875700950622559,2399,100.0,100.0,100.0
210,0.11913561820983887,2399,100.0,100.0,100.0
211,0.11952543258666992,2399,100.0,100.0,100.0
220,0.12381839752197266,2399,100.0,100.0,100.0
230,0.13138175010681152,2399,100.0,100.0,100.0
240,0.13742923736572266,2399,100.0,100.0,100.0
250,0.14477086067199707,2399,100.0,100.0,100.0
260,0.1537919044494629,2399,100.0,100.0,100.0
263,0.1556997299194336,2399,100.0,100.0,100.0
267,0.1580066680908203,2399,100.0,100.0,100.0
270,0.15993952751159668,2399,100.0,100.0,100.0
271,0.16034936904907227,2399,100.0,100.0,100.0
278,0.1663365364074707,2399,100.0,100.0,100.0
280,0.16719317436218262,2399,100.0,100.0,100.0
283,0.16837525367736816,2399,100.0,100.0,100.0
287,0.17304229736328125,2399,100.0,100.0,100.0
288,0.17343854904174805,2399,100.0,100.0,100.0
290,0.17624831199645996,2399,100.0,100.0,100.0
291,0.17667579650878906,2399,100.0,100.0,100.0
