Iteration,Time_Seconds,Objective_Value,W_Shift,W_Swap,W_Kick
0,0.0,9592,100.0,100.0,100.0
4,0.011049032211303711,9592,100.0,100.0,100.0
7,0.023628711700439453,9592,100.0,100.0,100.0
10,0.03344273567199707,9592,100.0,100.0,100.0
15,0.05510139465332031,9592,100.0,100.0,100.0
17,0.059027671813964844,9592,100.0,100.0,100.0
19,0.06623125076293945,9592,100.0,100.0,100.0
20,0.06780242919921875,9592,100.0,100.0,100.0
30,0.10065245628356934,9592,100.0,100.0,100.0
33,0.1053471565246582,9592,100.0,100.0,100.0
34,0.10734319686889648,9592,100.0,100.0,100.0
36,0.11110877990722656,9592,100.0,100.0,100.0
40,0.12901043891906738,9592,100.0,100.0,100.0
41,0.13118553161621094,9592,100.0,100.0,100.0
48,0.15008759498596191,9592,100.0,100.0,100.0
49,0.1520524024963379,9592,100.0,100.0,100.0
50,0.15381097793579102,9592,100.0,100.0,100.0
60,0.1925978660583496,9592,100.0,100.0,100.0
70,0.22794723510742188,9592,100.0,100.0,100.0
72,0.2319037914276123,9592,100.0,100.0,100.0
74,0.23571181297302246,9592,100.0,100.0,100.0
76,0.24265503883361816,9592,100.0,100.0,100.0
77,0.24477910995483398,9592,100.0,100.0,100.0
79,0.24837708473205566,9592,100.0,100.0,100.0
80,0.2501552104949951,9592,100.0,100.0,100.0
81,0.25242114067077637,9592,100.0,100.0,100.0
84,0.2572953701019287,9592,100.0,100.0,100.0
85,0.25930070877075195,9592,100.0,100.0,100.0
87,0.26660943031311035,9592,100.0,100.0,100.0
90,0.2787787914276123,9592,100.0,100.0,100.0
100,0.30936574935913086,9592,100.0,100.0,100.0
105,0.3255321979522705,9592,100.0,100.0,100.0
106,0.32755231857299805,9592,100.0,100.0,100.0
110,0.3406088352203369,9592,100.0,100.0,100.0
111,0.342623233795166,9592,100.0,100.0,100.0
112,0.34461450576782227,9592,100.0,100.0,100.0
118,0.366527795791626,9592,100.0,100.0,100.0
120,0.37368297576904297,9592,100.0,100.0,100.0
122,0.3812375068664551,9592,100.0,100.0,100.0
130,0.41503310203552246,9592,100.0,100.0,100.0
136,0.4328458309173584,9592,100.0,100.0,100.0
137,0.4348104000091553,9592,100.0,100.0,100.0
139,0.44188880920410156,9592,100.0,100.0,100.0
140,0.44348573684692383,9592,100.0,100.0,100.0
141,0.44574928283691406,9592,100.0,100.0,100.0
142,0.44776201248168945,9592,100.0,100.0,100.0
150,0.4644191265106201,9592,100.0,100.0,100.0
151,0.46629834175109863,9592,100.0,100.0,100.0
154,0.4717264175415039,9592,100.0,100.0,100.0
160,0.4821193218231201,9592,100.0,100.0,100.0
170,0.511610746383667,9592,100.0,100.0,100.0
176,0.5381934642791748,9592,100.0,100.0,100.0
180,0.5535345077514648,9592,100.0,100.0,100.0
183,0.5663423538208008,9592,100.0,100.0,100.0
190,0.5878407955169678,9592,100.0,100.0,100.0
193,0.5934412479400635,9592,100.0,100.0,100.0
197,0.6084754467010498,9592,100.0,100.0,100.0
200,0.617180347442627,9592,100.0,100.0,100.0
206,0.6354737281799316,9592,100.0,100.0,100.0
210,0.64229416847229,9592,100.0,100.0,100.0
217,0.6625311374664307,9592,100.0,100.0,100.0
220,0.6751503944396973,9592,100.0,100.0,100.0
228,0.701312780380249,9592,100.0,100.0,100.0
230,0.7083845138549805,9592,100.0,100.0,100.0
235,0.7248716354370117,9592,100.0,100.0,100.0
240,0.7398049831390381,9592,100.0,100.0,100.0
250,0.7691223621368408,9592,100.0,100.0,100.0
259,0.7886714935302734,9592,100.0,100.0,100.0
260,0.7898125648498535,9592,100.0,100.0,100.0
261,0.7918522357940674,9592,100.0,100.0,100.0
265,0.8025951385498047,9592,100.0,100.0,100.0
266,0.8045785427093506,9592,100.0,100.0,100.0
270,0.8109426498413086,9592,100.0,100.0,100.0
