dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
Adversarial,Adversarial_50_75_20,0,init,493,451.7,440,750,0.6573333333333333,0.6022666666666666,0.8681546509999976,89.13184451699999,0,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Adversarial,Adversarial_50_75_20,1,evolution,493,457.425,443,750,0.6573333333333333,0.6099,1.6256517400000234,88.37434710600002,1,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Adversarial,Adversarial_50_75_20,2,evolution,493,461.375,436,750,0.6573333333333333,0.6151666666666666,2.3781625180000106,87.62183636499998,2,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Adversarial,Adversarial_50_75_20,3,evolution,493,461.65,440,750,0.6573333333333333,0.6155333333333333,3.1267421129999775,86.873256744,3,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Adversarial,Adversarial_50_75_20,4,evolution,493,461.625,443,750,0.6573333333333333,0.6155,3.8800167979999856,86.11998163800001,4,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Adversarial,Adversarial_50_75_20,5,evolution,493,464.275,439,750,0.6573333333333333,0.6190333333333333,4.634392558000002,85.36560625499999,5,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Adversarial,Adversarial_50_75_20,6,evolution,493,465.325,445,750,0.6573333333333333,0.6204333333333333,5.394757071000015,84.60524161799998,6,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Adversarial,Adversarial_50_75_20,7,evolution,493,465.5,449,750,0.6573333333333333,0.6206666666666667,6.14188614599999,83.858112705,7,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Adversarial,Adversarial_50_75_20,8,evolution,493,466.025,440,750,0.6573333333333333,0.6213666666666666,6.896579894000013,83.10341893399999,8,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Adversarial,Adversarial_50_75_20,9,evolution,493,467.2,447,750,0.6573333333333333,0.6229333333333333,7.682282508000014,82.317716115,9,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Adversarial,Adversarial_50_75_20,10,evolution,493,465.275,450,750,0.6573333333333333,0.6203666666666666,8.435400399000002,81.56459831500001,10,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Adversarial,Adversarial_50_75_20,10,restart,493,452.75,433,750,0.6573333333333333,0.6036666666666667,9.202855780999982,80.797142952,0,40,5,0.85,0.4,ox,mixed,3,heuristic,42
