dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
Exponential,Exponential_20_30_10,0,init,188,173.275,166,200,0.94,0.866375,0.13353650900080538,19.866462777999914,0,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,1,evolution,188,174.675,166,200,0.94,0.873375,0.2501880710005935,19.749810669,1,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,2,evolution,188,174.35,167,200,0.94,0.87175,0.36625190199993085,19.633747163999942,2,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,3,evolution,188,173.55,166,200,0.94,0.86775,0.48450702800073486,19.51549194800009,3,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,4,evolution,188,174.275,167,200,0.94,0.871375,0.6014861010007735,19.398512297999332,4,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,5,evolution,188,175.775,169,200,0.94,0.8788750000000001,0.7244022150007368,19.275596970999686,5,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,6,evolution,188,175.675,168,200,0.94,0.878375,0.8406410960005815,19.159358036999947,6,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,7,evolution,188,175.175,167,200,0.94,0.8758750000000001,0.9581521290001547,19.04183426399959,7,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,8,evolution,188,175.875,168,200,0.94,0.879375,1.0749132589999135,18.92508551499941,8,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,9,evolution,188,174.875,166,200,0.94,0.874375,1.1920806680000169,18.80791843299994,9,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,10,evolution,188,174.85,170,200,0.94,0.87425,1.3082511170005091,18.691747959999702,10,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,10,restart,188,173.15,164,200,0.94,0.86575,1.4243753400005517,18.57562346799932,0,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,11,evolution,188,175.1,168,200,0.94,0.8755,1.543127235000611,18.45687177199943,1,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,12,evolution,188,176.225,167,200,0.94,0.8811249999999999,1.6599239240003953,18.34007502899931,2,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,13,evolution,188,174.025,165,200,0.94,0.870125,1.7783778580005674,18.221620989999792,3,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,14,evolution,188,175.8,164,200,0.94,0.879,1.895426950000001,18.104572253999322,4,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,15,evolution,188,173.85,164,200,0.94,0.86925,2.0135964000000968,17.98640258499927,5,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,16,evolution,188,174.025,164,200,0.94,0.870125,2.131138351000118,17.868860513000072,6,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,17,evolution,188,175.275,162,200,0.94,0.876375,2.2484165530004248,17.75158249800006,7,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,18,evolution,188,174.7,166,200,0.94,0.8734999999999999,2.3653519240006062,17.6346469479995,8,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,19,evolution,188,174.825,165,200,0.94,0.8741249999999999,2.4862900040006934,17.51370894699994,9,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,20,evolution,188,174.45,166,200,0.94,0.87225,2.607301634000578,17.39269752599921,10,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,20,restart,188,173.875,165,200,0.94,0.869375,2.723200142000678,17.276798498000062,0,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,21,evolution,188,174.475,167,200,0.94,0.872375,2.842060398000285,17.15793855799984,1,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,22,evolution,188,175.025,165,200,0.94,0.875125,2.959210083000471,17.040788937999423,2,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,23,evolution,188,174.625,164,200,0.94,0.873125,3.0770818970004257,16.92291725599989,3,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,24,evolution,188,174.9,165,200,0.94,0.8745,3.2013438020003377,16.798654906999218,4,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,25,evolution,188,174.8,166,200,0.94,0.8740000000000001,3.318096326000159,16.681902470999376,5,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,26,evolution,188,174.175,166,200,0.94,0.8708750000000001,3.436953734000781,16.563045217999388,6,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,27,evolution,188,175.1,163,200,0.94,0.8755,3.556300404000467,16.443698647999554,7,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,28,evolution,188,174.925,165,200,0.94,0.8746250000000001,3.67514677500003,16.324852021999504,8,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,29,evolution,188,174.5,165,200,0.94,0.8725,3.792740323000544,16.207258741999794,9,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,30,evolution,188,174.925,167,200,0.94,0.8746250000000001,3.909967302000041,16.09003180199943,10,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,30,restart,188,173.775,168,200,0.94,0.8688750000000001,4.025517592000142,15.974481667999498,0,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,31,evolution,188,175.525,167,200,0.94,0.877625,4.142622841000048,15.857375766999212,1,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,32,evolution,188,174.175,165,200,0.94,0.8708750000000001,4.260164874000111,15.739834203999635,2,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,33,evolution,188,174.35,165,200,0.94,0.87175,4.378033526000763,15.621965470999385,3,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,34,evolution,188,174.925,166,200,0.94,0.8746250000000001,4.4966098360000615,15.503389309999875,4,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,35,evolution,188,174.3,164,200,0.94,0.8715,4.616732424000475,15.383266346999335,5,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,36,evolution,188,175.75,167,200,0.94,0.87875,4.734796999000537,15.265201591999357,6,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,37,evolution,188,175.3,165,200,0.94,0.8765000000000001,4.8537523390004935,15.146246608999718,7,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,38,evolution,188,174.925,167,200,0.94,0.8746250000000001,4.9716360610000265,15.028363172999889,8,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,39,evolution,188,174.3,168,200,0.94,0.8715,5.088700044000689,14.91129901899967,9,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,40,evolution,188,174.1,166,200,0.94,0.8704999999999999,5.206826566000018,14.793172220999622,10,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,40,restart,188,173.675,165,200,0.94,0.868375,5.32334956700015,14.676649790999363,0,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Exponential,Exponential_20_30_10,41,evolution,188,174.325,162,200,0.94,0.871625,5.441416610000488,14.558582745999956,1,40,5,0.85,0.4,ox,mixed,3,heuristic,42
