dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
Gaussian,Gaussian_500_750_200,0,init,7400,7316.3,7261,7499,0.986798239765302,0.9756367515668756,24.904735740999968,575.095263489,0,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Gaussian,Gaussian_500_750_200,1,evolution,7400,7343.1,7288,7499,0.986798239765302,0.9792105614081879,47.16619783299939,552.8338002250002,1,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Gaussian,Gaussian_500_750_200,2,evolution,7400,7342.65,7276,7499,0.986798239765302,0.9791505534071209,68.67264506100037,531.3273530949991,2,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Gaussian,Gaussian_500_750_200,3,evolution,7400,7348.775,7281,7499,0.986798239765302,0.979967328977197,89.98477330700007,510.0152252839998,3,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Gaussian,Gaussian_500_750_200,4,evolution,7400,7347.3,7291,7499,0.986798239765302,0.9797706360848113,111.08800008599974,488.9119987209997,4,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Gaussian,Gaussian_500_750_200,5,evolution,7400,7345.05,7298,7499,0.986798239765302,0.9794705960794773,132.14977061699938,467.85022815199954,5,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Gaussian,Gaussian_500_750_200,6,evolution,7400,7352.675,7306,7499,0.986798239765302,0.980487398319776,153.46468776999973,446.5353109309999,6,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Gaussian,Gaussian_500_750_200,7,evolution,7400,7344.05,7279,7499,0.986798239765302,0.9793372449659955,174.55108203000054,425.44891654099956,7,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Gaussian,Gaussian_500_750_200,8,evolution,7400,7345.3,7288,7499,0.986798239765302,0.9795039338578477,195.7710052069997,404.22899296499963,8,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Gaussian,Gaussian_500_750_200,9,evolution,7413,7348.625,7293,7499,0.9885318042405654,0.9799473263101747,216.61063124000066,383.3893672440008,0,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Gaussian,Gaussian_500_750_200,10,evolution,7413,7343.15,7292,7499,0.9885318042405654,0.9792172289638618,237.50133439099955,362.49866421300067,1,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Gaussian,Gaussian_500_750_200,11,evolution,7413,7350.5,7302,7499,0.9885318042405654,0.9801973596479531,258.9050838820003,341.09491462200094,2,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Gaussian,Gaussian_500_750_200,12,evolution,7413,7344.125,7300,7499,0.9885318042405654,0.9793472462995066,279.83618284600016,320.1638154730008,3,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Gaussian,Gaussian_500_750_200,13,evolution,7413,7348.15,7287,7499,0.9885318042405654,0.9798839845312708,301.25962616700053,298.74037200400016,4,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Gaussian,Gaussian_500_750_200,14,evolution,7413,7349.2,7293,7499,0.9885318042405654,0.9800240032004267,322.29732008999963,277.7026785050002,5,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Gaussian,Gaussian_500_750_200,15,evolution,7413,7355.25,7300,7499,0.9885318042405654,0.9808307774369917,343.8725262560001,256.1274719539997,6,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Gaussian,Gaussian_500_750_200,16,evolution,7413,7341.025,7299,7499,0.9885318042405654,0.978933857847713,364.5335360680001,235.46646261599926,7,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Gaussian,Gaussian_500_750_200,17,evolution,7413,7346.2,7277,7499,0.9885318042405654,0.9796239498599814,385.41125057300087,214.58874801400088,8,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Gaussian,Gaussian_500_750_200,18,evolution,7413,7336.7,7284,7499,0.9885318042405654,0.9783571142819042,406.2589709540007,193.74102770299942,9,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Gaussian,Gaussian_500_750_200,19,evolution,7413,7348.525,7297,7499,0.9885318042405654,0.9799339911988265,427.31651546600006,172.68348310500005,10,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Gaussian,Gaussian_500_750_200,19,restart,7413,7312.55,7269,7499,0.9885318042405654,0.9751366848913189,448.3220007199998,151.67799801399997,0,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Gaussian,Gaussian_500_750_200,20,evolution,7413,7343.0,7284,7499,0.9885318042405654,0.9791972262968396,470.16319371200007,129.83680498099966,1,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Gaussian,Gaussian_500_750_200,21,evolution,7413,7343.925,7298,7499,0.9885318042405654,0.9793205760768102,491.7990488680007,108.20094936100031,2,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Gaussian,Gaussian_500_750_200,22,evolution,7413,7345.925,7291,7499,0.9885318042405654,0.9795872783037739,512.6004376090004,87.39956104299927,3,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Gaussian,Gaussian_500_750_200,23,evolution,7413,7346.15,7277,7499,0.9885318042405654,0.9796172823043072,533.5199043649991,66.48009424200063,4,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Gaussian,Gaussian_500_750_200,24,evolution,7413,7351.075,7295,7499,0.9885318042405654,0.9802740365382051,554.6495675419992,45.350431124999886,5,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Gaussian,Gaussian_500_750_200,25,evolution,7413,7343.3,7267,7499,0.9885318042405654,0.9792372316308842,575.2487059369996,24.751292487999308,6,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Gaussian,Gaussian_500_750_200,26,evolution,7413,7343.9,7286,7499,0.9885318042405654,0.9793172422989731,596.2736431939993,3.7263553220000176,7,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Gaussian,Gaussian_500_750_200,27,evolution,7413,7363.416666666667,7300,7499,0.9885318042405654,0.9819198115304263,600.4505866769996,0.0,8,12,5,0.85,0.4,ox,mixed,3,heuristic,42
