dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
Uniform,Uniform_80_120_32,0,init,1126,1101.775,1090,1200,0.9383333333333334,0.9181458333333334,0.9966040090002934,179.0033950879988,0,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Uniform,Uniform_80_120_32,1,evolution,1126,1105.075,1095,1200,0.9383333333333334,0.9208958333333334,1.8797109509978327,178.12028755400024,1,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Uniform,Uniform_80_120_32,2,evolution,1126,1105.5,1096,1200,0.9383333333333334,0.92125,2.751417973999196,177.24858064699947,2,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Uniform,Uniform_80_120_32,3,evolution,1126,1104.925,1092,1200,0.9383333333333334,0.9207708333333333,3.628345506000187,176.3716531300015,3,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Uniform,Uniform_80_120_32,4,evolution,1126,1106.05,1096,1200,0.9383333333333334,0.9217083333333332,4.504073492000316,175.49592519900034,4,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Uniform,Uniform_80_120_32,5,evolution,1126,1108.175,1095,1200,0.9383333333333334,0.9234791666666666,5.389254894998885,174.61074342199936,5,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Uniform,Uniform_80_120_32,6,evolution,1126,1106.575,1094,1200,0.9383333333333334,0.9221458333333333,6.26360112600014,173.73639752600138,6,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Uniform,Uniform_80_120_32,7,evolution,1126,1107.875,1095,1200,0.9383333333333334,0.9232291666666667,7.149046946000453,172.85095181900033,7,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Uniform,Uniform_80_120_32,8,evolution,1126,1106.625,1096,1200,0.9383333333333334,0.9221875,8.019857572999172,171.98014126999988,8,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Uniform,Uniform_80_120_32,9,evolution,1126,1107.3,1097,1200,0.9383333333333334,0.92275,8.924850405997859,171.0751483669992,9,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Uniform,Uniform_80_120_32,10,evolution,1126,1106.475,1095,1200,0.9383333333333334,0.9220624999999999,9.802121820001048,170.19787657100096,10,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Uniform,Uniform_80_120_32,10,restart,1126,1101.225,1086,1200,0.9383333333333334,0.9176874999999999,10.642755124998075,169.3572437490002,0,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Uniform,Uniform_80_120_32,11,evolution,1126,1106.2,1094,1200,0.9383333333333334,0.9218333333333334,11.521885940001084,168.4781125030022,1,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Uniform,Uniform_80_120_32,12,evolution,1126,1107.575,1098,1200,0.9383333333333334,0.9229791666666667,12.404535958998167,167.5954626769999,2,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Uniform,Uniform_80_120_32,13,evolution,1126,1107.375,1096,1200,0.9383333333333334,0.9228125,13.282788685999549,166.7172095390015,3,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Uniform,Uniform_80_120_32,14,evolution,1126,1107.075,1096,1200,0.9383333333333334,0.9225625000000001,14.16075016099785,165.8392486929988,4,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Uniform,Uniform_80_120_32,15,evolution,1126,1106.625,1089,1200,0.9383333333333334,0.9221875,15.033462636998593,164.9665360910003,5,40,5,0.85,0.4,ox,mixed,3,heuristic,42
Uniform,Uniform_80_120_32,16,evolution,1126,1106.875,1092,1200,0.9383333333333334,0.9223958333333333,15.909296412999538,164.0907021999992,6,40,5,0.85,0.4,ox,mixed,3,heuristic,42
