dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
hustack,hustack02,0,init,167,167.0,167,204,0.8186274509803921,0.8186274509803921,0.10605666999981622,44.89394285199887,0,40,5,0.85,0.4,ox,mixed,3,heuristic,42
hustack,hustack02,1,evolution,167,167.0,167,204,0.8186274509803921,0.8186274509803921,0.19849721700302325,44.80150167600004,1,40,5,0.85,0.4,ox,mixed,3,heuristic,42
hustack,hustack02,2,evolution,167,166.975,166,204,0.8186274509803921,0.8185049019607843,0.2919858090026537,44.708012719998806,2,40,5,0.85,0.4,ox,mixed,3,heuristic,42
hustack,hustack02,3,evolution,167,167.0,167,204,0.8186274509803921,0.8186274509803921,0.38507487199967727,44.61492430399812,3,40,5,0.85,0.4,ox,mixed,3,heuristic,42
hustack,hustack02,4,evolution,167,167.0,167,204,0.8186274509803921,0.8186274509803921,0.47702591699999175,44.52297324099709,4,40,5,0.85,0.4,ox,mixed,3,heuristic,42
hustack,hustack02,5,evolution,167,167.0,167,204,0.8186274509803921,0.8186274509803921,0.5682397550008318,44.43175940499714,5,40,5,0.85,0.4,ox,mixed,3,heuristic,42
hustack,hustack02,6,evolution,167,167.0,167,204,0.8186274509803921,0.8186274509803921,0.6602048970016767,44.33979459999682,6,40,5,0.85,0.4,ox,mixed,3,heuristic,42
hustack,hustack02,7,evolution,167,167.0,167,204,0.8186274509803921,0.8186274509803921,0.7522484960027214,44.247750482998526,7,40,5,0.85,0.4,ox,mixed,3,heuristic,42
hustack,hustack02,8,evolution,167,167.0,167,204,0.8186274509803921,0.8186274509803921,0.8440063840025687,44.155992946998595,8,40,5,0.85,0.4,ox,mixed,3,heuristic,42
hustack,hustack02,9,evolution,167,167.0,167,204,0.8186274509803921,0.8186274509803921,0.9356824630012852,44.0643166919981,9,40,5,0.85,0.4,ox,mixed,3,heuristic,42
hustack,hustack02,10,evolution,167,167.0,167,204,0.8186274509803921,0.8186274509803921,1.027051097000367,43.972948060996714,10,40,5,0.85,0.4,ox,mixed,3,heuristic,42
hustack,hustack02,10,restart,167,166.975,166,204,0.8186274509803921,0.8185049019607843,1.1197155370027758,43.88028364499769,0,40,5,0.85,0.4,ox,mixed,3,heuristic,42
hustack,hustack02,11,evolution,167,167.0,167,204,0.8186274509803921,0.8186274509803921,1.2120031230006134,43.78799591599818,1,40,5,0.85,0.4,ox,mixed,3,heuristic,42
hustack,hustack02,12,evolution,167,167.0,167,204,0.8186274509803921,0.8186274509803921,1.3039121450019593,43.69608702400001,2,40,5,0.85,0.4,ox,mixed,3,heuristic,42
hustack,hustack02,13,evolution,167,167.0,167,204,0.8186274509803921,0.8186274509803921,1.3977594970019709,43.6022394779975,3,40,5,0.85,0.4,ox,mixed,3,heuristic,42
hustack,hustack02,14,evolution,167,167.0,167,204,0.8186274509803921,0.8186274509803921,1.4903423140021914,43.50965654799802,4,40,5,0.85,0.4,ox,mixed,3,heuristic,42
hustack,hustack02,15,evolution,167,167.0,167,204,0.8186274509803921,0.8186274509803921,1.5880263050021313,43.411972863999836,5,40,5,0.85,0.4,ox,mixed,3,heuristic,42
hustack,hustack02,16,evolution,167,167.0,167,204,0.8186274509803921,0.8186274509803921,1.68024971700288,43.31974953399913,6,40,5,0.85,0.4,ox,mixed,3,heuristic,42
hustack,hustack02,17,evolution,167,167.0,167,204,0.8186274509803921,0.8186274509803921,1.7724444900013623,43.22755475200029,7,40,5,0.85,0.4,ox,mixed,3,heuristic,42
hustack,hustack02,18,evolution,167,167.0,167,204,0.8186274509803921,0.8186274509803921,1.8643618090027303,43.13563698699727,8,40,5,0.85,0.4,ox,mixed,3,heuristic,42
hustack,hustack02,19,evolution,167,167.0,167,204,0.8186274509803921,0.8186274509803921,1.9564791310003784,43.04351986599795,9,40,5,0.85,0.4,ox,mixed,3,heuristic,42
hustack,hustack02,20,evolution,167,167.0,167,204,0.8186274509803921,0.8186274509803921,2.048406038000394,42.95159274699836,10,40,5,0.85,0.4,ox,mixed,3,heuristic,42
hustack,hustack02,20,restart,167,166.975,166,204,0.8186274509803921,0.8185049019607843,2.1414568729996972,42.85854239699984,0,40,5,0.85,0.4,ox,mixed,3,heuristic,42
hustack,hustack02,21,evolution,167,166.95,166,204,0.8186274509803921,0.8183823529411764,2.234286846000032,42.7657115999973,1,40,5,0.85,0.4,ox,mixed,3,heuristic,42
hustack,hustack02,22,evolution,167,166.975,166,204,0.8186274509803921,0.8185049019607843,2.3285183040025004,42.671480655997584,2,40,5,0.85,0.4,ox,mixed,3,heuristic,42
