dataset,file,obj,total_cc,success_rate,greedy_baseline,ga_best,diff_vs_greedy,time_sec,status,pop_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed,time_limit
Adversarial,Adversarial_20_30_10,157,200,0.785,157,157,0,20.003652180000017,VALID,40,5,0.85,0.4,ox,mixed,3,,42,20
Adversarial,Adversarial_50_75_20,493,750,0.6573333333333333,493,493,0,90.02168782599995,VALID,40,5,0.85,0.4,ox,mixed,3,,42,90
Adversarial,Adversarial_80_120_32,1064,1200,0.8866666666666667,1064,1064,0,180.02376752700002,VALID,40,5,0.85,0.4,ox,mixed,3,,42,180
Adversarial,Adversarial_100_150_40,1390,1500,0.9266666666666666,1390,1390,0,180.04137759699995,VALID,40,5,0.85,0.4,ox,mixed,3,,42,180
Adversarial,Adversarial_150_225_60,2022,2250,0.8986666666666666,2022,2022,0,360.05039357700014,VALID,40,5,0.85,0.4,ox,mixed,3,,42,360
Adversarial,Adversarial_200_300_80,2681,3000,0.8936666666666667,2681,2681,0,360.0289345699998,VALID,40,5,0.85,0.4,ox,mixed,3,,42,360
Adversarial,Adversarial_300_450_120,3924,4500,0.872,3924,3924,0,360.07961475699994,VALID,40,5,0.85,0.4,ox,mixed,3,,42,360
Adversarial,Adversarial_500_750_200,6630,7499,0.8841178823843179,6630,6630,0,600.0559443330001,VALID,40,5,0.85,0.4,ox,mixed,3,,42,600
Adversarial,Adversarial_800_1200_320,10608,12000,0.884,10608,10608,0,900.349955013,VALID,40,5,0.85,0.4,ox,mixed,3,,42,900
Adversarial,Adversarial_1000_1500_400,13211,15000,0.8807333333333334,13211,13211,0,900.7155623810004,VALID,40,5,0.85,0.4,ox,mixed,3,,42,900
Exponential,Exponential_20_30_10,188,200,0.94,188,188,0,20.002719197999795,VALID,40,5,0.85,0.4,ox,mixed,3,,42,20
Exponential,Exponential_50_75_20,376,750,0.5013333333333333,376,376,0,89.97056078700007,VALID,40,5,0.85,0.4,ox,mixed,3,,42,90
Exponential,Exponential_80_120_32,760,1200,0.6333333333333333,760,760,0,180.0247704000003,VALID,40,5,0.85,0.4,ox,mixed,3,,42,180
Exponential,Exponential_100_150_40,1121,1500,0.7473333333333333,1112,1121,9,180.0083964860005,VALID,40,5,0.85,0.4,ox,mixed,3,,42,180
Exponential,Exponential_150_225_60,1936,2250,0.8604444444444445,1936,1936,0,360.0155311889994,VALID,40,5,0.85,0.4,ox,mixed,3,,42,360
Exponential,Exponential_200_300_80,2478,3000,0.826,2478,2478,0,360.04057587900024,VALID,40,5,0.85,0.4,ox,mixed,3,,42,360
Exponential,Exponential_300_450_120,4030,4500,0.8955555555555555,4030,4030,0,360.0853247039995,VALID,40,5,0.85,0.4,ox,mixed,3,,42,360
Exponential,Exponential_500_750_200,6993,7500,0.9324,6993,6993,0,600.3101382959994,VALID,40,5,0.85,0.4,ox,mixed,3,,42,600
Exponential,Exponential_800_1200_320,11450,12000,0.9541666666666667,11450,11450,0,900.5055103730001,VALID,40,5,0.85,0.4,ox,mixed,3,,42,900
Exponential,Exponential_1000_1500_400,14414,15000,0.9609333333333333,14414,14414,0,901.1374564669995,VALID,40,5,0.85,0.4,ox,mixed,3,,42,900
Gaussian,Gaussian_20_30_10,161,200,0.805,159,161,2,19.986217838999437,VALID,40,5,0.85,0.4,ox,mixed,3,,42,20
Gaussian,Gaussian_50_75_20,687,750,0.916,687,687,0,89.95493297900066,VALID,40,5,0.85,0.4,ox,mixed,3,,42,90
Gaussian,Gaussian_80_120_32,1158,1200,0.965,1151,1158,7,180.02142403000107,VALID,40,5,0.85,0.4,ox,mixed,3,,42,180
Gaussian,Gaussian_100_150_40,1445,1500,0.9633333333333334,1432,1445,13,180.03482148699914,VALID,40,5,0.85,0.4,ox,mixed,3,,42,180
Gaussian,Gaussian_150_225_60,2192,2250,0.9742222222222222,2171,2192,21,360.04893041299874,VALID,40,5,0.85,0.4,ox,mixed,3,,42,360
Gaussian,Gaussian_200_300_80,2928,3000,0.976,2904,2928,24,360.0445633390009,VALID,40,5,0.85,0.4,ox,mixed,3,,42,360
Gaussian,Gaussian_300_450_120,4383,4500,0.974,4363,4383,20,360.2218477480001,VALID,40,5,0.85,0.4,ox,mixed,3,,42,360
Gaussian,Gaussian_500_750_200,7413,7499,0.9885318042405654,7400,7413,13,600.4741087189996,VALID,40,5,0.85,0.4,ox,mixed,3,,42,600
Gaussian,Gaussian_800_1200_320,11809,12000,0.9840833333333333,11787,11809,22,900.1837570600001,VALID,40,5,0.85,0.4,ox,mixed,3,,42,900
Gaussian,Gaussian_1000_1500_400,14793,15000,0.9862,14770,14793,23,901.321246518999,VALID,40,5,0.85,0.4,ox,mixed,3,,42,900
Poisson,Poisson_20_30_10,146,200,0.73,140,146,6,20.003141998999126,VALID,40,5,0.85,0.4,ox,mixed,3,,42,20
Poisson,Poisson_50_75_20,620,750,0.8266666666666667,620,620,0,90.0080580549984,VALID,40,5,0.85,0.4,ox,mixed,3,,42,90
Poisson,Poisson_80_120_32,1119,1200,0.9325,1114,1119,5,180.015404269001,VALID,40,5,0.85,0.4,ox,mixed,3,,42,180
Poisson,Poisson_100_150_40,1417,1500,0.9446666666666667,1417,1417,0,180.03124728699913,VALID,40,5,0.85,0.4,ox,mixed,3,,42,180
Poisson,Poisson_150_225_60,2214,2250,0.984,2213,2214,1,360.0243070659999,VALID,40,5,0.85,0.4,ox,mixed,3,,42,360
Poisson,Poisson_200_300_80,2956,3000,0.9853333333333333,2932,2956,24,360.06543855400014,VALID,40,5,0.85,0.4,ox,mixed,3,,42,360
