dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
Adversarial,Adversarial_1000_1500_400,0,init,12941,12904.0,12873,15000,0.8627333333333334,0.8602666666666666,41.41120802599971,858.588790927,0,40,5,0.85,0.4,ox,mixed,3,random,42
Adversarial,Adversarial_1000_1500_400,1,evolution,13081,12981.5,12919,15000,0.8720666666666667,0.8654333333333334,79.05177160699986,820.9482269499999,0,40,5,0.85,0.4,ox,mixed,3,random,42
Adversarial,Adversarial_1000_1500_400,2,evolution,13124,12986.275,12920,15000,0.8749333333333333,0.8657516666666667,116.55164938100006,783.448349328,0,40,5,0.85,0.4,ox,mixed,3,random,42
Adversarial,Adversarial_1000_1500_400,3,evolution,13124,13001.3,12930,15000,0.8749333333333333,0.8667533333333333,154.3197383679999,745.68026027,1,40,5,0.85,0.4,ox,mixed,3,random,42
Adversarial,Adversarial_1000_1500_400,4,evolution,13124,12998.2,12930,15000,0.8749333333333333,0.8665466666666667,191.93365089400004,708.066347559,2,40,5,0.85,0.4,ox,mixed,3,random,42
Adversarial,Adversarial_1000_1500_400,5,evolution,13124,13007.3,12921,15000,0.8749333333333333,0.8671533333333333,229.57343692199993,670.426561493,3,40,5,0.85,0.4,ox,mixed,3,random,42
Adversarial,Adversarial_1000_1500_400,6,evolution,13124,13002.025,12931,15000,0.8749333333333333,0.8668016666666667,267.3937703880001,632.606228093,4,40,5,0.85,0.4,ox,mixed,3,random,42
Adversarial,Adversarial_1000_1500_400,7,evolution,13124,13000.825,12917,15000,0.8749333333333333,0.8667216666666667,304.9078678779997,595.0921300220002,5,40,5,0.85,0.4,ox,mixed,3,random,42
Adversarial,Adversarial_1000_1500_400,8,evolution,13124,13001.075,12931,15000,0.8749333333333333,0.8667383333333334,342.6584711999999,557.341526657,6,40,5,0.85,0.4,ox,mixed,3,random,42
Adversarial,Adversarial_1000_1500_400,9,evolution,13124,13008.85,12924,15000,0.8749333333333333,0.8672566666666667,380.1730718519998,519.8269267129999,7,40,5,0.85,0.4,ox,mixed,3,random,42
Adversarial,Adversarial_1000_1500_400,10,evolution,13124,13005.9,12914,15000,0.8749333333333333,0.8670599999999999,417.7200184569997,482.27998002999993,8,40,5,0.85,0.4,ox,mixed,3,random,42
Adversarial,Adversarial_1000_1500_400,11,evolution,13124,12992.6,12898,15000,0.8749333333333333,0.8661733333333334,455.5004204480001,444.4995778440002,9,40,5,0.85,0.4,ox,mixed,3,random,42
Adversarial,Adversarial_1000_1500_400,12,evolution,13124,13012.625,12931,15000,0.8749333333333333,0.8675083333333333,493.270451548,406.72954662600023,10,40,5,0.85,0.4,ox,mixed,3,random,42
Adversarial,Adversarial_1000_1500_400,12,restart,13124,12941.325,12855,15000,0.8749333333333333,0.862755,533.3720977019998,366.62790064399996,0,40,5,0.85,0.4,ox,mixed,3,random,42
Adversarial,Adversarial_1000_1500_400,13,evolution,13124,12994.8,12898,15000,0.8749333333333333,0.86632,572.7142052710001,327.2857930979999,1,40,5,0.85,0.4,ox,mixed,3,random,42
Adversarial,Adversarial_1000_1500_400,14,evolution,13124,12981.325,12903,15000,0.8749333333333333,0.8654216666666668,610.9840906479999,289.0159078930001,2,40,5,0.85,0.4,ox,mixed,3,random,42
Adversarial,Adversarial_1000_1500_400,15,evolution,13124,12991.525,12920,15000,0.8749333333333333,0.8661016666666667,648.5856517980001,251.4143464460003,3,40,5,0.85,0.4,ox,mixed,3,random,42
Adversarial,Adversarial_1000_1500_400,16,evolution,13124,12990.375,12915,15000,0.8749333333333333,0.866025,686.6224978189998,213.37750059400014,4,40,5,0.85,0.4,ox,mixed,3,random,42
Adversarial,Adversarial_1000_1500_400,17,evolution,13124,12989.0,12902,15000,0.8749333333333333,0.8659333333333333,724.944583732,175.05541455599996,5,40,5,0.85,0.4,ox,mixed,3,random,42
Adversarial,Adversarial_1000_1500_400,18,evolution,13124,12999.125,12912,15000,0.8749333333333333,0.8666083333333333,763.0089381359999,136.99106036700005,6,40,5,0.85,0.4,ox,mixed,3,random,42
Adversarial,Adversarial_1000_1500_400,19,evolution,13124,12994.775,12905,15000,0.8749333333333333,0.8663183333333333,800.8020715940002,99.19792707899978,7,40,5,0.85,0.4,ox,mixed,3,random,42
Adversarial,Adversarial_1000_1500_400,20,evolution,13126,12996.625,12916,15000,0.8750666666666667,0.8664416666666667,838.8991523169998,61.10084646300038,0,40,5,0.85,0.4,ox,mixed,3,random,42
Adversarial,Adversarial_1000_1500_400,21,evolution,13126,13002.75,12902,15000,0.8750666666666667,0.86685,877.0336036680001,22.966394645000037,1,40,5,0.85,0.4,ox,mixed,3,random,42
Adversarial,Adversarial_1000_1500_400,22,evolution,13126,13008.481481481482,12923,15000,0.8750666666666667,0.8672320987654322,900.7783938410003,0.0,2,27,5,0.85,0.4,ox,mixed,3,random,42
