dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
Exponential,Exponential_200_300_80,0,init,2355,2340.95,2328,3000,0.785,0.7803166666666667,2.5069315959999585,357.4930676819995,0,40,5,0.85,0.4,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,1,evolution,2411,2368.35,2339,3000,0.8036666666666666,0.78945,4.7392198750003445,355.26077840000016,0,40,5,0.85,0.4,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,2,evolution,2418,2375.425,2331,3000,0.806,0.7918083333333334,6.980604719000439,353.01939363699967,0,40,5,0.85,0.4,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,3,evolution,2418,2378.075,2331,3000,0.806,0.7926916666666666,9.252395473000433,350.74760271299965,1,40,5,0.85,0.4,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,4,evolution,2418,2374.375,2337,3000,0.806,0.7914583333333334,11.512682882000263,348.48731547899934,2,40,5,0.85,0.4,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,5,evolution,2418,2370.125,2333,3000,0.806,0.7900416666666666,13.736508146000233,346.26348976200006,3,40,5,0.85,0.4,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,6,evolution,2425,2372.975,2337,3000,0.8083333333333333,0.7909916666666666,15.969170756000494,344.0308245119995,0,40,5,0.85,0.4,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,7,evolution,2425,2376.725,2343,3000,0.8083333333333333,0.7922416666666666,18.2242640580007,341.77573435700015,1,40,5,0.85,0.4,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,8,evolution,2425,2375.225,2345,3000,0.8083333333333333,0.7917416666666667,20.454350695999892,339.54564764799943,2,40,5,0.85,0.4,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,9,evolution,2425,2374.575,2335,3000,0.8083333333333333,0.7915249999999999,22.671530708999853,337.3284676659996,3,40,5,0.85,0.4,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,10,evolution,2425,2377.8,2342,3000,0.8083333333333333,0.7926000000000001,24.9055784760003,335.09441974999936,4,40,5,0.85,0.4,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,11,evolution,2425,2377.35,2333,3000,0.8083333333333333,0.79245,27.134795207000025,332.8652032729997,5,40,5,0.85,0.4,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,12,evolution,2425,2378.625,2346,3000,0.8083333333333333,0.792875,29.40687590500056,330.5931225009999,6,40,5,0.85,0.4,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,13,evolution,2425,2377.0,2342,3000,0.8083333333333333,0.7923333333333333,31.624254311000186,328.3757440449999,7,40,5,0.85,0.4,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,14,evolution,2429,2379.45,2336,3000,0.8096666666666666,0.7931499999999999,33.85557380499995,326.1444242859998,0,40,5,0.85,0.4,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,15,evolution,2429,2376.4,2339,3000,0.8096666666666666,0.7921333333333334,36.07657362700047,323.92342471699976,1,40,5,0.85,0.4,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,16,evolution,2429,2376.975,2341,3000,0.8096666666666666,0.792325,38.334660643999996,321.6653376260001,2,40,5,0.85,0.4,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,17,evolution,2429,2374.15,2335,3000,0.8096666666666666,0.7913833333333333,40.56639727299989,319.4336012619997,3,40,5,0.85,0.4,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,18,evolution,2429,2380.25,2338,3000,0.8096666666666666,0.7934166666666667,42.78566168500038,317.21433653299937,4,40,5,0.85,0.4,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,19,evolution,2429,2375.875,2342,3000,0.8096666666666666,0.7919583333333333,44.98492477000036,315.0150737449994,5,40,5,0.85,0.4,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,20,evolution,2429,2376.475,2343,3000,0.8096666666666666,0.7921583333333333,47.220138057999975,312.77986035899994,6,40,5,0.85,0.4,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,21,evolution,2429,2377.4,2337,3000,0.8096666666666666,0.7924666666666667,49.46620573000018,310.53379231599956,7,40,5,0.85,0.4,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,22,evolution,2429,2378.5,2343,3000,0.8096666666666666,0.7928333333333333,51.69796475900057,308.3020336219997,8,40,5,0.85,0.4,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,23,evolution,2429,2378.125,2339,3000,0.8096666666666666,0.7927083333333333,53.91521749200001,306.0847810810001,9,40,5,0.85,0.4,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,24,evolution,2429,2372.45,2342,3000,0.8096666666666666,0.7908166666666666,56.129437392,303.8705610019997,10,40,5,0.85,0.4,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,24,restart,2429,2371.675,2324,3000,0.8096666666666666,0.7905583333333334,58.35014893500011,301.64984974900017,0,40,5,0.85,0.4,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,25,evolution,2447,2392.65,2347,3000,0.8156666666666667,0.79755,60.60365582000031,299.396342602,0,40,5,0.85,0.4,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,26,evolution,2447,2390.7,2349,3000,0.8156666666666667,0.7968999999999999,62.850717223000174,297.1492806719998,1,40,5,0.85,0.4,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,27,evolution,2447,2391.75,2346,3000,0.8156666666666667,0.79725,65.10400159800065,294.8959970299993,2,40,5,0.85,0.4,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,28,evolution,2447,2390.15,2355,3000,0.8156666666666667,0.7967166666666667,67.35870120400068,292.6412971709997,3,40,5,0.85,0.4,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,29,evolution,2447,2388.125,2354,3000,0.8156666666666667,0.7960416666666666,69.63990884299983,290.36008945699996,4,40,5,0.85,0.4,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,30,evolution,2447,2390.9,2357,3000,0.8156666666666667,0.7969666666666667,71.88447083200026,288.1155275249994,5,40,5,0.85,0.4,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,31,evolution,2447,2396.975,2356,3000,0.8156666666666667,0.7989916666666667,74.15898687800018,285.84101153699976,6,40,5,0.85,0.4,ox,mixed,3,random,42
