dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
Gaussian,Gaussian_150_225_60,0,init,2140,2125.85,2107,2250,0.9511111111111111,0.9448222222222222,2.201586094000959,357.7984131100002,0,40,5,0.85,0.4,ox,mixed,3,random,42
Gaussian,Gaussian_150_225_60,1,evolution,2172,2148.0,2123,2250,0.9653333333333334,0.9546666666666667,4.255319206000422,355.74467932100015,0,40,5,0.85,0.4,ox,mixed,3,random,42
Gaussian,Gaussian_150_225_60,2,evolution,2177,2152.9,2131,2250,0.9675555555555555,0.9568444444444445,6.326761492000514,353.67323650099934,0,40,5,0.85,0.4,ox,mixed,3,random,42
Gaussian,Gaussian_150_225_60,3,evolution,2177,2151.8,2130,2250,0.9675555555555555,0.9563555555555556,8.363278552000338,351.6367192389989,1,40,5,0.85,0.4,ox,mixed,3,random,42
Gaussian,Gaussian_150_225_60,4,evolution,2179,2152.725,2129,2250,0.9684444444444444,0.9567666666666667,10.395077893001144,349.6049202639988,0,40,5,0.85,0.4,ox,mixed,3,random,42
Gaussian,Gaussian_150_225_60,5,evolution,2180,2151.475,2121,2250,0.9688888888888889,0.9562111111111111,12.418551849001233,347.5814466190004,0,40,5,0.85,0.4,ox,mixed,3,random,42
Gaussian,Gaussian_150_225_60,6,evolution,2180,2155.6,2134,2250,0.9688888888888889,0.9580444444444444,14.460110145000726,345.5398881919991,1,40,5,0.85,0.4,ox,mixed,3,random,42
Gaussian,Gaussian_150_225_60,7,evolution,2180,2155.275,2124,2250,0.9688888888888889,0.9579000000000001,16.556585206999443,343.4434126689994,2,40,5,0.85,0.4,ox,mixed,3,random,42
Gaussian,Gaussian_150_225_60,8,evolution,2180,2152.55,2134,2250,0.9688888888888889,0.9566888888888889,18.591210569000395,341.4087879540002,3,40,5,0.85,0.4,ox,mixed,3,random,42
Gaussian,Gaussian_150_225_60,9,evolution,2180,2152.775,2132,2250,0.9688888888888889,0.9567888888888889,20.641084697001133,339.3589136089995,4,40,5,0.85,0.4,ox,mixed,3,random,42
Gaussian,Gaussian_150_225_60,10,evolution,2180,2153.65,2127,2250,0.9688888888888889,0.9571777777777778,22.682221311999456,337.3177770959992,5,40,5,0.85,0.4,ox,mixed,3,random,42
Gaussian,Gaussian_150_225_60,11,evolution,2180,2157.35,2138,2250,0.9688888888888889,0.9588222222222221,24.743304703999456,335.25669379899955,6,40,5,0.85,0.4,ox,mixed,3,random,42
Gaussian,Gaussian_150_225_60,12,evolution,2180,2150.3,2128,2250,0.9688888888888889,0.9556888888888889,26.819727676000184,333.18027047800024,7,40,5,0.85,0.4,ox,mixed,3,random,42
Gaussian,Gaussian_150_225_60,13,evolution,2180,2155.9,2133,2250,0.9688888888888889,0.9581777777777778,28.891259784000795,331.10873811000056,8,40,5,0.85,0.4,ox,mixed,3,random,42
Gaussian,Gaussian_150_225_60,14,evolution,2180,2155.25,2127,2250,0.9688888888888889,0.9578888888888889,30.95261535300051,329.04738276900025,9,40,5,0.85,0.4,ox,mixed,3,random,42
Gaussian,Gaussian_150_225_60,15,evolution,2180,2151.75,2129,2250,0.9688888888888889,0.9563333333333334,32.99490345599952,327.0050950450004,10,40,5,0.85,0.4,ox,mixed,3,random,42
Gaussian,Gaussian_150_225_60,15,restart,2180,2138.225,2117,2250,0.9688888888888889,0.9503222222222222,35.001439187999495,324.99855901699993,0,40,5,0.85,0.4,ox,mixed,3,random,42
Gaussian,Gaussian_150_225_60,16,evolution,2180,2150.725,2127,2250,0.9688888888888889,0.9558777777777777,37.10402778800017,322.895970562,1,40,5,0.85,0.4,ox,mixed,3,random,42
Gaussian,Gaussian_150_225_60,17,evolution,2180,2154.125,2127,2250,0.9688888888888889,0.9573888888888888,39.1648191889999,320.8351792529993,2,40,5,0.85,0.4,ox,mixed,3,random,42
Gaussian,Gaussian_150_225_60,18,evolution,2180,2153.65,2135,2250,0.9688888888888889,0.9571777777777778,41.24158746000103,318.75841074599884,3,40,5,0.85,0.4,ox,mixed,3,random,42
Gaussian,Gaussian_150_225_60,19,evolution,2180,2152.375,2126,2250,0.9688888888888889,0.9566111111111111,43.297445770000195,316.7025525609988,4,40,5,0.85,0.4,ox,mixed,3,random,42
Gaussian,Gaussian_150_225_60,20,evolution,2180,2156.125,2133,2250,0.9688888888888889,0.9582777777777778,45.33945553400008,314.66054295200047,5,40,5,0.85,0.4,ox,mixed,3,random,42
Gaussian,Gaussian_150_225_60,21,evolution,2180,2152.575,2123,2250,0.9688888888888889,0.9566999999999999,47.400940896000975,312.5990575039996,6,40,5,0.85,0.4,ox,mixed,3,random,42
Gaussian,Gaussian_150_225_60,22,evolution,2180,2157.675,2135,2250,0.9688888888888889,0.9589666666666667,49.46229565300018,310.537702611,7,40,5,0.85,0.4,ox,mixed,3,random,42
Gaussian,Gaussian_150_225_60,23,evolution,2180,2155.75,2127,2250,0.9688888888888889,0.9581111111111111,51.493441267999515,308.5065567799993,8,40,5,0.85,0.4,ox,mixed,3,random,42
Gaussian,Gaussian_150_225_60,24,evolution,2180,2157.325,2138,2250,0.9688888888888889,0.9588111111111111,53.5379776259997,306.4620206079999,9,40,5,0.85,0.4,ox,mixed,3,random,42
Gaussian,Gaussian_150_225_60,25,evolution,2180,2158.5,2140,2250,0.9688888888888889,0.9593333333333334,55.57688815000074,304.42310963399905,10,40,5,0.85,0.4,ox,mixed,3,random,42
Gaussian,Gaussian_150_225_60,25,restart,2180,2139.225,2117,2250,0.9688888888888889,0.9507666666666666,57.60428443000092,302.3957139089998,0,40,5,0.85,0.4,ox,mixed,3,random,42
Gaussian,Gaussian_150_225_60,26,evolution,2180,2151.625,2122,2250,0.9688888888888889,0.9562777777777778,59.68716859699998,300.312829778999,1,40,5,0.85,0.4,ox,mixed,3,random,42
Gaussian,Gaussian_150_225_60,27,evolution,2180,2153.65,2137,2250,0.9688888888888889,0.9571777777777778,61.758219519000704,298.24177889099883,2,40,5,0.85,0.4,ox,mixed,3,random,42
