dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
Poisson,Poisson_50_75_20,0,init,586,574.475,565,750,0.7813333333333333,0.7659666666666667,0.5803016369991383,89.41969763000088,0,40,5,0.85,0.4,ox,mixed,3,random,42
Poisson,Poisson_50_75_20,1,evolution,593,583.075,570,750,0.7906666666666666,0.7774333333333334,1.0907742389990744,88.90922442599913,0,40,5,0.85,0.4,ox,mixed,3,random,42
Poisson,Poisson_50_75_20,2,evolution,594,584.275,571,750,0.792,0.7790333333333334,1.6023449259992049,88.39765331600029,0,40,5,0.85,0.4,ox,mixed,3,random,42
Poisson,Poisson_50_75_20,3,evolution,599,584.15,566,750,0.7986666666666666,0.7788666666666666,2.138609617999464,87.86138874599965,0,40,5,0.85,0.4,ox,mixed,3,random,42
Poisson,Poisson_50_75_20,4,evolution,600,583.675,572,750,0.8,0.7782333333333332,2.644602546999522,87.35539574900031,0,40,5,0.85,0.4,ox,mixed,3,random,42
Poisson,Poisson_50_75_20,5,evolution,600,585.1,571,750,0.8,0.7801333333333333,3.1527103150001494,86.84728848099985,1,40,5,0.85,0.4,ox,mixed,3,random,42
Poisson,Poisson_50_75_20,6,evolution,600,585.075,572,750,0.8,0.7801,3.655351643999893,86.34464690999994,2,40,5,0.85,0.4,ox,mixed,3,random,42
Poisson,Poisson_50_75_20,7,evolution,600,584.7,569,750,0.8,0.7796000000000001,4.163398720000259,85.83659965799961,3,40,5,0.85,0.4,ox,mixed,3,random,42
Poisson,Poisson_50_75_20,8,evolution,602,587.175,576,750,0.8026666666666666,0.7828999999999999,4.670102358999429,85.3298964759997,0,40,5,0.85,0.4,ox,mixed,3,random,42
Poisson,Poisson_50_75_20,9,evolution,602,584.35,570,750,0.8026666666666666,0.7791333333333333,5.180832084999565,84.81916654499946,1,40,5,0.85,0.4,ox,mixed,3,random,42
Poisson,Poisson_50_75_20,10,evolution,602,585.325,571,750,0.8026666666666666,0.7804333333333334,5.692988572000104,84.30701022699941,2,40,5,0.85,0.4,ox,mixed,3,random,42
Poisson,Poisson_50_75_20,11,evolution,602,587.4,575,750,0.8026666666666666,0.7832,6.202258838000489,83.79773998100063,3,40,5,0.85,0.4,ox,mixed,3,random,42
Poisson,Poisson_50_75_20,12,evolution,602,586.375,571,750,0.8026666666666666,0.7818333333333334,6.7112740430002304,83.28872472500007,4,40,5,0.85,0.4,ox,mixed,3,random,42
Poisson,Poisson_50_75_20,13,evolution,602,587.225,575,750,0.8026666666666666,0.7829666666666667,7.228531020000446,82.77146742500008,5,40,5,0.85,0.4,ox,mixed,3,random,42
