dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
Uniform,Uniform_50_75_20,0,init,603,593.75,583,750,0.804,0.7916666666666666,0.6407298859994626,89.3592694100007,0,40,5,0.85,0.4,ox,mixed,3,random,42
Uniform,Uniform_50_75_20,1,evolution,629,603.875,589,750,0.8386666666666667,0.8051666666666667,1.2097394159991381,88.79025902400099,0,40,5,0.85,0.4,ox,mixed,3,random,42
Uniform,Uniform_50_75_20,2,evolution,629,605.0,590,750,0.8386666666666667,0.8066666666666666,1.7857691479985078,88.21422960600103,1,40,5,0.85,0.4,ox,mixed,3,random,42
Uniform,Uniform_50_75_20,3,evolution,629,607.475,593,750,0.8386666666666667,0.8099666666666667,2.355243748999783,87.64475416599998,2,40,5,0.85,0.4,ox,mixed,3,random,42
Uniform,Uniform_50_75_20,4,evolution,629,605.925,589,750,0.8386666666666667,0.8079,2.9237512379986583,87.07624757500162,3,40,5,0.85,0.4,ox,mixed,3,random,42
Uniform,Uniform_50_75_20,5,evolution,630,609.0,594,750,0.84,0.812,3.495522966999488,86.50447581100161,0,40,5,0.85,0.4,ox,mixed,3,random,42
Uniform,Uniform_50_75_20,6,evolution,630,607.425,591,750,0.84,0.8099,4.0638868890000595,85.93611128300108,1,40,5,0.85,0.4,ox,mixed,3,random,42
Uniform,Uniform_50_75_20,7,evolution,630,609.525,594,750,0.84,0.8127,4.634871223999653,85.36512744100037,2,40,5,0.85,0.4,ox,mixed,3,random,42
Uniform,Uniform_50_75_20,8,evolution,630,609.55,596,750,0.84,0.8127333333333333,5.207075392998377,84.79292311600148,3,40,5,0.85,0.4,ox,mixed,3,random,42
Uniform,Uniform_50_75_20,9,evolution,630,609.875,595,750,0.84,0.8131666666666667,5.781414564999068,84.21858427900042,4,40,5,0.85,0.4,ox,mixed,3,random,42
Uniform,Uniform_50_75_20,10,evolution,633,611.475,596,750,0.844,0.8153,6.352821694999875,83.64717689400095,0,40,5,0.85,0.4,ox,mixed,3,random,42
Uniform,Uniform_50_75_20,11,evolution,633,608.8,592,750,0.844,0.8117333333333333,6.9256751209995855,83.0743233510002,1,40,5,0.85,0.4,ox,mixed,3,random,42
Uniform,Uniform_50_75_20,12,evolution,633,610.375,592,750,0.844,0.8138333333333333,7.49876185499852,82.50123664700004,2,40,5,0.85,0.4,ox,mixed,3,random,42
Uniform,Uniform_50_75_20,13,evolution,633,608.05,593,750,0.844,0.8107333333333333,8.069689334999566,81.93030936500145,3,40,5,0.85,0.4,ox,mixed,3,random,42
Uniform,Uniform_50_75_20,14,evolution,633,609.85,595,750,0.844,0.8131333333333334,8.641151777999767,81.35884664100013,4,40,5,0.85,0.4,ox,mixed,3,random,42
Uniform,Uniform_50_75_20,15,evolution,633,609.15,594,750,0.844,0.8121999999999999,9.224489962998632,80.77550853100001,5,40,5,0.85,0.4,ox,mixed,3,random,42
Uniform,Uniform_50_75_20,16,evolution,633,612.2,595,750,0.844,0.8162666666666667,9.816119834998972,80.18387861300107,6,40,5,0.85,0.4,ox,mixed,3,random,42
Uniform,Uniform_50_75_20,17,evolution,633,611.05,597,750,0.844,0.8147333333333333,10.387795929998902,79.61220204300116,7,40,5,0.85,0.4,ox,mixed,3,random,42
Uniform,Uniform_50_75_20,18,evolution,633,613.05,597,750,0.844,0.8173999999999999,10.959172992999811,79.04082528400068,8,40,5,0.85,0.4,ox,mixed,3,random,42
