dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
hustack,hustack10,0,init,12,12.0,12,12,1.0,1.0,0.0059071719988423865,19.994092208999064,0,40,5,0.85,0.4,ox,mixed,3,random,42
hustack,hustack10,1,evolution,12,12.0,12,12,1.0,1.0,0.01584084400019492,19.984158343999297,1,40,5,0.85,0.4,ox,mixed,3,random,42
hustack,hustack10,2,evolution,12,12.0,12,12,1.0,1.0,0.023766569000144955,19.976232667999284,2,40,5,0.85,0.4,ox,mixed,3,random,42
hustack,hustack10,3,evolution,12,12.0,12,12,1.0,1.0,0.029310910998901818,19.97068848699928,3,40,5,0.85,0.4,ox,mixed,3,random,42
hustack,hustack10,4,evolution,12,12.0,12,12,1.0,1.0,0.03484731700154953,19.965152054999635,4,40,5,0.85,0.4,ox,mixed,3,random,42
hustack,hustack10,5,evolution,12,12.0,12,12,1.0,1.0,0.04032068399828859,19.959678768998856,5,40,5,0.85,0.4,ox,mixed,3,random,42
hustack,hustack10,6,evolution,12,12.0,12,12,1.0,1.0,0.04571687700081384,19.954282691000117,6,40,5,0.85,0.4,ox,mixed,3,random,42
hustack,hustack10,7,evolution,12,12.0,12,12,1.0,1.0,0.05164227400018717,19.948356848999538,7,40,5,0.85,0.4,ox,mixed,3,random,42
hustack,hustack10,8,evolution,12,12.0,12,12,1.0,1.0,0.057215315999201266,19.942783913000312,8,40,5,0.85,0.4,ox,mixed,3,random,42
hustack,hustack10,9,evolution,12,12.0,12,12,1.0,1.0,0.06274761000167928,19.93725182200069,9,40,5,0.85,0.4,ox,mixed,3,random,42
hustack,hustack10,10,evolution,12,12.0,12,12,1.0,1.0,0.06814165900141234,19.931857927000237,10,40,5,0.85,0.4,ox,mixed,3,random,42
hustack,hustack10,10,restart,12,12.0,12,12,1.0,1.0,0.0730560060001153,19.926943610000308,0,40,5,0.85,0.4,ox,mixed,3,random,42
hustack,hustack10,11,evolution,12,12.0,12,12,1.0,1.0,0.07857201799924951,19.921427489000052,1,40,5,0.85,0.4,ox,mixed,3,random,42
hustack,hustack10,12,evolution,12,12.0,12,12,1.0,1.0,0.08395364099851577,19.916045850000955,2,40,5,0.85,0.4,ox,mixed,3,random,42
hustack,hustack10,13,evolution,12,12.0,12,12,1.0,1.0,0.0892443769989768,19.91075514199838,3,40,5,0.85,0.4,ox,mixed,3,random,42
hustack,hustack10,14,evolution,12,12.0,12,12,1.0,1.0,0.09463247199892066,19.905367023999133,4,40,5,0.85,0.4,ox,mixed,3,random,42
hustack,hustack10,15,evolution,12,12.0,12,12,1.0,1.0,0.09998204099974828,19.90001750599913,5,40,5,0.85,0.4,ox,mixed,3,random,42
hustack,hustack10,16,evolution,12,12.0,12,12,1.0,1.0,0.10532052900089184,19.89467899599913,6,40,5,0.85,0.4,ox,mixed,3,random,42
hustack,hustack10,17,evolution,12,12.0,12,12,1.0,1.0,0.11090740199870197,19.889091876000748,7,40,5,0.85,0.4,ox,mixed,3,random,42
hustack,hustack10,18,evolution,12,12.0,12,12,1.0,1.0,0.11641927500022575,19.883580227000493,8,40,5,0.85,0.4,ox,mixed,3,random,42
hustack,hustack10,19,evolution,12,12.0,12,12,1.0,1.0,0.12176205899959314,19.87823746900176,9,40,5,0.85,0.4,ox,mixed,3,random,42
hustack,hustack10,20,evolution,12,12.0,12,12,1.0,1.0,0.12706038399846875,19.872939214001235,10,40,5,0.85,0.4,ox,mixed,3,random,42
hustack,hustack10,20,restart,12,12.0,12,12,1.0,1.0,0.1319891089988232,19.868010557998787,0,40,5,0.85,0.4,ox,mixed,3,random,42
hustack,hustack10,21,evolution,12,12.0,12,12,1.0,1.0,0.1372919780005759,19.86270760499974,1,40,5,0.85,0.4,ox,mixed,3,random,42
hustack,hustack10,22,evolution,12,12.0,12,12,1.0,1.0,0.1427205830004823,19.8572789509999,2,40,5,0.85,0.4,ox,mixed,3,random,42
hustack,hustack10,23,evolution,12,12.0,12,12,1.0,1.0,0.14807802100040135,19.851921557001333,3,40,5,0.85,0.4,ox,mixed,3,random,42
hustack,hustack10,24,evolution,12,12.0,12,12,1.0,1.0,0.15344183699926361,19.846557738001138,4,40,5,0.85,0.4,ox,mixed,3,random,42
hustack,hustack10,25,evolution,12,12.0,12,12,1.0,1.0,0.1589265449983941,19.84107300100004,5,40,5,0.85,0.4,ox,mixed,3,random,42
hustack,hustack10,26,evolution,12,12.0,12,12,1.0,1.0,0.16441786300129024,19.835581258001184,6,40,5,0.85,0.4,ox,mixed,3,random,42
hustack,hustack10,27,evolution,12,12.0,12,12,1.0,1.0,0.1697566149996419,19.830243008000252,7,40,5,0.85,0.4,ox,mixed,3,random,42
hustack,hustack10,28,evolution,12,12.0,12,12,1.0,1.0,0.17513665899969055,19.824862796998787,8,40,5,0.85,0.4,ox,mixed,3,random,42
hustack,hustack10,29,evolution,12,12.0,12,12,1.0,1.0,0.18043777400089311,19.819561796000926,9,40,5,0.85,0.4,ox,mixed,3,random,42
hustack,hustack10,30,evolution,12,12.0,12,12,1.0,1.0,0.1857899679998809,19.8142094979994,10,40,5,0.85,0.4,ox,mixed,3,random,42
hustack,hustack10,30,restart,12,12.0,12,12,1.0,1.0,0.19076043899985962,19.80923919899942,0,40,5,0.85,0.4,ox,mixed,3,random,42
