dataset,file,obj,total_cc,success_rate,greedy_baseline,ga_best,diff_vs_greedy,time_sec,status,pop_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed,time_limit
Adversarial,Adversarial_20_30_10,156,200,0.78,157,156,-1,20.00310439699996,VALID,40,5,0.85,0.4,ox,mixed,3,,42,20
Adversarial,Adversarial_50_75_20,490,750,0.6533333333333333,493,490,-3,90.02229558899995,VALID,40,5,0.85,0.4,ox,mixed,3,,42,90
Adversarial,Adversarial_80_120_32,1066,1200,0.8883333333333333,1064,1066,2,180.02010040599993,VALID,40,5,0.85,0.4,ox,mixed,3,,42,180
Adversarial,Adversarial_100_150_40,1386,1500,0.924,1390,1386,-4,180.03716994,VALID,40,5,0.85,0.4,ox,mixed,3,,42,180
Adversarial,Adversarial_150_225_60,2005,2250,0.8911111111111111,2022,2005,-17,360.053220461,VALID,40,5,0.85,0.4,ox,mixed,3,,42,360
Adversarial,Adversarial_200_300_80,2664,3000,0.888,2681,2664,-17,360.05391709700007,VALID,40,5,0.85,0.4,ox,mixed,3,,42,360
Adversarial,Adversarial_300_450_120,3907,4500,0.8682222222222222,3924,3907,-17,360.07743575199993,VALID,40,5,0.85,0.4,ox,mixed,3,,42,360
Adversarial,Adversarial_500_750_200,6570,7499,0.8761168155754101,6630,6570,-60,600.0769934930001,VALID,40,5,0.85,0.4,ox,mixed,3,,42,600
Adversarial,Adversarial_800_1200_320,10522,12000,0.8768333333333334,10608,10522,-86,900.1439705809998,VALID,40,5,0.85,0.4,ox,mixed,3,,42,900
Adversarial,Adversarial_1000_1500_400,13126,15000,0.8750666666666667,13211,13126,-85,900.8607188339997,VALID,40,5,0.85,0.4,ox,mixed,3,,42,900
Exponential,Exponential_20_30_10,187,200,0.935,188,187,-1,20.00418085900037,VALID,40,5,0.85,0.4,ox,mixed,3,,42,20
Exponential,Exponential_50_75_20,368,750,0.49066666666666664,376,368,-8,90.01260976699996,VALID,40,5,0.85,0.4,ox,mixed,3,,42,90
Exponential,Exponential_80_120_32,745,1200,0.6208333333333333,760,745,-15,180.01544117699996,VALID,40,5,0.85,0.4,ox,mixed,3,,42,180
Exponential,Exponential_100_150_40,1120,1500,0.7466666666666667,1112,1120,8,180.01643689499997,VALID,40,5,0.85,0.4,ox,mixed,3,,42,180
Exponential,Exponential_150_225_60,1931,2250,0.8582222222222222,1936,1931,-5,360.056153816,VALID,40,5,0.85,0.4,ox,mixed,3,,42,360
Exponential,Exponential_200_300_80,2453,3000,0.8176666666666667,2478,2453,-25,360.0278936279992,VALID,40,5,0.85,0.4,ox,mixed,3,,42,360
Exponential,Exponential_300_450_120,4004,4500,0.8897777777777778,4030,4004,-26,360.1096477890005,VALID,40,5,0.85,0.4,ox,mixed,3,,42,360
Exponential,Exponential_500_750_200,6960,7500,0.928,6993,6960,-33,600.1020990080006,VALID,40,5,0.85,0.4,ox,mixed,3,,42,600
Exponential,Exponential_800_1200_320,11396,12000,0.9496666666666667,11450,11396,-54,900.64234158,VALID,40,5,0.85,0.4,ox,mixed,3,,42,900
Exponential,Exponential_1000_1500_400,14357,15000,0.9571333333333333,14414,14357,-57,900.131233778,VALID,40,5,0.85,0.4,ox,mixed,3,,42,900
Gaussian,Gaussian_20_30_10,162,200,0.81,159,162,3,20.001939144000062,VALID,40,5,0.85,0.4,ox,mixed,3,,42,20
Gaussian,Gaussian_50_75_20,687,750,0.916,687,687,0,90.01878137699987,VALID,40,5,0.85,0.4,ox,mixed,3,,42,90
Gaussian,Gaussian_80_120_32,1156,1200,0.9633333333333334,1151,1156,5,180.02242541000123,VALID,40,5,0.85,0.4,ox,mixed,3,,42,180
Gaussian,Gaussian_100_150_40,1450,1500,0.9666666666666667,1432,1450,18,180.03921696600082,VALID,40,5,0.85,0.4,ox,mixed,3,,42,180
Gaussian,Gaussian_150_225_60,2192,2250,0.9742222222222222,2171,2192,21,360.0552252340003,VALID,40,5,0.85,0.4,ox,mixed,3,,42,360
Gaussian,Gaussian_200_300_80,2929,3000,0.9763333333333334,2904,2929,25,360.09403903599923,VALID,40,5,0.85,0.4,ox,mixed,3,,42,360
Gaussian,Gaussian_300_450_120,4388,4500,0.9751111111111112,4363,4388,25,360.2004454420003,VALID,40,5,0.85,0.4,ox,mixed,3,,42,360
Gaussian,Gaussian_500_750_200,7409,7499,0.9879983997866382,7400,7409,9,600.4801446439997,VALID,40,5,0.85,0.4,ox,mixed,3,,42,600
Gaussian,Gaussian_800_1200_320,11813,12000,0.9844166666666667,11787,11813,26,901.5937112760002,VALID,40,5,0.85,0.4,ox,mixed,3,,42,900
Gaussian,Gaussian_1000_1500_400,14806,15000,0.9870666666666666,14770,14806,36,901.6857688580003,VALID,40,5,0.85,0.4,ox,mixed,3,,42,900
Poisson,Poisson_20_30_10,146,200,0.73,140,146,6,20.003545315999872,VALID,40,5,0.85,0.4,ox,mixed,3,,42,20
Poisson,Poisson_50_75_20,617,750,0.8226666666666667,620,617,-3,90.01640099799988,VALID,40,5,0.85,0.4,ox,mixed,3,,42,90
Poisson,Poisson_80_120_32,1120,1200,0.9333333333333333,1114,1120,6,180.00984601299933,VALID,40,5,0.85,0.4,ox,mixed,3,,42,180
Poisson,Poisson_100_150_40,1420,1500,0.9466666666666667,1417,1420,3,180.01135614299892,VALID,40,5,0.85,0.4,ox,mixed,3,,42,180
Poisson,Poisson_150_225_60,2214,2250,0.984,2213,2214,1,360.0188779559994,VALID,40,5,0.85,0.4,ox,mixed,3,,42,360
Poisson,Poisson_200_300_80,2951,3000,0.9836666666666667,2932,2951,19,360.0917460520013,VALID,40,5,0.85,0.4,ox,mixed,3,,42,360
Poisson,Poisson_300_450_120,4470,4500,0.9933333333333333,4449,4470,21,360.0382266329998,VALID,40,5,0.85,0.4,ox,mixed,3,,42,360
Poisson,Poisson_500_750_200,7323,7500,0.9764,7312,7323,11,600.0796805059999,VALID,40,5,0.85,0.4,ox,mixed,3,,42,600
Poisson,Poisson_800_1200_320,11795,12000,0.9829166666666667,11805,11795,-10,900.8006912720011,VALID,40,5,0.85,0.4,ox,mixed,3,,42,900
Poisson,Poisson_1000_1500_400,14636,14999,0.9757983865591039,14563,14636,73,901.1696935660002,VALID,40,5,0.85,0.4,ox,mixed,3,,42,900
Uniform,Uniform_20_30_10,189,200,0.945,184,189,5,20.00487612300094,VALID,40,5,0.85,0.4,ox,mixed,3,,42,20
Uniform,Uniform_50_75_20,641,750,0.8546666666666667,648,641,-7,90.00639337999928,VALID,40,5,0.85,0.4,ox,mixed,3,,42,90
Uniform,Uniform_80_120_32,1122,1200,0.935,1126,1122,-4,180.02321984000082,VALID,40,5,0.85,0.4,ox,mixed,3,,42,180
Uniform,Uniform_100_150_40,1383,1500,0.922,1386,1383,-3,180.0381687659974,VALID,40,5,0.85,0.4,ox,mixed,3,,42,180
Uniform,Uniform_150_225_60,2136,2250,0.9493333333333334,2122,2136,14,360.0182325390015,VALID,40,5,0.85,0.4,ox,mixed,3,,42,360
Uniform,Uniform_200_300_80,2904,3000,0.968,2877,2904,27,360.03790665499764,VALID,40,5,0.85,0.4,ox,mixed,3,,42,360
Uniform,Uniform_300_450_120,4276,4499,0.9504334296510336,4277,4276,-1,360.18308193300254,VALID,40,5,0.85,0.4,ox,mixed,3,,42,360
Uniform,Uniform_500_750_200,7290,7500,0.972,7262,7290,28,600.1736218860024,VALID,40,5,0.85,0.4,ox,mixed,3,,42,600
Uniform,Uniform_800_1200_320,11747,12000,0.9789166666666667,11684,11747,63,900.5074052599994,VALID,40,5,0.85,0.4,ox,mixed,3,,42,900
Uniform,Uniform_1000_1500_400,14654,15000,0.9769333333333333,14661,14654,-7,901.0457673359997,VALID,40,5,0.85,0.4,ox,mixed,3,,42,900
hustack,hustack01,169,179,0.9441340782122905,169,169,0,19.999523577000218,VALID,40,5,0.85,0.4,ox,mixed,3,,42,20
hustack,hustack02,167,204,0.8186274509803921,167,167,0,44.997349426001165,VALID,40,5,0.85,0.4,ox,mixed,3,,42,45
hustack,hustack03,37,39,0.9487179487179487,37,37,0,19.98005768400253,VALID,40,5,0.85,0.4,ox,mixed,3,,42,20
hustack,hustack04,227,297,0.7643097643097643,227,227,0,45.00514250800188,VALID,40,5,0.85,0.4,ox,mixed,3,,42,45
hustack,hustack05,318,357,0.8907563025210085,318,318,0,44.97773954599688,VALID,40,5,0.85,0.4,ox,mixed,3,,42,45
hustack,hustack06,69,78,0.8846153846153846,69,69,0,19.967873563997273,VALID,40,5,0.85,0.4,ox,mixed,3,,42,20
hustack,hustack07,200,242,0.8264462809917356,200,200,0,44.98300449599992,VALID,40,5,0.85,0.4,ox,mixed,3,,42,45
hustack,hustack08,148,168,0.8809523809523809,146,148,2,19.969167541003117,VALID,40,5,0.85,0.4,ox,mixed,3,,42,20
hustack,hustack09,284,327,0.8685015290519877,283,284,1,45.002771788000246,VALID,40,5,0.85,0.4,ox,mixed,3,,42,45
hustack,hustack10,12,12,1.0,12,12,0,19.952743453999574,VALID,40,5,0.85,0.4,ox,mixed,3,,42,20
