dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
Adversarial,Adversarial_800_1200_320,0,init,10608,10381.95,10324,12000,0.884,0.8651625000000001,31.678510179000114,868.3214890650002,0,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Adversarial,Adversarial_800_1200_320,1,evolution,10608,10394.45,10322,12000,0.884,0.8662041666666668,60.095292752000205,839.9047058169999,1,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Adversarial,Adversarial_800_1200_320,2,evolution,10608,10395.425,10325,12000,0.884,0.8662854166666666,88.32519592300014,811.6748020969999,2,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Adversarial,Adversarial_800_1200_320,3,evolution,10608,10404.0,10341,12000,0.884,0.867,116.85842180600002,783.1415768010002,3,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Adversarial,Adversarial_800_1200_320,4,evolution,10608,10416.625,10310,12000,0.884,0.8680520833333333,145.13444648799987,754.865552101,4,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Adversarial,Adversarial_800_1200_320,5,evolution,10608,10402.5,10341,12000,0.884,0.866875,173.76797781699997,726.2320203640002,5,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Adversarial,Adversarial_800_1200_320,6,evolution,10608,10403.1,10345,12000,0.884,0.8669250000000001,202.74726652900017,697.2527318860002,6,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Adversarial,Adversarial_800_1200_320,7,evolution,10608,10407.525,10331,12000,0.884,0.86729375,231.8262964649998,668.1737022030002,7,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Adversarial,Adversarial_800_1200_320,8,evolution,10608,10410.55,10332,12000,0.884,0.8675458333333332,260.6933383679998,639.3066603249999,8,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Adversarial,Adversarial_800_1200_320,9,evolution,10608,10416.0,10343,12000,0.884,0.868,289.379128217,610.6208704710002,9,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Adversarial,Adversarial_800_1200_320,10,evolution,10608,10411.65,10335,12000,0.884,0.8676375,318.39970923300007,581.6002896250002,10,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Adversarial,Adversarial_800_1200_320,10,restart,10608,10374.625,10313,12000,0.884,0.8645520833333333,346.44910840600005,553.5508899689999,0,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Adversarial,Adversarial_800_1200_320,11,evolution,10608,10405.925,10321,12000,0.884,0.8671604166666667,375.3091689150001,524.6908295140001,1,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Adversarial,Adversarial_800_1200_320,12,evolution,10608,10413.35,10341,12000,0.884,0.8677791666666667,404.4564869139999,495.54351195300023,2,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Adversarial,Adversarial_800_1200_320,13,evolution,10608,10419.9,10290,12000,0.884,0.868325,433.3120277889998,466.68797080900003,3,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Adversarial,Adversarial_800_1200_320,14,evolution,10608,10431.125,10344,12000,0.884,0.8692604166666666,462.0509727990002,437.9490260440002,4,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Adversarial,Adversarial_800_1200_320,15,evolution,10608,10418.675,10329,12000,0.884,0.8682229166666666,490.949733038,409.0502655519999,5,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Adversarial,Adversarial_800_1200_320,16,evolution,10608,10422.875,10314,12000,0.884,0.8685729166666667,519.6946659599998,380.3053320889999,6,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Adversarial,Adversarial_800_1200_320,17,evolution,10608,10419.875,10346,12000,0.884,0.8683229166666667,548.578680914,351.421317541,7,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Adversarial,Adversarial_800_1200_320,18,evolution,10608,10417.3,10334,12000,0.884,0.8681083333333333,577.6513616440002,322.3486371230001,8,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Adversarial,Adversarial_800_1200_320,19,evolution,10608,10416.8,10325,12000,0.884,0.8680666666666667,606.4565030909998,293.54349557800015,9,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Adversarial,Adversarial_800_1200_320,20,evolution,10608,10408.55,10303,12000,0.884,0.8673791666666666,635.3549562019998,264.64504222100004,10,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Adversarial,Adversarial_800_1200_320,20,restart,10608,10380.4,10303,12000,0.884,0.8650333333333333,663.360882895,236.63911535900024,0,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Adversarial,Adversarial_800_1200_320,21,evolution,10608,10432.325,10338,12000,0.884,0.8693604166666667,691.9442792350001,208.05571947199996,1,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Adversarial,Adversarial_800_1200_320,22,evolution,10608,10417.775,10345,12000,0.884,0.8681479166666667,720.9056347149999,179.09436392999987,2,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Adversarial,Adversarial_800_1200_320,23,evolution,10608,10428.075,10332,12000,0.884,0.8690062500000001,749.687343477,150.31265489299994,3,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Adversarial,Adversarial_800_1200_320,24,evolution,10608,10420.875,10312,12000,0.884,0.86840625,778.6705014640002,121.3294969120002,4,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Adversarial,Adversarial_800_1200_320,25,evolution,10608,10425.7,10326,12000,0.884,0.8688083333333334,807.5058919479998,92.49410621400011,5,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Adversarial,Adversarial_800_1200_320,26,evolution,10608,10418.35,10334,12000,0.884,0.8681958333333334,836.3495611600001,63.65043684800003,6,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Adversarial,Adversarial_800_1200_320,27,evolution,10608,10421.0,10318,12000,0.884,0.8684166666666666,865.2704077039998,34.72959032200015,7,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Adversarial,Adversarial_800_1200_320,28,evolution,10608,10417.45,10334,12000,0.884,0.8681208333333333,894.3372645049999,5.6627339050000955,8,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Adversarial,Adversarial_800_1200_320,29,evolution,10608,10455.833333333334,10361,12000,0.884,0.8713194444444445,900.1137068459998,0.0,9,12,5,0.85,0.75,ox,mixed,3,heuristic,42
