dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
Exponential,Exponential_800_1200_320,0,init,11450,11235.1,11159,12000,0.9541666666666667,0.9362583333333334,30.031254210000043,869.968745016,0,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Exponential,Exponential_800_1200_320,1,evolution,11450,11281.725,11194,12000,0.9541666666666667,0.9401437500000001,57.19261568899947,842.8073828659999,1,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Exponential,Exponential_800_1200_320,2,evolution,11450,11274.65,11184,12000,0.9541666666666667,0.9395541666666667,84.7817100809998,815.2182886480005,2,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Exponential,Exponential_800_1200_320,3,evolution,11450,11283.7,11198,12000,0.9541666666666667,0.9403083333333334,112.36641368899927,787.6335850539999,3,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Exponential,Exponential_800_1200_320,4,evolution,11450,11290.05,11193,12000,0.9541666666666667,0.9408375,140.23205817799953,759.7679402220001,4,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Exponential,Exponential_800_1200_320,5,evolution,11450,11287.825,11196,12000,0.9541666666666667,0.9406520833333334,167.99344357500013,732.0065548790008,5,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Exponential,Exponential_800_1200_320,6,evolution,11450,11293.8,11210,12000,0.9541666666666667,0.9411499999999999,195.69210774099975,704.3078906050005,6,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Exponential,Exponential_800_1200_320,7,evolution,11450,11287.975,11189,12000,0.9541666666666667,0.9406645833333334,223.7973385489995,676.2026594899999,7,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Exponential,Exponential_800_1200_320,8,evolution,11450,11294.0,11215,12000,0.9541666666666667,0.9411666666666667,251.7107397310001,648.2892589900002,8,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Exponential,Exponential_800_1200_320,9,evolution,11450,11276.175,11194,12000,0.9541666666666667,0.9396812499999999,279.7053508079998,620.294647277,9,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Exponential,Exponential_800_1200_320,10,evolution,11450,11290.325,11205,12000,0.9541666666666667,0.9408604166666668,307.49501457899987,592.5049840640004,10,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Exponential,Exponential_800_1200_320,10,restart,11450,11230.875,11150,12000,0.9541666666666667,0.93590625,333.60224045199993,566.3977581770005,0,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Exponential,Exponential_800_1200_320,11,evolution,11450,11289.25,11182,12000,0.9541666666666667,0.9407708333333333,361.0658912709996,538.934107264,1,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Exponential,Exponential_800_1200_320,12,evolution,11450,11272.475,11181,12000,0.9541666666666667,0.9393729166666667,387.74971000299956,512.2502882850004,2,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Exponential,Exponential_800_1200_320,13,evolution,11450,11271.05,11188,12000,0.9541666666666667,0.9392541666666666,414.46018418099993,485.5398145859999,3,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Exponential,Exponential_800_1200_320,14,evolution,11450,11281.65,11188,12000,0.9541666666666667,0.9401375,441.90488568899946,458.09511294799995,4,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Exponential,Exponential_800_1200_320,15,evolution,11450,11291.0,11205,12000,0.9541666666666667,0.9409166666666666,469.23650109199934,430.76349741600006,5,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Exponential,Exponential_800_1200_320,16,evolution,11450,11277.875,11187,12000,0.9541666666666667,0.9398229166666666,496.9807169699998,403.01928170800056,6,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Exponential,Exponential_800_1200_320,17,evolution,11450,11274.0,11208,12000,0.9541666666666667,0.9395,524.8250102669999,375.1749884260007,7,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Exponential,Exponential_800_1200_320,18,evolution,11450,11281.725,11206,12000,0.9541666666666667,0.9401437500000001,552.4768569600001,347.5231416080005,8,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Exponential,Exponential_800_1200_320,19,evolution,11450,11289.55,11208,12000,0.9541666666666667,0.9407958333333333,580.5117342619997,319.48826402300074,9,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Exponential,Exponential_800_1200_320,20,evolution,11450,11299.45,11202,12000,0.9541666666666667,0.9416208333333334,608.6589417340001,291.3410568270001,10,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Exponential,Exponential_800_1200_320,20,restart,11450,11218.975,11130,12000,0.9541666666666667,0.9349145833333333,634.3851159059996,265.614882586,0,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Exponential,Exponential_800_1200_320,21,evolution,11450,11274.75,11190,12000,0.9541666666666667,0.9395625,660.6484852499998,239.351513437,1,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Exponential,Exponential_800_1200_320,22,evolution,11450,11274.3,11194,12000,0.9541666666666667,0.9395249999999999,687.1954136240001,212.80458516599992,2,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Exponential,Exponential_800_1200_320,23,evolution,11450,11276.375,11190,12000,0.9541666666666667,0.9396979166666667,714.1543348279993,185.84566354900016,3,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Exponential,Exponential_800_1200_320,24,evolution,11450,11274.25,11164,12000,0.9541666666666667,0.9395208333333334,741.4733614999996,158.5266364500003,4,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Exponential,Exponential_800_1200_320,25,evolution,11450,11281.45,11192,12000,0.9541666666666667,0.9401208333333334,768.6681810289992,131.33181762799995,5,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Exponential,Exponential_800_1200_320,26,evolution,11450,11281.075,11206,12000,0.9541666666666667,0.9400895833333334,796.2484427439995,103.75155557700054,6,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Exponential,Exponential_800_1200_320,27,evolution,11450,11290.5,11183,12000,0.9541666666666667,0.940875,823.984464272,76.01553448699997,7,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Exponential,Exponential_800_1200_320,28,evolution,11450,11289.3,11207,12000,0.9541666666666667,0.9407749999999999,851.6341668349996,48.36583199699999,8,40,5,0.85,0.75,ox,mixed,3,heuristic,42
