dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
Gaussian,Gaussian_80_120_32,0,init,1151,1133.75,1121,1200,0.9591666666666666,0.9447916666666667,1.1278255479992367,178.8721735220006,0,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Gaussian,Gaussian_80_120_32,1,evolution,1151,1137.575,1128,1200,0.9591666666666666,0.9479791666666667,2.1076982309987216,177.89230018600028,1,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Gaussian,Gaussian_80_120_32,2,evolution,1151,1138.525,1122,1200,0.9591666666666666,0.9487708333333335,3.0888209610002377,176.91117747200042,2,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Gaussian,Gaussian_80_120_32,3,evolution,1151,1138.85,1127,1200,0.9591666666666666,0.9490416666666666,4.070803376998811,175.92919499100026,3,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Gaussian,Gaussian_80_120_32,4,evolution,1152,1139.1,1125,1200,0.96,0.9492499999999999,5.093964456998947,174.90603396799997,0,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Gaussian,Gaussian_80_120_32,5,evolution,1152,1138.725,1130,1200,0.96,0.9489374999999999,6.084311382999658,173.91568736800036,1,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Gaussian,Gaussian_80_120_32,6,evolution,1152,1140.9,1126,1200,0.96,0.9507500000000001,7.07495091599958,172.92504747100065,2,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Gaussian,Gaussian_80_120_32,7,evolution,1152,1140.2,1127,1200,0.96,0.9501666666666667,8.067232530000183,171.93276614000024,3,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Gaussian,Gaussian_80_120_32,8,evolution,1156,1139.6,1130,1200,0.9633333333333334,0.9496666666666665,9.045310662999327,170.9546877749999,0,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Gaussian,Gaussian_80_120_32,9,evolution,1156,1141.5,1128,1200,0.9633333333333334,0.95125,10.023401336999086,169.97659749600098,1,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Gaussian,Gaussian_80_120_32,10,evolution,1156,1139.825,1125,1200,0.9633333333333334,0.9498541666666667,11.003034696999748,168.99696407900046,2,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Gaussian,Gaussian_80_120_32,11,evolution,1156,1139.725,1126,1200,0.9633333333333334,0.9497708333333332,11.977722615998573,168.02227610299997,3,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Gaussian,Gaussian_80_120_32,12,evolution,1156,1141.0,1123,1200,0.9633333333333334,0.9508333333333333,12.969683461999011,167.0303152739998,4,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Gaussian,Gaussian_80_120_32,13,evolution,1156,1141.575,1129,1200,0.9633333333333334,0.9513125,13.95801091300018,166.0419872270013,5,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Gaussian,Gaussian_80_120_32,14,evolution,1156,1141.2,1127,1200,0.9633333333333334,0.9510000000000001,14.950590175998514,165.04940838900075,6,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Gaussian,Gaussian_80_120_32,15,evolution,1156,1141.675,1129,1200,0.9633333333333334,0.9513958333333333,15.970121846999973,164.02987681800005,7,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Gaussian,Gaussian_80_120_32,16,evolution,1156,1139.9,1127,1200,0.9633333333333334,0.9499166666666667,16.96227082599944,163.03772711900092,8,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Gaussian,Gaussian_80_120_32,17,evolution,1156,1142.2,1127,1200,0.9633333333333334,0.9518333333333334,17.941347231999316,162.05865157900007,9,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Gaussian,Gaussian_80_120_32,18,evolution,1156,1140.75,1127,1200,0.9633333333333334,0.950625,18.923037780999948,161.07696112099984,10,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Gaussian,Gaussian_80_120_32,18,restart,1156,1134.2,1122,1200,0.9633333333333334,0.9451666666666667,19.88077932899978,160.11921923200134,0,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Gaussian,Gaussian_80_120_32,19,evolution,1156,1139.675,1127,1200,0.9633333333333334,0.9497291666666666,20.866071284999634,159.1339274560014,1,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Gaussian,Gaussian_80_120_32,20,evolution,1156,1140.1,1131,1200,0.9633333333333334,0.9500833333333333,21.85095581299902,158.14904293100153,2,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Gaussian,Gaussian_80_120_32,21,evolution,1156,1140.325,1128,1200,0.9633333333333334,0.9502708333333334,22.840227246999348,157.15977151000152,3,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Gaussian,Gaussian_80_120_32,22,evolution,1156,1142.6,1132,1200,0.9633333333333334,0.9521666666666666,23.822654005000004,156.1773448060012,4,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Gaussian,Gaussian_80_120_32,23,evolution,1156,1141.625,1129,1200,0.9633333333333334,0.9513541666666666,24.807711222998478,155.1922874789998,5,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Gaussian,Gaussian_80_120_32,24,evolution,1156,1141.125,1130,1200,0.9633333333333334,0.9509375,25.82105313699867,154.17894553600127,6,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Gaussian,Gaussian_80_120_32,25,evolution,1156,1141.15,1124,1200,0.9633333333333334,0.9509583333333335,26.80006183899968,153.19993680400148,7,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Gaussian,Gaussian_80_120_32,26,evolution,1156,1140.75,1127,1200,0.9633333333333334,0.950625,27.777441045998785,152.2225575350003,8,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Gaussian,Gaussian_80_120_32,27,evolution,1156,1141.5,1124,1200,0.9633333333333334,0.95125,28.763276829999086,151.2367217280007,9,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Gaussian,Gaussian_80_120_32,28,evolution,1156,1141.975,1129,1200,0.9633333333333334,0.9516458333333333,29.744268648999423,150.25573012000132,10,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Gaussian,Gaussian_80_120_32,28,restart,1156,1133.075,1116,1200,0.9633333333333334,0.9442291666666667,30.702512210998975,149.29748642600134,0,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Gaussian,Gaussian_80_120_32,29,evolution,1156,1139.225,1127,1200,0.9633333333333334,0.9493541666666666,31.687397204999797,148.31260154600022,1,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Gaussian,Gaussian_80_120_32,30,evolution,1156,1140.35,1128,1200,0.9633333333333334,0.9502916666666666,32.673242613000184,147.32675619100155,2,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Gaussian,Gaussian_80_120_32,31,evolution,1156,1141.05,1126,1200,0.9633333333333334,0.9508749999999999,33.661733359998834,146.33826510100153,3,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Gaussian,Gaussian_80_120_32,32,evolution,1156,1139.375,1128,1200,0.9633333333333334,0.9494791666666667,34.638358875999984,145.3616398560007,4,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Gaussian,Gaussian_80_120_32,33,evolution,1156,1142.825,1132,1200,0.9633333333333334,0.9523541666666667,35.6590442809993,144.34095415500087,5,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Gaussian,Gaussian_80_120_32,34,evolution,1156,1142.875,1130,1200,0.9633333333333334,0.9523958333333333,36.632370843999524,143.36762766700122,6,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Gaussian,Gaussian_80_120_32,35,evolution,1156,1143.025,1129,1200,0.9633333333333334,0.9525208333333334,37.60821457499878,142.39178388000073,7,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Gaussian,Gaussian_80_120_32,36,evolution,1156,1143.525,1131,1200,0.9633333333333334,0.9529375000000001,38.5923208539989,141.40767748800135,8,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Gaussian,Gaussian_80_120_32,37,evolution,1156,1143.6,1131,1200,0.9633333333333334,0.953,39.58486788099981,140.41513074900104,9,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Gaussian,Gaussian_80_120_32,38,evolution,1156,1141.175,1127,1200,0.9633333333333334,0.9509791666666666,40.56298219099881,139.43701581700043,10,40,5,0.85,0.75,ox,mixed,3,heuristic,42
