dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
Poisson,Poisson_300_450_120,0,init,4449,4411.55,4389,4500,0.9886666666666667,0.9803444444444445,6.084546865000448,353.915452225001,0,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,1,evolution,4449,4416.475,4369,4500,0.9886666666666667,0.981438888888889,11.44659428200066,348.5534042199997,1,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,2,evolution,4449,4422.275,4390,4500,0.9886666666666667,0.9827277777777776,16.759521128000415,343.2404774780007,2,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,3,evolution,4449,4427.0,4400,4500,0.9886666666666667,0.9837777777777778,22.0173081920002,337.9826904870006,3,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,4,evolution,4454,4424.775,4393,4500,0.9897777777777778,0.9832833333333333,27.23583053999937,332.76416787500057,0,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,5,evolution,4459,4431.025,4394,4500,0.9908888888888889,0.9846722222222222,32.4662853789996,327.53371307400084,0,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,6,evolution,4459,4430.525,4394,4500,0.9908888888888889,0.984561111111111,37.663314929999615,322.3366828270009,1,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,7,evolution,4459,4430.2,4395,4500,0.9908888888888889,0.9844888888888889,42.85588180100058,317.1441166650002,2,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,8,evolution,4459,4433.425,4410,4500,0.9908888888888889,0.9852055555555556,48.03855465599918,311.96144388500034,3,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,9,evolution,4459,4439.35,4405,4500,0.9908888888888889,0.9865222222222223,53.32627998299904,306.67371781099973,4,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,10,evolution,4459,4432.0,4404,4500,0.9908888888888889,0.9848888888888889,58.50164398199922,301.498354536001,5,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,11,evolution,4459,4430.975,4405,4500,0.9908888888888889,0.9846611111111112,63.68809092799893,296.31190752099974,6,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,12,evolution,4465,4434.225,4402,4500,0.9922222222222222,0.9853833333333334,68.83058892500048,291.169409524,0,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,13,evolution,4465,4435.925,4403,4500,0.9922222222222222,0.9857611111111112,74.09185918399999,285.9081393560009,1,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,14,evolution,4465,4431.85,4407,4500,0.9922222222222222,0.9848555555555556,79.34727538900006,280.6527230770007,2,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,15,evolution,4465,4433.35,4406,4500,0.9922222222222222,0.985188888888889,84.5622215759995,275.4377764260007,3,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,16,evolution,4465,4433.75,4404,4500,0.9922222222222222,0.9852777777777778,89.70569342099952,270.2943048590005,4,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,17,evolution,4465,4435.0,4405,4500,0.9922222222222222,0.9855555555555555,94.92949719900025,265.0705013370007,5,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,18,evolution,4466,4437.975,4412,4500,0.9924444444444445,0.9862166666666667,100.08912514800068,259.91087334999975,0,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,19,evolution,4466,4438.8,4408,4500,0.9924444444444445,0.9864,105.3910456729991,254.60895284199978,1,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,20,evolution,4466,4436.15,4410,4500,0.9924444444444445,0.9858111111111111,110.54423109100026,249.45576752300076,2,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,21,evolution,4466,4435.875,4414,4500,0.9924444444444445,0.98575,115.77306373099964,244.2269349170001,3,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,22,evolution,4466,4437.15,4413,4500,0.9924444444444445,0.9860333333333332,120.95209027199962,239.04790811400017,4,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,23,evolution,4466,4435.05,4406,4500,0.9924444444444445,0.9855666666666667,126.11560908899992,233.8843892650002,5,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,24,evolution,4466,4433.075,4410,4500,0.9924444444444445,0.9851277777777777,131.25874906199897,228.74124890799976,6,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,25,evolution,4466,4433.275,4412,4500,0.9924444444444445,0.9851722222222221,136.5146248660003,223.4853737100002,7,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,26,evolution,4466,4436.0,4405,4500,0.9924444444444445,0.9857777777777778,141.6606701109995,218.3393282190009,8,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,27,evolution,4466,4436.75,4407,4500,0.9924444444444445,0.9859444444444444,146.88004180999997,213.11995682000088,9,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,28,evolution,4466,4435.5,4406,4500,0.9924444444444445,0.9856666666666667,152.05416635899928,207.945831594001,10,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,28,restart,4466,4404.35,4375,4500,0.9924444444444445,0.9787444444444445,157.15131522999945,202.8486834539999,0,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,29,evolution,4466,4425.4,4387,4500,0.9924444444444445,0.9834222222222221,162.35133859400048,197.64865997800007,1,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,30,evolution,4466,4432.45,4397,4500,0.9924444444444445,0.9849888888888888,167.63579024499995,192.364208125,2,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,31,evolution,4470,4434.475,4398,4500,0.9933333333333333,0.985438888888889,172.8121036299999,187.1878948779995,0,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,32,evolution,4470,4432.175,4399,4500,0.9933333333333333,0.9849277777777778,177.97015613700023,182.0298425410001,1,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,33,evolution,4470,4437.375,4408,4500,0.9933333333333333,0.9860833333333333,183.17600407499958,176.8239944979996,2,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,34,evolution,4471,4438.275,4409,4500,0.9935555555555555,0.9862833333333333,188.34914712299906,171.6508510399999,0,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,35,evolution,4471,4435.85,4412,4500,0.9935555555555555,0.9857444444444445,193.5586627419998,166.44133583000075,1,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,36,evolution,4471,4435.6,4405,4500,0.9935555555555555,0.985688888888889,198.7609435609993,161.239054185,2,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,37,evolution,4471,4436.15,4399,4500,0.9935555555555555,0.9858111111111111,203.93099764999897,156.0690008370002,3,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,38,evolution,4471,4440.375,4415,4500,0.9935555555555555,0.98675,209.1289088729991,150.8710896169996,4,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,39,evolution,4471,4437.1,4401,4500,0.9935555555555555,0.9860222222222224,214.38567490099922,145.61432378800055,5,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,40,evolution,4471,4438.325,4413,4500,0.9935555555555555,0.9862944444444444,219.5941581650004,140.40583966399936,6,40,5,0.85,0.75,ox,mixed,3,heuristic,42
Poisson,Poisson_300_450_120,41,evolution,4471,4438.0,4401,4500,0.9935555555555555,0.9862222222222222,224.85857786399902,135.14142060300037,7,40,5,0.85,0.75,ox,mixed,3,heuristic,42
