dataset,file,obj,total_cc,success_rate,greedy_baseline,ga_best,diff_vs_greedy,time_sec,status,pop_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed,time_limit
Adversarial,Adversarial_20_30_10,157,200,0.785,157,157,0,20.005030981999994,VALID,40,5,0.85,0.75,ox,mixed,3,,42,20
Adversarial,Adversarial_50_75_20,493,750,0.6573333333333333,493,493,0,90.01926280100002,VALID,40,5,0.85,0.75,ox,mixed,3,,42,90
Adversarial,Adversarial_80_120_32,1064,1200,0.8866666666666667,1064,1064,0,180.01239835800004,VALID,40,5,0.85,0.75,ox,mixed,3,,42,180
Adversarial,Adversarial_100_150_40,1390,1500,0.9266666666666666,1390,1390,0,180.0358074840001,VALID,40,5,0.85,0.75,ox,mixed,3,,42,180
Adversarial,Adversarial_150_225_60,2022,2250,0.8986666666666666,2022,2022,0,360.0203581249999,VALID,40,5,0.85,0.75,ox,mixed,3,,42,360
Adversarial,Adversarial_200_300_80,2681,3000,0.8936666666666667,2681,2681,0,360.0366603089999,VALID,40,5,0.85,0.75,ox,mixed,3,,42,360
Adversarial,Adversarial_300_450_120,3924,4500,0.872,3924,3924,0,360.052974836,VALID,40,5,0.85,0.75,ox,mixed,3,,42,360
Adversarial,Adversarial_500_750_200,6630,7499,0.8841178823843179,6630,6630,0,600.0934912849998,VALID,40,5,0.85,0.75,ox,mixed,3,,42,600
Adversarial,Adversarial_800_1200_320,10608,12000,0.884,10608,10608,0,900.156143706,VALID,40,5,0.85,0.75,ox,mixed,3,,42,900
Adversarial,Adversarial_1000_1500_400,13211,15000,0.8807333333333334,13211,13211,0,900.6129879350001,VALID,40,5,0.85,0.75,ox,mixed,3,,42,900
Exponential,Exponential_20_30_10,188,200,0.94,188,188,0,19.98982221499955,VALID,40,5,0.85,0.75,ox,mixed,3,,42,20
Exponential,Exponential_50_75_20,376,750,0.5013333333333333,376,376,0,90.01599212300061,VALID,40,5,0.85,0.75,ox,mixed,3,,42,90
Exponential,Exponential_80_120_32,760,1200,0.6333333333333333,760,760,0,180.02266077600052,VALID,40,5,0.85,0.75,ox,mixed,3,,42,180
Exponential,Exponential_100_150_40,1121,1500,0.7473333333333333,1112,1121,9,180.0315957849998,VALID,40,5,0.85,0.75,ox,mixed,3,,42,180
Exponential,Exponential_150_225_60,1936,2250,0.8604444444444445,1936,1936,0,360.04026611599966,VALID,40,5,0.85,0.75,ox,mixed,3,,42,360
Exponential,Exponential_200_300_80,2478,3000,0.826,2478,2478,0,360.0327662999998,VALID,40,5,0.85,0.75,ox,mixed,3,,42,360
Exponential,Exponential_300_450_120,4030,4500,0.8955555555555555,4030,4030,0,360.0809795770001,VALID,40,5,0.85,0.75,ox,mixed,3,,42,360
Exponential,Exponential_500_750_200,6993,7500,0.9324,6993,6993,0,600.2148635629992,VALID,40,5,0.85,0.75,ox,mixed,3,,42,600
Exponential,Exponential_800_1200_320,11450,12000,0.9541666666666667,11450,11450,0,900.6693924950005,VALID,40,5,0.85,0.75,ox,mixed,3,,42,900
Exponential,Exponential_1000_1500_400,14414,15000,0.9609333333333333,14414,14414,0,900.3349646430006,VALID,40,5,0.85,0.75,ox,mixed,3,,42,900
Gaussian,Gaussian_20_30_10,162,200,0.81,159,162,3,19.96729148799932,VALID,40,5,0.85,0.75,ox,mixed,3,,42,20
Gaussian,Gaussian_50_75_20,687,750,0.916,687,687,0,90.00836832099958,VALID,40,5,0.85,0.75,ox,mixed,3,,42,90
Gaussian,Gaussian_80_120_32,1157,1200,0.9641666666666666,1151,1157,6,180.01176993400077,VALID,40,5,0.85,0.75,ox,mixed,3,,42,180
Gaussian,Gaussian_100_150_40,1437,1500,0.958,1432,1437,5,180.02643413999976,VALID,40,5,0.85,0.75,ox,mixed,3,,42,180
Gaussian,Gaussian_150_225_60,2195,2250,0.9755555555555555,2171,2195,24,360.06243254400033,VALID,40,5,0.85,0.75,ox,mixed,3,,42,360
Gaussian,Gaussian_200_300_80,2925,3000,0.975,2904,2925,21,360.0504950750001,VALID,40,5,0.85,0.75,ox,mixed,3,,42,360
Gaussian,Gaussian_300_450_120,4378,4500,0.9728888888888889,4363,4378,15,360.0544654080004,VALID,40,5,0.85,0.75,ox,mixed,3,,42,360
Gaussian,Gaussian_500_750_200,7410,7499,0.9881317509001201,7400,7410,10,600.0532764679992,VALID,40,5,0.85,0.75,ox,mixed,3,,42,600
Gaussian,Gaussian_800_1200_320,11804,12000,0.9836666666666667,11787,11804,17,900.2652810360014,VALID,40,5,0.85,0.75,ox,mixed,3,,42,900
Gaussian,Gaussian_1000_1500_400,14801,15000,0.9867333333333334,14770,14801,31,901.4862829009999,VALID,40,5,0.85,0.75,ox,mixed,3,,42,900
Poisson,Poisson_20_30_10,144,200,0.72,140,144,4,20.00469941099982,VALID,40,5,0.85,0.75,ox,mixed,3,,42,20
Poisson,Poisson_50_75_20,620,750,0.8266666666666667,620,620,0,89.99161176400048,VALID,40,5,0.85,0.75,ox,mixed,3,,42,90
Poisson,Poisson_80_120_32,1121,1200,0.9341666666666667,1114,1121,7,180.00756094499957,VALID,40,5,0.85,0.75,ox,mixed,3,,42,180
Poisson,Poisson_100_150_40,1417,1500,0.9446666666666667,1417,1417,0,180.01772711800004,VALID,40,5,0.85,0.75,ox,mixed,3,,42,180
Poisson,Poisson_150_225_60,2216,2250,0.9848888888888889,2213,2216,3,360.01753763000124,VALID,40,5,0.85,0.75,ox,mixed,3,,42,360
Poisson,Poisson_200_300_80,2957,3000,0.9856666666666667,2932,2957,25,360.069167611,VALID,40,5,0.85,0.75,ox,mixed,3,,42,360
Poisson,Poisson_300_450_120,4471,4500,0.9935555555555555,4449,4471,22,360.052741083,VALID,40,5,0.85,0.75,ox,mixed,3,,42,360
Poisson,Poisson_500_750_200,7319,7500,0.9758666666666667,7312,7319,7,600.114558117999,VALID,40,5,0.85,0.75,ox,mixed,3,,42,600
Poisson,Poisson_800_1200_320,11805,12000,0.98375,11805,11805,0,900.7052639119993,VALID,40,5,0.85,0.75,ox,mixed,3,,42,900
Poisson,Poisson_1000_1500_400,14619,14999,0.9746649776651777,14563,14619,56,900.612826519,VALID,40,5,0.85,0.75,ox,mixed,3,,42,900
Uniform,Uniform_20_30_10,189,200,0.945,184,189,5,20.004349986000307,VALID,40,5,0.85,0.75,ox,mixed,3,,42,20
Uniform,Uniform_50_75_20,648,750,0.864,648,648,0,90.00934800599862,VALID,40,5,0.85,0.75,ox,mixed,3,,42,90
Uniform,Uniform_80_120_32,1126,1200,0.9383333333333334,1126,1126,0,180.02341171800072,VALID,40,5,0.85,0.75,ox,mixed,3,,42,180
Uniform,Uniform_100_150_40,1386,1500,0.924,1386,1386,0,180.04065598799934,VALID,40,5,0.85,0.75,ox,mixed,3,,42,180
Uniform,Uniform_150_225_60,2141,2250,0.9515555555555556,2122,2141,19,360.0325755769991,VALID,40,5,0.85,0.75,ox,mixed,3,,42,360
Uniform,Uniform_200_300_80,2909,3000,0.9696666666666667,2877,2909,32,360.02365782500056,VALID,40,5,0.85,0.75,ox,mixed,3,,42,360
Uniform,Uniform_300_450_120,4279,4499,0.9511002444987775,4277,4279,2,360.15913664899927,VALID,40,5,0.85,0.75,ox,mixed,3,,42,360
Uniform,Uniform_500_750_200,7292,7500,0.9722666666666666,7262,7292,30,600.2215540119978,VALID,40,5,0.85,0.75,ox,mixed,3,,42,600
Uniform,Uniform_800_1200_320,11760,12000,0.98,11684,11760,76,901.091544166,VALID,40,5,0.85,0.75,ox,mixed,3,,42,900
Uniform,Uniform_1000_1500_400,14661,15000,0.9774,14661,14661,0,902.8449906269998,VALID,40,5,0.85,0.75,ox,mixed,3,,42,900
hustack,hustack01,169,179,0.9441340782122905,169,169,0,19.976626985997427,VALID,40,5,0.85,0.75,ox,mixed,3,,42,20
hustack,hustack02,167,204,0.8186274509803921,167,167,0,45.00015350000103,VALID,40,5,0.85,0.75,ox,mixed,3,,42,45
hustack,hustack03,37,39,0.9487179487179487,37,37,0,19.96320770099919,VALID,40,5,0.85,0.75,ox,mixed,3,,42,20
hustack,hustack04,227,297,0.7643097643097643,227,227,0,44.98831655899994,VALID,40,5,0.85,0.75,ox,mixed,3,,42,45
