dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
Adversarial,Adversarial_100_150_40,0,init,1354,1343.6,1332,1500,0.9026666666666666,0.8957333333333333,1.7685354039999766,178.23146380800006,0,40,5,0.85,0.75,ox,mixed,3,random,42
Adversarial,Adversarial_100_150_40,1,evolution,1354,1346.15,1339,1500,0.9026666666666666,0.8974333333333334,3.3318901139999753,176.66810818800002,1,40,5,0.85,0.75,ox,mixed,3,random,42
Adversarial,Adversarial_100_150_40,2,evolution,1358,1347.55,1336,1500,0.9053333333333333,0.8983666666666666,4.884175948999996,175.1158225380001,0,40,5,0.85,0.75,ox,mixed,3,random,42
Adversarial,Adversarial_100_150_40,3,evolution,1358,1349.3,1340,1500,0.9053333333333333,0.8995333333333333,6.483298848999993,173.51669930700007,1,40,5,0.85,0.75,ox,mixed,3,random,42
Adversarial,Adversarial_100_150_40,4,evolution,1358,1350.4,1341,1500,0.9053333333333333,0.9002666666666668,7.957824969999933,172.04217364300007,2,40,5,0.85,0.75,ox,mixed,3,random,42
Adversarial,Adversarial_100_150_40,5,evolution,1358,1350.9,1343,1500,0.9053333333333333,0.9006000000000001,9.444715093000013,170.55528333200004,3,40,5,0.85,0.75,ox,mixed,3,random,42
Adversarial,Adversarial_100_150_40,6,evolution,1358,1350.125,1341,1500,0.9053333333333333,0.9000833333333333,10.967837767999981,169.032160633,4,40,5,0.85,0.75,ox,mixed,3,random,42
Adversarial,Adversarial_100_150_40,7,evolution,1361,1350.35,1339,1500,0.9073333333333333,0.9002333333333332,12.373894577999977,167.62610362700002,0,40,5,0.85,0.75,ox,mixed,3,random,42
Adversarial,Adversarial_100_150_40,8,evolution,1363,1350.175,1339,1500,0.9086666666666666,0.9001166666666667,13.767256449000001,166.232741604,0,40,5,0.85,0.75,ox,mixed,3,random,42
Adversarial,Adversarial_100_150_40,9,evolution,1363,1351.425,1343,1500,0.9086666666666666,0.9009499999999999,15.192076527999916,164.8079218160001,1,40,5,0.85,0.75,ox,mixed,3,random,42
Adversarial,Adversarial_100_150_40,10,evolution,1363,1351.725,1339,1500,0.9086666666666666,0.9011499999999999,16.570887487999926,163.429111133,2,40,5,0.85,0.75,ox,mixed,3,random,42
Adversarial,Adversarial_100_150_40,11,evolution,1363,1350.675,1340,1500,0.9086666666666666,0.90045,17.94755231299996,162.05244615700008,3,40,5,0.85,0.75,ox,mixed,3,random,42
Adversarial,Adversarial_100_150_40,12,evolution,1363,1350.05,1340,1500,0.9086666666666666,0.9000333333333334,19.302705437999975,160.69729313900007,4,40,5,0.85,0.75,ox,mixed,3,random,42
Adversarial,Adversarial_100_150_40,13,evolution,1363,1350.45,1338,1500,0.9086666666666666,0.9003,20.679557588999955,159.32044099000007,5,40,5,0.85,0.75,ox,mixed,3,random,42
Adversarial,Adversarial_100_150_40,14,evolution,1363,1349.825,1341,1500,0.9086666666666666,0.8998833333333334,22.049980949999963,157.95001753300005,6,40,5,0.85,0.75,ox,mixed,3,random,42
Adversarial,Adversarial_100_150_40,15,evolution,1363,1350.925,1341,1500,0.9086666666666666,0.9006166666666666,23.408537833999958,156.59146077000003,7,40,5,0.85,0.75,ox,mixed,3,random,42
Adversarial,Adversarial_100_150_40,16,evolution,1363,1350.7,1342,1500,0.9086666666666666,0.9004666666666667,24.818986461999998,155.18101217600008,8,40,5,0.85,0.75,ox,mixed,3,random,42
Adversarial,Adversarial_100_150_40,17,evolution,1363,1351.45,1342,1500,0.9086666666666666,0.9009666666666667,26.17078930399998,153.82920913300006,9,40,5,0.85,0.75,ox,mixed,3,random,42
Adversarial,Adversarial_100_150_40,18,evolution,1363,1350.975,1343,1500,0.9086666666666666,0.90065,27.526201205000007,152.47379745600006,10,40,5,0.85,0.75,ox,mixed,3,random,42
Adversarial,Adversarial_100_150_40,18,restart,1363,1355.1,1339,1500,0.9086666666666666,0.9034,28.895734867999977,151.10426365700005,0,40,5,0.85,0.75,ox,mixed,3,random,42
Adversarial,Adversarial_100_150_40,19,evolution,1372,1357.05,1342,1500,0.9146666666666666,0.9047,30.278447474000018,149.721551008,0,40,5,0.85,0.75,ox,mixed,3,random,42
Adversarial,Adversarial_100_150_40,20,evolution,1380,1363.25,1349,1500,0.92,0.9088333333333334,31.68714688900002,148.31285162000006,0,40,5,0.85,0.75,ox,mixed,3,random,42
Adversarial,Adversarial_100_150_40,21,evolution,1380,1363.275,1352,1500,0.92,0.90885,33.10692861999996,146.893070105,1,40,5,0.85,0.75,ox,mixed,3,random,42
Adversarial,Adversarial_100_150_40,22,evolution,1380,1363.65,1351,1500,0.92,0.9091,34.520819105999976,145.47917948400004,2,40,5,0.85,0.75,ox,mixed,3,random,42
Adversarial,Adversarial_100_150_40,23,evolution,1380,1366.075,1347,1500,0.92,0.9107166666666667,36.00474968100002,143.99524901900008,3,40,5,0.85,0.75,ox,mixed,3,random,42
Adversarial,Adversarial_100_150_40,24,evolution,1380,1363.9,1351,1500,0.92,0.9092666666666668,37.412888582999926,142.58710966400008,4,40,5,0.85,0.75,ox,mixed,3,random,42
Adversarial,Adversarial_100_150_40,25,evolution,1380,1364.775,1353,1500,0.92,0.90985,38.81030480200002,141.18969341800005,5,40,5,0.85,0.75,ox,mixed,3,random,42
Adversarial,Adversarial_100_150_40,26,evolution,1380,1364.125,1349,1500,0.92,0.9094166666666667,40.20682757700001,139.793170832,6,40,5,0.85,0.75,ox,mixed,3,random,42
Adversarial,Adversarial_100_150_40,27,evolution,1380,1364.45,1348,1500,0.92,0.9096333333333334,41.61541360299998,138.38458507400003,7,40,5,0.85,0.75,ox,mixed,3,random,42
Adversarial,Adversarial_100_150_40,28,evolution,1380,1363.075,1346,1500,0.92,0.9087166666666667,43.010858036999934,136.98914049000007,8,40,5,0.85,0.75,ox,mixed,3,random,42
Adversarial,Adversarial_100_150_40,29,evolution,1380,1364.375,1349,1500,0.92,0.9095833333333333,44.44662895299996,135.553369534,9,40,5,0.85,0.75,ox,mixed,3,random,42
Adversarial,Adversarial_100_150_40,30,evolution,1383,1366.6,1353,1500,0.922,0.9110666666666666,45.91362746899995,134.08637077600008,0,40,5,0.85,0.75,ox,mixed,3,random,42
Adversarial,Adversarial_100_150_40,31,evolution,1383,1364.4,1354,1500,0.922,0.9096000000000001,47.333058137999956,132.66694028100005,1,40,5,0.85,0.75,ox,mixed,3,random,42
Adversarial,Adversarial_100_150_40,32,evolution,1383,1365.475,1354,1500,0.922,0.9103166666666666,48.73306598199997,131.266932764,2,40,5,0.85,0.75,ox,mixed,3,random,42
