dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
Exponential,Exponential_50_75_20,0,init,343,333.475,324,750,0.4573333333333333,0.4446333333333334,0.6200048740001876,89.37999445500009,0,40,5,0.85,0.75,ox,mixed,3,random,42
Exponential,Exponential_50_75_20,1,evolution,358,338.525,326,750,0.47733333333333333,0.45136666666666664,1.1494773419999547,88.85052088999964,0,40,5,0.85,0.75,ox,mixed,3,random,42
Exponential,Exponential_50_75_20,2,evolution,362,341.15,325,750,0.4826666666666667,0.45486666666666664,1.6829141670004901,88.3170833059994,0,40,5,0.85,0.75,ox,mixed,3,random,42
Exponential,Exponential_50_75_20,3,evolution,362,337.775,328,750,0.4826666666666667,0.45036666666666664,2.2376225620000696,87.7623753379994,1,40,5,0.85,0.75,ox,mixed,3,random,42
Exponential,Exponential_50_75_20,4,evolution,362,338.8,326,750,0.4826666666666667,0.4517333333333334,2.813338388000375,87.1866602909995,2,40,5,0.85,0.75,ox,mixed,3,random,42
Exponential,Exponential_50_75_20,5,evolution,362,342.7,325,750,0.4826666666666667,0.4569333333333333,3.3488062090000312,86.6511924689994,3,40,5,0.85,0.75,ox,mixed,3,random,42
Exponential,Exponential_50_75_20,6,evolution,362,341.45,328,750,0.4826666666666667,0.45526666666666665,3.875136764000672,86.12486219499988,4,40,5,0.85,0.75,ox,mixed,3,random,42
Exponential,Exponential_50_75_20,7,evolution,362,341.275,325,750,0.4826666666666667,0.4550333333333333,4.4028137660006905,85.59718462899946,5,40,5,0.85,0.75,ox,mixed,3,random,42
Exponential,Exponential_50_75_20,8,evolution,362,340.95,327,750,0.4826666666666667,0.4546,4.928480685000068,85.07151774799968,6,40,5,0.85,0.75,ox,mixed,3,random,42
Exponential,Exponential_50_75_20,9,evolution,365,340.7,329,750,0.4866666666666667,0.45426666666666665,5.448407789000157,84.55159035699944,0,40,5,0.85,0.75,ox,mixed,3,random,42
Exponential,Exponential_50_75_20,10,evolution,365,340.15,324,750,0.4866666666666667,0.4535333333333333,5.971963865000362,84.02803456499987,1,40,5,0.85,0.75,ox,mixed,3,random,42
Exponential,Exponential_50_75_20,11,evolution,365,341.15,323,750,0.4866666666666667,0.45486666666666664,6.4978674270005286,83.50213076199998,2,40,5,0.85,0.75,ox,mixed,3,random,42
Exponential,Exponential_50_75_20,12,evolution,365,338.625,323,750,0.4866666666666667,0.4515,7.031316933000198,82.96868102299959,3,40,5,0.85,0.75,ox,mixed,3,random,42
Exponential,Exponential_50_75_20,13,evolution,365,340.95,325,750,0.4866666666666667,0.4546,7.567286116000105,82.43271218399968,4,40,5,0.85,0.75,ox,mixed,3,random,42
Exponential,Exponential_50_75_20,14,evolution,365,340.9,325,750,0.4866666666666667,0.4545333333333333,8.103983128000436,81.89601510699958,5,40,5,0.85,0.75,ox,mixed,3,random,42
Exponential,Exponential_50_75_20,15,evolution,365,339.2,323,750,0.4866666666666667,0.45226666666666665,8.637650616999963,81.3623474649994,6,40,5,0.85,0.75,ox,mixed,3,random,42
Exponential,Exponential_50_75_20,16,evolution,365,342.975,330,750,0.4866666666666667,0.45730000000000004,9.169888393000292,80.83010959700005,7,40,5,0.85,0.75,ox,mixed,3,random,42
Exponential,Exponential_50_75_20,17,evolution,365,341.8,322,750,0.4866666666666667,0.4557333333333333,9.696800188999987,80.30319807199976,8,40,5,0.85,0.75,ox,mixed,3,random,42
Exponential,Exponential_50_75_20,18,evolution,365,342.325,327,750,0.4866666666666667,0.4564333333333333,10.222845799000424,79.77715270599947,9,40,5,0.85,0.75,ox,mixed,3,random,42
Exponential,Exponential_50_75_20,19,evolution,365,343.075,327,750,0.4866666666666667,0.4574333333333333,10.751803013999961,79.2481951740001,10,40,5,0.85,0.75,ox,mixed,3,random,42
Exponential,Exponential_50_75_20,19,restart,365,336.75,324,750,0.4866666666666667,0.449,11.292273674000171,78.70772481599943,0,40,5,0.85,0.75,ox,mixed,3,random,42
Exponential,Exponential_50_75_20,20,evolution,365,340.275,320,750,0.4866666666666667,0.4537,11.828120756000317,78.17187788499996,1,40,5,0.85,0.75,ox,mixed,3,random,42
Exponential,Exponential_50_75_20,21,evolution,365,340.075,321,750,0.4866666666666667,0.4534333333333333,12.36631622799996,77.6336822559997,2,40,5,0.85,0.75,ox,mixed,3,random,42
Exponential,Exponential_50_75_20,22,evolution,365,340.7,326,750,0.4866666666666667,0.45426666666666665,12.930322074000287,77.0696759299999,3,40,5,0.85,0.75,ox,mixed,3,random,42
Exponential,Exponential_50_75_20,23,evolution,365,342.375,324,750,0.4866666666666667,0.4565,13.458573219000755,76.5414247939998,4,40,5,0.85,0.75,ox,mixed,3,random,42
Exponential,Exponential_50_75_20,24,evolution,365,340.35,323,750,0.4866666666666667,0.45380000000000004,13.987669832000392,76.01232840400007,5,40,5,0.85,0.75,ox,mixed,3,random,42
Exponential,Exponential_50_75_20,25,evolution,365,341.325,322,750,0.4866666666666667,0.4551,14.511963603999902,75.48803535699972,6,40,5,0.85,0.75,ox,mixed,3,random,42
Exponential,Exponential_50_75_20,26,evolution,365,342.425,323,750,0.4866666666666667,0.4565666666666667,15.036255748000258,74.96374259699951,7,40,5,0.85,0.75,ox,mixed,3,random,42
Exponential,Exponential_50_75_20,27,evolution,365,341.575,325,750,0.4866666666666667,0.4554333333333333,15.559641217000717,74.44035677699958,8,40,5,0.85,0.75,ox,mixed,3,random,42
Exponential,Exponential_50_75_20,28,evolution,365,343.35,329,750,0.4866666666666667,0.45780000000000004,16.082658874000117,73.91733189699971,9,40,5,0.85,0.75,ox,mixed,3,random,42
Exponential,Exponential_50_75_20,29,evolution,365,342.575,328,750,0.4866666666666667,0.45676666666666665,16.604752533000465,73.39524622499994,10,40,5,0.85,0.75,ox,mixed,3,random,42
Exponential,Exponential_50_75_20,29,restart,365,335.85,320,750,0.4866666666666667,0.44780000000000003,17.154504943000575,72.84549354999945,0,40,5,0.85,0.75,ox,mixed,3,random,42
Exponential,Exponential_50_75_20,30,evolution,365,341.45,323,750,0.4866666666666667,0.45526666666666665,17.682912242000384,72.3170859920001,1,40,5,0.85,0.75,ox,mixed,3,random,42
Exponential,Exponential_50_75_20,31,evolution,365,340.525,321,750,0.4866666666666667,0.4540333333333333,18.22739877799995,71.77259951399992,2,40,5,0.85,0.75,ox,mixed,3,random,42
Exponential,Exponential_50_75_20,32,evolution,365,341.35,323,750,0.4866666666666667,0.4551333333333334,18.777050553000663,71.22294730999965,3,40,5,0.85,0.75,ox,mixed,3,random,42
Exponential,Exponential_50_75_20,33,evolution,365,340.525,325,750,0.4866666666666667,0.4540333333333333,19.303494939000302,70.69650339999953,4,40,5,0.85,0.75,ox,mixed,3,random,42
Exponential,Exponential_50_75_20,34,evolution,365,345.05,328,750,0.4866666666666667,0.4600666666666667,19.82657382100024,70.17342460500004,5,40,5,0.85,0.75,ox,mixed,3,random,42
Exponential,Exponential_50_75_20,35,evolution,365,341.8,325,750,0.4866666666666667,0.4557333333333333,20.34966440900007,69.65033404199949,6,40,5,0.85,0.75,ox,mixed,3,random,42
Exponential,Exponential_50_75_20,36,evolution,365,342.2,322,750,0.4866666666666667,0.45626666666666665,20.88767203200041,69.11232633399959,7,40,5,0.85,0.75,ox,mixed,3,random,42
