dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
Gaussian,Gaussian_500_750_200,0,init,7319,7291.4,7266,7499,0.9759967995732765,0.9723163088411788,21.193048658000407,578.8069505229996,0,40,5,0.85,0.75,ox,mixed,3,random,42
Gaussian,Gaussian_500_750_200,1,evolution,7397,7343.475,7298,7499,0.9863981864248567,0.9792605680757435,42.45411966100073,557.5458787839998,0,40,5,0.85,0.75,ox,mixed,3,random,42
Gaussian,Gaussian_500_750_200,2,evolution,7397,7346.8,7297,7499,0.9863981864248567,0.9797039605280704,63.72151609899993,536.2784822319991,1,40,5,0.85,0.75,ox,mixed,3,random,42
Gaussian,Gaussian_500_750_200,3,evolution,7397,7343.2,7301,7499,0.9863981864248567,0.9792238965195359,85.2183504450004,514.7816480469992,2,40,5,0.85,0.75,ox,mixed,3,random,42
Gaussian,Gaussian_500_750_200,4,evolution,7397,7350.075,7307,7499,0.9863981864248567,0.9801406854247233,106.39100201200017,493.6089964319999,3,40,5,0.85,0.75,ox,mixed,3,random,42
Gaussian,Gaussian_500_750_200,5,evolution,7398,7351.025,7304,7499,0.9865315375383384,0.980267368982531,127.74649442600094,472.2535039409995,0,40,5,0.85,0.75,ox,mixed,3,random,42
Gaussian,Gaussian_500_750_200,6,evolution,7400,7352.85,7311,7499,0.986798239765302,0.9805107347646353,149.4896835030013,450.51031470899943,0,40,5,0.85,0.75,ox,mixed,3,random,42
Gaussian,Gaussian_500_750_200,7,evolution,7400,7353.4,7308,7499,0.986798239765302,0.9805840778770503,170.95550831900073,429.0444901259998,1,40,5,0.85,0.75,ox,mixed,3,random,42
Gaussian,Gaussian_500_750_200,8,evolution,7400,7353.075,7316,7499,0.986798239765302,0.9805407387651687,192.66368729100031,407.3363110949995,2,40,5,0.85,0.75,ox,mixed,3,random,42
Gaussian,Gaussian_500_750_200,9,evolution,7400,7355.975,7300,7499,0.986798239765302,0.980927456994266,214.47986828600006,385.5201298609991,3,40,5,0.85,0.75,ox,mixed,3,random,42
Gaussian,Gaussian_500_750_200,10,evolution,7400,7360.175,7309,7499,0.986798239765302,0.9814875316708894,235.76345580199995,364.236542663999,4,40,5,0.85,0.75,ox,mixed,3,random,42
Gaussian,Gaussian_500_750_200,11,evolution,7400,7360.175,7318,7499,0.986798239765302,0.9814875316708894,258.3026588590001,341.69733880499916,5,40,5,0.85,0.75,ox,mixed,3,random,42
Gaussian,Gaussian_500_750_200,12,evolution,7409,7353.725,7303,7499,0.9879983997866382,0.9806274169889319,279.64087949200075,320.3591191830001,0,40,5,0.85,0.75,ox,mixed,3,random,42
Gaussian,Gaussian_500_750_200,13,evolution,7409,7355.825,7308,7499,0.9879983997866382,0.9809074543272436,300.8090627900001,299.19093566799893,1,40,5,0.85,0.75,ox,mixed,3,random,42
Gaussian,Gaussian_500_750_200,14,evolution,7409,7359.5,7307,7499,0.9879983997866382,0.9813975196692892,322.1774543570009,277.82254400700003,2,40,5,0.85,0.75,ox,mixed,3,random,42
Gaussian,Gaussian_500_750_200,15,evolution,7409,7354.75,7301,7499,0.9879983997866382,0.9807641018802506,343.1482296150007,256.8517686319992,3,40,5,0.85,0.75,ox,mixed,3,random,42
Gaussian,Gaussian_500_750_200,16,evolution,7409,7357.8,7308,7499,0.9879983997866382,0.9811708227763702,364.54604561199994,235.4539526339995,4,40,5,0.85,0.75,ox,mixed,3,random,42
Gaussian,Gaussian_500_750_200,17,evolution,7409,7352.775,7308,7499,0.9879983997866382,0.9805007334311241,388.2898007900003,211.71019711999907,5,40,5,0.85,0.75,ox,mixed,3,random,42
Gaussian,Gaussian_500_750_200,18,evolution,7409,7353.45,7316,7499,0.9879983997866382,0.9805907454327243,409.36126356800014,190.63873477599918,6,40,5,0.85,0.75,ox,mixed,3,random,42
Gaussian,Gaussian_500_750_200,19,evolution,7409,7359.125,7315,7499,0.9879983997866382,0.9813475130017336,430.9321903930013,169.0678080689995,7,40,5,0.85,0.75,ox,mixed,3,random,42
Gaussian,Gaussian_500_750_200,20,evolution,7409,7352.075,7310,7499,0.9879983997866382,0.9804073876516869,452.92715740600033,147.07284078599878,8,40,5,0.85,0.75,ox,mixed,3,random,42
