dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
Poisson,Poisson_80_120_32,0,init,1098,1085.5,1075,1200,0.915,0.9045833333333333,0.9384534399996483,179.06154545699974,0,40,5,0.85,0.75,ox,mixed,3,random,42
Poisson,Poisson_80_120_32,1,evolution,1101,1092.85,1084,1200,0.9175,0.9107083333333332,1.7741460849993018,178.22585224700015,0,40,5,0.85,0.75,ox,mixed,3,random,42
Poisson,Poisson_80_120_32,2,evolution,1105,1093.475,1078,1200,0.9208333333333333,0.9112291666666666,2.6181735240006674,177.38182516000052,0,40,5,0.85,0.75,ox,mixed,3,random,42
Poisson,Poisson_80_120_32,3,evolution,1105,1094.325,1083,1200,0.9208333333333333,0.9119375000000001,3.4562108860009175,176.54378753799938,1,40,5,0.85,0.75,ox,mixed,3,random,42
Poisson,Poisson_80_120_32,4,evolution,1105,1094.475,1086,1200,0.9208333333333333,0.9120624999999999,4.302341358999911,175.69765720000032,2,40,5,0.85,0.75,ox,mixed,3,random,42
Poisson,Poisson_80_120_32,5,evolution,1105,1093.8,1083,1200,0.9208333333333333,0.9115,5.142790371000956,174.8572080970007,3,40,5,0.85,0.75,ox,mixed,3,random,42
Poisson,Poisson_80_120_32,6,evolution,1105,1095.0,1085,1200,0.9208333333333333,0.9125,6.027384320999772,173.97261439199974,4,40,5,0.85,0.75,ox,mixed,3,random,42
Poisson,Poisson_80_120_32,7,evolution,1105,1094.55,1084,1200,0.9208333333333333,0.912125,6.871421096000631,173.12857752799937,5,40,5,0.85,0.75,ox,mixed,3,random,42
Poisson,Poisson_80_120_32,8,evolution,1105,1096.025,1087,1200,0.9208333333333333,0.9133541666666667,7.718372667000949,172.281625403999,6,40,5,0.85,0.75,ox,mixed,3,random,42
Poisson,Poisson_80_120_32,9,evolution,1105,1095.8,1088,1200,0.9208333333333333,0.9131666666666667,8.558763934001036,171.44123445100013,7,40,5,0.85,0.75,ox,mixed,3,random,42
Poisson,Poisson_80_120_32,10,evolution,1105,1096.35,1086,1200,0.9208333333333333,0.9136249999999999,9.398111365999284,170.60188705399923,8,40,5,0.85,0.75,ox,mixed,3,random,42
Poisson,Poisson_80_120_32,11,evolution,1105,1094.0,1084,1200,0.9208333333333333,0.9116666666666666,10.23848718500085,169.7615112479998,9,40,5,0.85,0.75,ox,mixed,3,random,42
Poisson,Poisson_80_120_32,12,evolution,1105,1095.05,1086,1200,0.9208333333333333,0.9125416666666666,11.101346696999826,168.89865180800007,10,40,5,0.85,0.75,ox,mixed,3,random,42
Poisson,Poisson_80_120_32,12,restart,1109,1096.35,1083,1200,0.9241666666666667,0.9136249999999999,11.956510960999367,168.0434876670006,0,40,5,0.85,0.75,ox,mixed,3,random,42
Poisson,Poisson_80_120_32,13,evolution,1115,1100.725,1087,1200,0.9291666666666667,0.9172708333333333,12.83510577800007,167.16489265900054,0,40,5,0.85,0.75,ox,mixed,3,random,42
Poisson,Poisson_80_120_32,14,evolution,1119,1102.4,1091,1200,0.9325,0.9186666666666667,13.791412263999518,166.208586191,0,40,5,0.85,0.75,ox,mixed,3,random,42
Poisson,Poisson_80_120_32,15,evolution,1119,1105.075,1093,1200,0.9325,0.9208958333333334,14.665274730999954,165.33471504499903,1,40,5,0.85,0.75,ox,mixed,3,random,42
Poisson,Poisson_80_120_32,16,evolution,1119,1105.1,1095,1200,0.9325,0.9209166666666666,15.685061157000746,164.31493708500057,2,40,5,0.85,0.75,ox,mixed,3,random,42
Poisson,Poisson_80_120_32,17,evolution,1119,1104.95,1096,1200,0.9325,0.9207916666666667,16.63956574199983,163.36043281799903,3,40,5,0.85,0.75,ox,mixed,3,random,42
Poisson,Poisson_80_120_32,18,evolution,1119,1106.35,1096,1200,0.9325,0.9219583333333332,17.518870261999837,162.48112840999966,4,40,5,0.85,0.75,ox,mixed,3,random,42
Poisson,Poisson_80_120_32,19,evolution,1119,1104.475,1093,1200,0.9325,0.9203958333333333,18.389025128000867,161.61097347299983,5,40,5,0.85,0.75,ox,mixed,3,random,42
Poisson,Poisson_80_120_32,20,evolution,1119,1104.325,1094,1200,0.9325,0.9202708333333334,19.26790332500059,160.73209514500013,6,40,5,0.85,0.75,ox,mixed,3,random,42
Poisson,Poisson_80_120_32,21,evolution,1119,1103.9,1089,1200,0.9325,0.9199166666666667,20.15248719900046,159.84751150800003,7,40,5,0.85,0.75,ox,mixed,3,random,42
Poisson,Poisson_80_120_32,22,evolution,1119,1106.0,1092,1200,0.9325,0.9216666666666666,21.03371811299985,158.96628005300045,8,40,5,0.85,0.75,ox,mixed,3,random,42
Poisson,Poisson_80_120_32,23,evolution,1119,1103.95,1093,1200,0.9325,0.9199583333333333,21.96372310100014,158.03627535600026,9,40,5,0.85,0.75,ox,mixed,3,random,42
Poisson,Poisson_80_120_32,24,evolution,1119,1105.7,1090,1200,0.9325,0.9214166666666667,22.901805833000253,157.0981926250006,10,40,5,0.85,0.75,ox,mixed,3,random,42
