dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
Uniform,Uniform_500_750_200,0,init,7183,7153.225,7122,7500,0.9577333333333333,0.9537633333333334,18.36261398300121,581.6373848840012,0,40,5,0.85,0.75,ox,mixed,3,random,42
Uniform,Uniform_500_750_200,1,evolution,7268,7213.2,7168,7500,0.9690666666666666,0.96176,37.921618393000244,562.078379863,0,40,5,0.85,0.75,ox,mixed,3,random,42
Uniform,Uniform_500_750_200,2,evolution,7268,7213.9,7171,7500,0.9690666666666666,0.9618533333333333,56.66685693999898,543.333140974999,1,40,5,0.85,0.75,ox,mixed,3,random,42
Uniform,Uniform_500_750_200,3,evolution,7272,7222.875,7179,7500,0.9696,0.96305,75.62984589400003,524.3701523009986,0,40,5,0.85,0.75,ox,mixed,3,random,42
Uniform,Uniform_500_750_200,4,evolution,7272,7214.275,7170,7500,0.9696,0.9619033333333333,95.16892855900005,504.83106997100185,1,40,5,0.85,0.75,ox,mixed,3,random,42
Uniform,Uniform_500_750_200,5,evolution,7272,7225.425,7162,7500,0.9696,0.9633900000000001,114.37256704199899,485.6274315699993,2,40,5,0.85,0.75,ox,mixed,3,random,42
Uniform,Uniform_500_750_200,6,evolution,7278,7219.35,7164,7500,0.9704,0.9625800000000001,132.85957601599875,467.140422086999,0,40,5,0.85,0.75,ox,mixed,3,random,42
Uniform,Uniform_500_750_200,7,evolution,7289,7218.4,7153,7500,0.9718666666666667,0.9624533333333333,151.77080350899996,448.2291949669998,0,40,5,0.85,0.75,ox,mixed,3,random,42
Uniform,Uniform_500_750_200,8,evolution,7289,7226.2,7180,7500,0.9718666666666667,0.9634933333333333,170.70038799100075,429.29961071900107,1,40,5,0.85,0.75,ox,mixed,3,random,42
Uniform,Uniform_500_750_200,9,evolution,7289,7221.075,7167,7500,0.9718666666666667,0.9628099999999999,189.32791085699864,410.67208758999914,2,40,5,0.85,0.75,ox,mixed,3,random,42
Uniform,Uniform_500_750_200,10,evolution,7289,7221.15,7177,7500,0.9718666666666667,0.9628199999999999,207.965107041,392.03489108400026,3,40,5,0.85,0.75,ox,mixed,3,random,42
Uniform,Uniform_500_750_200,11,evolution,7289,7223.975,7175,7500,0.9718666666666667,0.9631966666666667,226.86737317900042,373.13262517399926,4,40,5,0.85,0.75,ox,mixed,3,random,42
Uniform,Uniform_500_750_200,12,evolution,7289,7226.225,7171,7500,0.9718666666666667,0.9634966666666667,245.5498601500003,354.4501384030009,5,40,5,0.85,0.75,ox,mixed,3,random,42
Uniform,Uniform_500_750_200,13,evolution,7289,7219.45,7169,7500,0.9718666666666667,0.9625933333333333,264.4458892750008,335.55410910499995,6,40,5,0.85,0.75,ox,mixed,3,random,42
Uniform,Uniform_500_750_200,14,evolution,7289,7223.1,7174,7500,0.9718666666666667,0.96308,284.67321302599885,315.32678516500164,7,40,5,0.85,0.75,ox,mixed,3,random,42
Uniform,Uniform_500_750_200,15,evolution,7289,7216.725,7180,7500,0.9718666666666667,0.96223,303.12759594100135,296.87240263499916,8,40,5,0.85,0.75,ox,mixed,3,random,42
