dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
hustack,hustack06,0,init,69,68.825,67,78,0.8846153846153846,0.882371794871795,0.05221215699930326,19.947786876000464,0,40,5,0.85,0.75,ox,mixed,3,random,42
hustack,hustack06,1,evolution,69,68.875,67,78,0.8846153846153846,0.8830128205128205,0.09396387699962361,19.906034903000545,1,40,5,0.85,0.75,ox,mixed,3,random,42
hustack,hustack06,2,evolution,69,68.725,67,78,0.8846153846153846,0.8810897435897436,0.13538482600051793,19.864614299000095,2,40,5,0.85,0.75,ox,mixed,3,random,42
hustack,hustack06,3,evolution,69,68.8,67,78,0.8846153846153846,0.882051282051282,0.17511064099744544,19.824888409999403,3,40,5,0.85,0.75,ox,mixed,3,random,42
hustack,hustack06,4,evolution,69,68.75,67,78,0.8846153846153846,0.8814102564102564,0.21634008299952256,19.783658783002465,4,40,5,0.85,0.75,ox,mixed,3,random,42
hustack,hustack06,5,evolution,69,68.875,67,78,0.8846153846153846,0.8830128205128205,0.25688499199895887,19.74311434500123,5,40,5,0.85,0.75,ox,mixed,3,random,42
hustack,hustack06,6,evolution,69,68.675,67,78,0.8846153846153846,0.8804487179487179,0.2997880789989722,19.70021098900179,6,40,5,0.85,0.75,ox,mixed,3,random,42
hustack,hustack06,7,evolution,69,68.875,67,78,0.8846153846153846,0.8830128205128205,0.3403420369977539,19.65965671900267,7,40,5,0.85,0.75,ox,mixed,3,random,42
hustack,hustack06,8,evolution,69,68.65,66,78,0.8846153846153846,0.8801282051282052,0.38153485499788076,19.61846391600193,8,40,5,0.85,0.75,ox,mixed,3,random,42
hustack,hustack06,9,evolution,69,68.725,67,78,0.8846153846153846,0.8810897435897436,0.4219565169987618,19.578042536002613,9,40,5,0.85,0.75,ox,mixed,3,random,42
hustack,hustack06,10,evolution,69,68.8,67,78,0.8846153846153846,0.882051282051282,0.463246657000127,19.53675264300182,10,40,5,0.85,0.75,ox,mixed,3,random,42
hustack,hustack06,10,restart,69,68.975,68,78,0.8846153846153846,0.8842948717948718,0.5038895619982213,19.49610977500197,0,40,5,0.85,0.75,ox,mixed,3,random,42
hustack,hustack06,11,evolution,69,68.975,68,78,0.8846153846153846,0.8842948717948718,0.5448534629977075,19.45514560200172,1,40,5,0.85,0.75,ox,mixed,3,random,42
hustack,hustack06,12,evolution,69,68.925,67,78,0.8846153846153846,0.8836538461538461,0.5867587329994421,19.41324023100242,2,40,5,0.85,0.75,ox,mixed,3,random,42
hustack,hustack06,13,evolution,69,68.825,67,78,0.8846153846153846,0.882371794871795,0.6270210679977026,19.372978112001874,3,40,5,0.85,0.75,ox,mixed,3,random,42
hustack,hustack06,14,evolution,69,68.9,67,78,0.8846153846153846,0.8833333333333334,0.6684916849990259,19.331507418999536,4,40,5,0.85,0.75,ox,mixed,3,random,42
hustack,hustack06,15,evolution,69,68.75,66,78,0.8846153846153846,0.8814102564102564,0.7102854740005569,19.289713559999655,5,40,5,0.85,0.75,ox,mixed,3,random,42
hustack,hustack06,16,evolution,69,68.825,68,78,0.8846153846153846,0.882371794871795,0.7529122539999662,19.247086586001387,6,40,5,0.85,0.75,ox,mixed,3,random,42
hustack,hustack06,17,evolution,69,68.85,67,78,0.8846153846153846,0.8826923076923077,0.7944212129987136,19.2055774190012,7,40,5,0.85,0.75,ox,mixed,3,random,42
hustack,hustack06,18,evolution,69,68.85,67,78,0.8846153846153846,0.8826923076923077,0.8356909299982362,19.16430789000151,8,40,5,0.85,0.75,ox,mixed,3,random,42
hustack,hustack06,19,evolution,69,68.725,66,78,0.8846153846153846,0.8810897435897436,0.8765115339992917,19.12348749600278,9,40,5,0.85,0.75,ox,mixed,3,random,42
hustack,hustack06,20,evolution,69,68.825,67,78,0.8846153846153846,0.882371794871795,0.9179623579984764,19.08203665200199,10,40,5,0.85,0.75,ox,mixed,3,random,42
hustack,hustack06,20,restart,69,68.975,68,78,0.8846153846153846,0.8842948717948718,0.9595856849991833,19.04041320500255,0,40,5,0.85,0.75,ox,mixed,3,random,42
hustack,hustack06,21,evolution,69,68.85,66,78,0.8846153846153846,0.8826923076923077,1.0069158539990894,18.993083296001714,1,40,5,0.85,0.75,ox,mixed,3,random,42
hustack,hustack06,22,evolution,69,68.85,67,78,0.8846153846153846,0.8826923076923077,1.051145102999726,18.948853992002114,2,40,5,0.85,0.75,ox,mixed,3,random,42
hustack,hustack06,23,evolution,69,68.975,68,78,0.8846153846153846,0.8842948717948718,1.0912104790004378,18.908788607001043,3,40,5,0.85,0.75,ox,mixed,3,random,42
hustack,hustack06,24,evolution,69,68.9,67,78,0.8846153846153846,0.8833333333333334,1.1322885890003818,18.86771026900169,4,40,5,0.85,0.75,ox,mixed,3,random,42
