dataset,file,obj,total_cc,success_rate,greedy_baseline,ga_best,diff_vs_greedy,time_sec,status,pop_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed,time_limit
Adversarial,Adversarial_20_30_10,157,200,0.785,157,157,0,19.97861077999994,VALID,40,5,0.85,0.75,ox,mixed,3,,42,20
Adversarial,Adversarial_50_75_20,490,750,0.6533333333333333,493,490,-3,90.02413964999994,VALID,40,5,0.85,0.75,ox,mixed,3,,42,90
Adversarial,Adversarial_80_120_32,1064,1200,0.8866666666666667,1064,1064,0,180.04230873699998,VALID,40,5,0.85,0.75,ox,mixed,3,,42,180
Adversarial,Adversarial_100_150_40,1388,1500,0.9253333333333333,1390,1388,-2,180.0161635610001,VALID,40,5,0.85,0.75,ox,mixed,3,,42,180
Adversarial,Adversarial_150_225_60,2008,2250,0.8924444444444445,2022,2008,-14,360.05753356700006,VALID,40,5,0.85,0.75,ox,mixed,3,,42,360
Adversarial,Adversarial_200_300_80,2671,3000,0.8903333333333333,2681,2671,-10,360.0496797200001,VALID,40,5,0.85,0.75,ox,mixed,3,,42,360
Adversarial,Adversarial_300_450_120,3898,4500,0.8662222222222222,3924,3898,-26,360.08323025699974,VALID,40,5,0.85,0.75,ox,mixed,3,,42,360
Adversarial,Adversarial_500_750_200,6581,7499,0.8775836778237098,6630,6581,-49,600.3696486000003,VALID,40,5,0.85,0.75,ox,mixed,3,,42,600
Adversarial,Adversarial_800_1200_320,10530,12000,0.8775,10608,10530,-78,900.2617927230003,VALID,40,5,0.85,0.75,ox,mixed,3,,42,900
Adversarial,Adversarial_1000_1500_400,13129,15000,0.8752666666666666,13211,13129,-82,901.0387724690004,VALID,40,5,0.85,0.75,ox,mixed,3,,42,900
Exponential,Exponential_20_30_10,186,200,0.93,188,186,-2,20.00455122800031,VALID,40,5,0.85,0.75,ox,mixed,3,,42,20
Exponential,Exponential_50_75_20,369,750,0.492,376,369,-7,90.00577691099988,VALID,40,5,0.85,0.75,ox,mixed,3,,42,90
Exponential,Exponential_80_120_32,746,1200,0.6216666666666667,760,746,-14,180.03075209899998,VALID,40,5,0.85,0.75,ox,mixed,3,,42,180
Exponential,Exponential_100_150_40,1123,1500,0.7486666666666667,1112,1123,11,180.02636220299974,VALID,40,5,0.85,0.75,ox,mixed,3,,42,180
Exponential,Exponential_150_225_60,1928,2250,0.8568888888888889,1936,1928,-8,360.0566196999998,VALID,40,5,0.85,0.75,ox,mixed,3,,42,360
Exponential,Exponential_200_300_80,2456,3000,0.8186666666666667,2478,2456,-22,360.0190578490001,VALID,40,5,0.85,0.75,ox,mixed,3,,42,360
Exponential,Exponential_300_450_120,4001,4500,0.8891111111111111,4030,4001,-29,360.06509603000086,VALID,40,5,0.85,0.75,ox,mixed,3,,42,360
Exponential,Exponential_500_750_200,6975,7500,0.93,6993,6975,-18,600.313800031,VALID,40,5,0.85,0.75,ox,mixed,3,,42,600
Exponential,Exponential_800_1200_320,11396,12000,0.9496666666666667,11450,11396,-54,900.4143433640002,VALID,40,5,0.85,0.75,ox,mixed,3,,42,900
Exponential,Exponential_1000_1500_400,14389,15000,0.9592666666666667,14414,14389,-25,900.9556596169996,VALID,40,5,0.85,0.75,ox,mixed,3,,42,900
Gaussian,Gaussian_20_30_10,162,200,0.81,159,162,3,19.963076194000678,VALID,40,5,0.85,0.75,ox,mixed,3,,42,20
Gaussian,Gaussian_50_75_20,687,750,0.916,687,687,0,90.02157435799927,VALID,40,5,0.85,0.75,ox,mixed,3,,42,90
Gaussian,Gaussian_80_120_32,1157,1200,0.9641666666666666,1151,1157,6,180.02455905399984,VALID,40,5,0.85,0.75,ox,mixed,3,,42,180
Gaussian,Gaussian_100_150_40,1439,1500,0.9593333333333334,1432,1439,7,179.99592959899928,VALID,40,5,0.85,0.75,ox,mixed,3,,42,180
