dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
Adversarial,Adversarial_300_450_120,0,init,3924,3829.025,3793,4500,0.872,0.8508944444444445,5.49735060099988,354.502648249,0,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,1,evolution,3924,3841.8,3805,4500,0.872,0.8537333333333333,10.387543511999866,349.6124546230001,1,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,2,evolution,3924,3844.35,3804,4500,0.872,0.8543,15.279785179999863,344.7202133760002,2,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,3,evolution,3924,3841.025,3803,4500,0.872,0.8535611111111111,20.22651869299989,339.77347964600017,3,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,4,evolution,3924,3838.225,3806,4500,0.872,0.8529388888888889,25.155604175000008,334.8443937300001,4,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,5,evolution,3924,3844.75,3806,4500,0.872,0.8543888888888889,30.145853106999994,329.8541453990001,5,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,6,evolution,3924,3843.625,3802,4500,0.872,0.8541388888888889,35.08739835899996,324.91259990900016,6,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,7,evolution,3924,3843.425,3801,4500,0.872,0.8540944444444445,40.07679720299984,319.9232014240001,7,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,8,evolution,3924,3843.8,3799,4500,0.872,0.8541777777777778,45.025705754,314.9742927740001,8,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,9,evolution,3924,3842.7,3809,4500,0.872,0.8539333333333333,50.00572969199993,309.99426880400006,9,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,10,evolution,3924,3846.625,3812,4500,0.872,0.8548055555555556,54.998949897999864,305.00104846500017,10,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,10,restart,3924,3832.0,3782,4500,0.872,0.8515555555555555,59.86281040699987,300.1371884370001,0,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,11,evolution,3924,3844.0,3807,4500,0.872,0.8542222222222222,64.76709171999983,295.2329068920001,1,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,12,evolution,3924,3846.45,3800,4500,0.872,0.8547666666666667,69.75559772499992,290.2444008260002,2,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,13,evolution,3924,3842.6,3792,4500,0.872,0.8539111111111111,74.68634004499995,285.31365817000005,3,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,14,evolution,3924,3840.95,3812,4500,0.872,0.8535444444444444,79.64442424599997,280.35557400100015,4,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,15,evolution,3924,3843.725,3806,4500,0.872,0.854161111111111,84.57049520800001,275.4295035970001,5,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,16,evolution,3924,3846.625,3799,4500,0.872,0.8548055555555556,89.51546779899991,270.48453051700017,6,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,17,evolution,3924,3845.1,3804,4500,0.872,0.8544666666666666,94.42575708799995,265.5742414640001,7,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,18,evolution,3924,3845.425,3802,4500,0.872,0.854538888888889,99.33438115499985,260.66561725300016,8,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,19,evolution,3924,3843.95,3815,4500,0.872,0.854211111111111,104.19731209899987,255.80268660800016,9,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,20,evolution,3924,3843.975,3818,4500,0.872,0.8542166666666666,109.15655405799998,250.8434441830002,10,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,20,restart,3924,3829.3,3790,4500,0.872,0.8509555555555556,113.95700595799985,246.0429921320001,0,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,21,evolution,3924,3846.575,3801,4500,0.872,0.8547944444444444,118.88148608799997,241.11851236400003,1,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,22,evolution,3924,3844.75,3809,4500,0.872,0.8543888888888889,123.791019452,236.20897894200016,2,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,23,evolution,3924,3853.625,3813,4500,0.872,0.8563611111111111,128.6792394239999,231.32075903100008,3,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,24,evolution,3924,3847.075,3817,4500,0.872,0.8549055555555555,133.5655629209998,226.43443498200008,4,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,25,evolution,3924,3849.35,3812,4500,0.872,0.8554111111111111,138.52194693499996,221.47805129100016,5,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,26,evolution,3924,3848.875,3805,4500,0.872,0.8553055555555555,143.38981879999983,216.61017977400002,6,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,27,evolution,3924,3848.725,3804,4500,0.872,0.8552722222222222,148.30198865599982,211.69800991500006,7,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,28,evolution,3924,3841.925,3811,4500,0.872,0.8537611111111112,153.18298101599999,206.8170172130001,8,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,29,evolution,3924,3841.825,3808,4500,0.872,0.8537388888888888,158.1016285369999,201.89836999500017,9,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,30,evolution,3924,3843.85,3809,4500,0.872,0.8541888888888889,162.97423417899995,197.0257644180001,10,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,30,restart,3924,3831.025,3791,4500,0.872,0.8513388888888889,167.8051089659998,192.19488954300004,0,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,31,evolution,3924,3847.55,3810,4500,0.872,0.8550111111111112,172.6587975819998,187.34120095700018,1,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,32,evolution,3924,3848.6,3816,4500,0.872,0.8552444444444445,177.57834432999994,182.42165424300015,2,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,33,evolution,3924,3848.35,3803,4500,0.872,0.8551888888888889,182.43691380699988,177.563084786,3,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,34,evolution,3924,3851.425,3798,4500,0.872,0.8558722222222223,187.36900303499988,172.630995386,4,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,35,evolution,3924,3849.75,3816,4500,0.872,0.8555,192.18004639699984,167.81995200699998,5,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,36,evolution,3924,3843.025,3800,4500,0.872,0.8540055555555556,197.16596895099997,162.83402933600019,6,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,37,evolution,3924,3840.025,3802,4500,0.872,0.8533388888888889,202.03343957899983,157.96655892800004,7,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,38,evolution,3924,3848.65,3809,4500,0.872,0.8552555555555555,206.90843694799992,153.09156156500012,8,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,39,evolution,3924,3849.7,3804,4500,0.872,0.8554888888888889,211.89311309200002,148.10688532100016,9,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,40,evolution,3924,3846.775,3809,4500,0.872,0.8548388888888889,216.7998078669998,143.20019068600004,10,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,40,restart,3924,3832.775,3793,4500,0.872,0.8517277777777778,221.53090272399982,138.46909585900016,0,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,41,evolution,3924,3847.75,3814,4500,0.872,0.8550555555555556,226.40231081799993,133.5976872020001,1,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,42,evolution,3924,3852.825,3812,4500,0.872,0.8561833333333333,231.32242068799997,128.67757743800007,2,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,43,evolution,3924,3846.625,3815,4500,0.872,0.8548055555555556,236.24576962399988,123.75422856500018,3,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,44,evolution,3924,3846.525,3791,4500,0.872,0.8547833333333333,241.184661775,118.81533664900007,4,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Adversarial,Adversarial_300_450_120,45,evolution,3924,3849.75,3799,4500,0.872,0.8555,246.07279462399993,113.92720402300006,5,40,5,0.85,0.9,ox,mixed,3,heuristic,42
