dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
Exponential,Exponential_200_300_80,0,init,2478,2376.65,2333,3000,0.826,0.7922166666666667,2.5643822129995897,357.4356168969998,0,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Exponential,Exponential_200_300_80,1,evolution,2478,2389.25,2346,3000,0.826,0.7964166666666667,4.819858210000348,355.18014066700016,1,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Exponential,Exponential_200_300_80,2,evolution,2478,2397.325,2350,3000,0.826,0.7991083333333333,7.155907317000128,352.84409098299966,2,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Exponential,Exponential_200_300_80,3,evolution,2478,2393.75,2359,3000,0.826,0.7979166666666667,9.420591002999572,350.5794069499998,3,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Exponential,Exponential_200_300_80,4,evolution,2478,2395.425,2361,3000,0.826,0.798475,11.692066325000269,348.30793229200026,4,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Exponential,Exponential_200_300_80,5,evolution,2478,2397.925,2363,3000,0.826,0.7993083333333334,13.958078640000167,346.0419194349997,5,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Exponential,Exponential_200_300_80,6,evolution,2478,2396.575,2349,3000,0.826,0.7988583333333332,16.32151700600025,343.67848143799984,6,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Exponential,Exponential_200_300_80,7,evolution,2478,2390.5,2348,3000,0.826,0.7968333333333333,18.585020223000356,341.4149783470002,7,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Exponential,Exponential_200_300_80,8,evolution,2478,2391.325,2358,3000,0.826,0.7971083333333333,20.865529130999676,339.1344691530003,8,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Exponential,Exponential_200_300_80,9,evolution,2478,2394.45,2357,3000,0.826,0.7981499999999999,23.136853218000397,336.86314530300024,9,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Exponential,Exponential_200_300_80,10,evolution,2478,2394.575,2361,3000,0.826,0.7981916666666666,25.46972281000035,334.53027569700043,10,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Exponential,Exponential_200_300_80,10,restart,2478,2379.825,2334,3000,0.826,0.793275,27.686036101000354,332.31396231800045,0,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Exponential,Exponential_200_300_80,11,evolution,2478,2392.25,2362,3000,0.826,0.7974166666666667,29.976873483999952,330.02312469499975,1,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Exponential,Exponential_200_300_80,12,evolution,2478,2393.8,2358,3000,0.826,0.7979333333333334,32.25175888299964,327.7482396940004,2,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Exponential,Exponential_200_300_80,13,evolution,2478,2400.75,2370,3000,0.826,0.80025,34.52742682299959,325.4725716060002,3,40,5,0.85,0.9,ox,mixed,3,heuristic,42
