dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
Gaussian,Gaussian_200_300_80,0,init,2904,2852.65,2823,3000,0.968,0.9508833333333334,4.409469911000997,355.590529183999,0,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Gaussian,Gaussian_200_300_80,1,evolution,2904,2867.9,2837,3000,0.968,0.9559666666666667,8.230132886001229,351.76986580799894,1,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Gaussian,Gaussian_200_300_80,2,evolution,2906,2865.625,2829,3000,0.9686666666666667,0.9552083333333333,11.914589708001586,348.0854084429993,0,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Gaussian,Gaussian_200_300_80,3,evolution,2911,2872.325,2840,3000,0.9703333333333334,0.9574416666666666,15.75200529400172,344.24799305099987,0,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Gaussian,Gaussian_200_300_80,4,evolution,2911,2873.5,2834,3000,0.9703333333333334,0.9578333333333333,19.46626438900057,340.5337342799994,1,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Gaussian,Gaussian_200_300_80,5,evolution,2911,2871.275,2833,3000,0.9703333333333334,0.9570916666666667,23.115674069000306,336.88432438699965,2,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Gaussian,Gaussian_200_300_80,6,evolution,2916,2876.675,2840,3000,0.972,0.9588916666666667,26.816204055001435,333.18379444999846,0,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Gaussian,Gaussian_200_300_80,7,evolution,2916,2877.225,2833,3000,0.972,0.959075,30.539592917000846,329.46040560799884,1,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Gaussian,Gaussian_200_300_80,8,evolution,2916,2870.7,2839,3000,0.972,0.9569,34.300542483000754,325.69945580700005,2,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Gaussian,Gaussian_200_300_80,9,evolution,2916,2878.975,2848,3000,0.972,0.9596583333333333,37.95096161800029,322.04903720199945,3,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Gaussian,Gaussian_200_300_80,10,evolution,2916,2877.75,2845,3000,0.972,0.95925,41.664370891001454,318.33562749299927,4,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Gaussian,Gaussian_200_300_80,11,evolution,2916,2874.2,2840,3000,0.972,0.9580666666666666,45.35431084500124,314.6456876579996,5,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Gaussian,Gaussian_200_300_80,12,evolution,2916,2879.4,2852,3000,0.972,0.9598,49.03108385300038,310.96891486299864,6,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Gaussian,Gaussian_200_300_80,13,evolution,2916,2876.825,2842,3000,0.972,0.9589416666666666,52.71044493299996,307.2895533849987,7,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Gaussian,Gaussian_200_300_80,14,evolution,2916,2878.025,2839,3000,0.972,0.9593416666666666,56.41985624900008,303.5801420539992,8,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Gaussian,Gaussian_200_300_80,15,evolution,2916,2878.45,2844,3000,0.972,0.9594833333333332,60.11751232200004,299.8824859659999,9,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Gaussian,Gaussian_200_300_80,16,evolution,2916,2872.725,2844,3000,0.972,0.957575,63.71926677600095,296.28073142599897,10,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Gaussian,Gaussian_200_300_80,16,restart,2916,2848.45,2823,3000,0.972,0.9494833333333332,67.58053313700111,292.41946557399933,0,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Gaussian,Gaussian_200_300_80,17,evolution,2916,2872.225,2832,3000,0.972,0.9574083333333333,71.41894565900111,288.58105274599984,1,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Gaussian,Gaussian_200_300_80,18,evolution,2916,2871.45,2834,3000,0.972,0.95715,75.19762243600053,284.80237603299975,2,40,5,0.85,0.9,ox,mixed,3,heuristic,42
