dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
Poisson,Poisson_200_300_80,0,init,2932,2881.875,2844,3000,0.9773333333333334,0.960625,3.15611529600028,356.8438838130005,0,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Poisson,Poisson_200_300_80,1,evolution,2932,2893.425,2852,3000,0.9773333333333334,0.9644750000000001,5.884793934999834,354.1152043250004,1,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Poisson,Poisson_200_300_80,2,evolution,2935,2894.325,2858,3000,0.9783333333333334,0.9647749999999999,8.58370342300077,351.4162950099999,0,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Poisson,Poisson_200_300_80,3,evolution,2935,2898.2,2871,3000,0.9783333333333334,0.9660666666666666,11.318532372000845,348.68146584199894,1,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Poisson,Poisson_200_300_80,4,evolution,2935,2898.6,2860,3000,0.9783333333333334,0.9662,14.023983250001038,345.9760149600006,2,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Poisson,Poisson_200_300_80,5,evolution,2935,2894.8,2866,3000,0.9783333333333334,0.9649333333333334,16.661552089000907,343.33844611099994,3,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Poisson,Poisson_200_300_80,6,evolution,2936,2905.1,2876,3000,0.9786666666666667,0.9683666666666666,19.336388019999504,340.6636105359994,0,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Poisson,Poisson_200_300_80,7,evolution,2936,2903.45,2867,3000,0.9786666666666667,0.9678166666666667,22.05434753100053,337.9456507880004,1,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Poisson,Poisson_200_300_80,8,evolution,2944,2908.0,2870,3000,0.9813333333333333,0.9693333333333334,24.702688310000667,335.2973101440002,0,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Poisson,Poisson_200_300_80,9,evolution,2944,2907.0,2883,3000,0.9813333333333333,0.969,27.351040237001143,332.6489582640006,1,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Poisson,Poisson_200_300_80,10,evolution,2944,2909.95,2869,3000,0.9813333333333333,0.9699833333333333,30.02107183299995,329.97892621400024,2,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Poisson,Poisson_200_300_80,11,evolution,2944,2911.625,2884,3000,0.9813333333333333,0.9705416666666666,32.74477983699944,327.2552182069994,3,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Poisson,Poisson_200_300_80,12,evolution,2944,2911.175,2887,3000,0.9813333333333333,0.9703916666666668,35.39831716400113,324.60168103899923,4,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Poisson,Poisson_200_300_80,13,evolution,2944,2912.15,2888,3000,0.9813333333333333,0.9707166666666667,38.03086244299993,321.9691357060001,5,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Poisson,Poisson_200_300_80,14,evolution,2944,2913.65,2886,3000,0.9813333333333333,0.9712166666666667,40.69302614300068,319.3069721339998,6,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Poisson,Poisson_200_300_80,15,evolution,2950,2913.425,2887,3000,0.9833333333333333,0.9711416666666667,43.37800187299945,316.62199638399943,0,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Poisson,Poisson_200_300_80,16,evolution,2950,2912.675,2883,3000,0.9833333333333333,0.9708916666666667,46.044557891000295,313.9554404649989,1,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Poisson,Poisson_200_300_80,17,evolution,2950,2912.95,2884,3000,0.9833333333333333,0.9709833333333333,48.68283057299959,311.31716799400056,2,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Poisson,Poisson_200_300_80,18,evolution,2950,2916.475,2891,3000,0.9833333333333333,0.9721583333333333,51.390140427000006,308.6098574530006,3,40,5,0.85,0.9,ox,mixed,3,heuristic,42
