dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
Uniform,Uniform_50_75_20,0,init,648,608.3,591,750,0.864,0.8110666666666666,0.6642324740005279,89.33576679699945,0,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Uniform,Uniform_50_75_20,1,evolution,648,612.8,598,750,0.864,0.8170666666666666,1.2536889300008625,88.74630987800083,1,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Uniform,Uniform_50_75_20,2,evolution,648,615.075,598,750,0.864,0.8201,1.863569605999146,88.13642868699935,2,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Uniform,Uniform_50_75_20,3,evolution,648,613.925,600,750,0.864,0.8185666666666666,2.4623883799995383,87.53761044900057,3,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Uniform,Uniform_50_75_20,4,evolution,648,615.1,596,750,0.864,0.8201333333333334,3.0596171979996143,86.9403816360009,4,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Uniform,Uniform_50_75_20,5,evolution,648,615.9,601,750,0.864,0.8211999999999999,3.6590762640007597,86.34092237199911,5,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Uniform,Uniform_50_75_20,6,evolution,648,615.2,598,750,0.864,0.8202666666666667,4.256078828000682,85.74391980099972,6,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Uniform,Uniform_50_75_20,7,evolution,648,615.975,598,750,0.864,0.8213,4.866525847999583,85.13347261799936,7,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Uniform,Uniform_50_75_20,8,evolution,648,619.05,603,750,0.864,0.8253999999999999,5.467904508999709,84.53209402100038,8,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Uniform,Uniform_50_75_20,9,evolution,648,614.875,596,750,0.864,0.8198333333333333,6.062764047999735,83.93723480399967,9,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Uniform,Uniform_50_75_20,10,evolution,648,615.4,591,750,0.864,0.8205333333333333,6.662701487999584,83.33729716900052,10,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Uniform,Uniform_50_75_20,10,restart,648,606.425,589,750,0.864,0.8085666666666667,7.237455610000325,82.7625428930005,0,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Uniform,Uniform_50_75_20,11,evolution,648,613.25,597,750,0.864,0.8176666666666667,7.837750606000554,82.16224789700027,1,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Uniform,Uniform_50_75_20,12,evolution,648,614.175,589,750,0.864,0.8189,8.434425580000607,81.56557318799969,2,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Uniform,Uniform_50_75_20,13,evolution,648,614.775,600,750,0.864,0.8197,9.088367501999528,80.91163084099935,3,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Uniform,Uniform_50_75_20,14,evolution,648,615.875,594,750,0.864,0.8211666666666667,9.688399687000128,80.31159900499915,4,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Uniform,Uniform_50_75_20,15,evolution,648,615.8,595,750,0.864,0.8210666666666666,10.288210435999645,79.71178801499991,5,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Uniform,Uniform_50_75_20,16,evolution,648,613.175,598,750,0.864,0.8175666666666666,10.89077521299987,79.10922324400053,6,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Uniform,Uniform_50_75_20,17,evolution,648,615.1,600,750,0.864,0.8201333333333334,11.485920458999317,78.51407796800049,7,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Uniform,Uniform_50_75_20,18,evolution,648,615.975,600,750,0.864,0.8213,12.071815953000623,77.92818249800075,8,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Uniform,Uniform_50_75_20,19,evolution,648,620.425,604,750,0.864,0.8272333333333333,12.676121529999364,77.32387725499939,9,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Uniform,Uniform_50_75_20,20,evolution,648,615.6,602,750,0.864,0.8208000000000001,13.270759191000252,76.72923947100026,10,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Uniform,Uniform_50_75_20,20,restart,648,606.875,594,750,0.864,0.8091666666666667,13.8513459349997,76.14865280900085,0,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Uniform,Uniform_50_75_20,21,evolution,648,612.45,598,750,0.864,0.8166000000000001,14.447197104000224,75.55280146000041,1,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Uniform,Uniform_50_75_20,22,evolution,648,613.975,591,750,0.864,0.8186333333333333,15.049685480000335,74.95031300099981,2,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Uniform,Uniform_50_75_20,23,evolution,648,615.25,597,750,0.864,0.8203333333333334,15.654233388999273,74.34576501999982,3,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Uniform,Uniform_50_75_20,24,evolution,648,617.225,596,750,0.864,0.8229666666666667,16.249225719000606,73.75077309600056,4,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Uniform,Uniform_50_75_20,25,evolution,648,614.375,597,750,0.864,0.8191666666666667,16.848353645000316,73.15164471000026,5,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Uniform,Uniform_50_75_20,26,evolution,648,617.05,597,750,0.864,0.8227333333333333,17.442967421000503,72.5570311499996,6,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Uniform,Uniform_50_75_20,27,evolution,648,613.75,594,750,0.864,0.8183333333333334,18.03627944499931,71.96371927700056,7,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Uniform,Uniform_50_75_20,28,evolution,648,616.65,600,750,0.864,0.8221999999999999,18.63383254799919,71.36616613499973,8,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Uniform,Uniform_50_75_20,29,evolution,648,617.05,599,750,0.864,0.8227333333333333,19.284252310999364,70.71574620700085,9,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Uniform,Uniform_50_75_20,30,evolution,648,615.9,597,750,0.864,0.8211999999999999,19.883381416000702,70.11661691399968,10,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Uniform,Uniform_50_75_20,30,restart,648,608.125,587,750,0.864,0.8108333333333333,20.491068658000586,69.5089303879995,0,40,5,0.85,0.9,ox,mixed,3,heuristic,42
Uniform,Uniform_50_75_20,31,evolution,648,614.075,599,750,0.864,0.8187666666666668,21.089861721999114,68.91013694200046,1,40,5,0.85,0.9,ox,mixed,3,heuristic,42
