dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
hustack,hustack07,0,init,200,200.0,200,242,0.8264462809917356,0.8264462809917356,0.13149152400001185,44.86850786600189,0,40,5,0.85,0.9,ox,mixed,3,heuristic,42
hustack,hustack07,1,evolution,200,199.975,199,242,0.8264462809917356,0.8263429752066116,0.25815327999953297,44.74184560499998,1,40,5,0.85,0.9,ox,mixed,3,heuristic,42
hustack,hustack07,2,evolution,200,199.95,199,242,0.8264462809917356,0.8262396694214875,0.37295346799874096,44.62704572599978,2,40,5,0.85,0.9,ox,mixed,3,heuristic,42
hustack,hustack07,3,evolution,200,199.925,199,242,0.8264462809917356,0.8261363636363637,0.526978722999047,44.473020206998626,3,40,5,0.85,0.9,ox,mixed,3,heuristic,42
hustack,hustack07,4,evolution,200,200.0,200,242,0.8264462809917356,0.8264462809917356,0.6413008489980712,44.35869788900163,4,40,5,0.85,0.9,ox,mixed,3,heuristic,42
hustack,hustack07,5,evolution,200,199.95,199,242,0.8264462809917356,0.8262396694214875,0.7574839250009973,44.24251507000008,5,40,5,0.85,0.9,ox,mixed,3,heuristic,42
hustack,hustack07,6,evolution,200,199.975,199,242,0.8264462809917356,0.8263429752066116,0.8754421189987625,44.12455667500035,6,40,5,0.85,0.9,ox,mixed,3,heuristic,42
hustack,hustack07,7,evolution,200,199.975,199,242,0.8264462809917356,0.8263429752066116,0.9914469309987908,44.00855147599941,7,40,5,0.85,0.9,ox,mixed,3,heuristic,42
hustack,hustack07,8,evolution,200,199.9,199,242,0.8264462809917356,0.8260330578512397,1.1060226570007217,43.89397616600036,8,40,5,0.85,0.9,ox,mixed,3,heuristic,42
hustack,hustack07,9,evolution,200,200.0,200,242,0.8264462809917356,0.8264462809917356,1.2230084639995766,43.776990476999345,9,40,5,0.85,0.9,ox,mixed,3,heuristic,42
hustack,hustack07,10,evolution,200,199.95,199,242,0.8264462809917356,0.8262396694214875,1.3453187890008849,43.654679852999834,10,40,5,0.85,0.9,ox,mixed,3,heuristic,42
hustack,hustack07,10,restart,200,199.9,199,242,0.8264462809917356,0.8260330578512397,1.4620107299997471,43.53798857400034,0,40,5,0.85,0.9,ox,mixed,3,heuristic,42
hustack,hustack07,11,evolution,200,199.9,199,242,0.8264462809917356,0.8260330578512397,1.577458118001232,43.42254088499976,1,40,5,0.85,0.9,ox,mixed,3,heuristic,42
hustack,hustack07,12,evolution,200,199.925,198,242,0.8264462809917356,0.8261363636363637,1.6911381719983183,43.308860654000455,2,40,5,0.85,0.9,ox,mixed,3,heuristic,42
hustack,hustack07,13,evolution,200,199.975,199,242,0.8264462809917356,0.8263429752066116,1.8075926620003884,43.192406185000436,3,40,5,0.85,0.9,ox,mixed,3,heuristic,42
hustack,hustack07,14,evolution,200,200.0,200,242,0.8264462809917356,0.8264462809917356,1.9233320519997505,43.07666700000118,4,40,5,0.85,0.9,ox,mixed,3,heuristic,42
hustack,hustack07,15,evolution,200,200.0,200,242,0.8264462809917356,0.8264462809917356,2.041051968000829,42.95894656100063,5,40,5,0.85,0.9,ox,mixed,3,heuristic,42
hustack,hustack07,16,evolution,200,199.975,199,242,0.8264462809917356,0.8263429752066116,2.157042838000052,42.84295624199876,6,40,5,0.85,0.9,ox,mixed,3,heuristic,42
hustack,hustack07,17,evolution,200,199.95,199,242,0.8264462809917356,0.8262396694214875,2.2729196079999383,42.72707903700211,7,40,5,0.85,0.9,ox,mixed,3,heuristic,42
hustack,hustack07,18,evolution,200,199.95,199,242,0.8264462809917356,0.8262396694214875,2.389475489999313,42.610523515999375,8,40,5,0.85,0.9,ox,mixed,3,heuristic,42
hustack,hustack07,19,evolution,200,200.0,200,242,0.8264462809917356,0.8264462809917356,2.5043614050009637,42.49563711000155,9,40,5,0.85,0.9,ox,mixed,3,heuristic,42
hustack,hustack07,20,evolution,200,200.0,200,242,0.8264462809917356,0.8264462809917356,2.61778827499802,42.38221044999955,10,40,5,0.85,0.9,ox,mixed,3,heuristic,42
hustack,hustack07,20,restart,200,200.0,200,242,0.8264462809917356,0.8264462809917356,2.7339554579994,42.26604394899914,0,40,5,0.85,0.9,ox,mixed,3,heuristic,42
hustack,hustack07,21,evolution,200,200.0,200,242,0.8264462809917356,0.8264462809917356,2.853951502998825,42.14604735299872,1,40,5,0.85,0.9,ox,mixed,3,heuristic,42
hustack,hustack07,22,evolution,200,199.975,199,242,0.8264462809917356,0.8263429752066116,2.9691356900002575,42.030863471001794,2,40,5,0.85,0.9,ox,mixed,3,heuristic,42
hustack,hustack07,23,evolution,200,199.975,199,242,0.8264462809917356,0.8263429752066116,3.0838701379980193,41.91612890400211,3,40,5,0.85,0.9,ox,mixed,3,heuristic,42
hustack,hustack07,24,evolution,200,199.95,198,242,0.8264462809917356,0.8262396694214875,3.1995393469987903,41.800459441001294,4,40,5,0.85,0.9,ox,mixed,3,heuristic,42
hustack,hustack07,25,evolution,200,200.0,200,242,0.8264462809917356,0.8264462809917356,3.315240210999036,41.68475845600187,5,40,5,0.85,0.9,ox,mixed,3,heuristic,42
