dataset,file,obj,total_cc,success_rate,greedy_baseline,ga_best,diff_vs_greedy,time_sec,status,pop_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed,time_limit
Adversarial,Adversarial_20_30_10,157,200,0.785,157,157,0,20.002156665999962,VALID,40,5,0.85,0.9,ox,mixed,3,,42,20
Adversarial,Adversarial_50_75_20,493,750,0.6573333333333333,493,493,0,90.02182923000004,VALID,40,5,0.85,0.9,ox,mixed,3,,42,90
Adversarial,Adversarial_80_120_32,1064,1200,0.8866666666666667,1064,1064,0,180.03654652499995,VALID,40,5,0.85,0.9,ox,mixed,3,,42,180
Adversarial,Adversarial_100_150_40,1390,1500,0.9266666666666666,1390,1390,0,180.01213376300007,VALID,40,5,0.85,0.9,ox,mixed,3,,42,180
Adversarial,Adversarial_150_225_60,2022,2250,0.8986666666666666,2022,2022,0,360.0479374150001,VALID,40,5,0.85,0.9,ox,mixed,3,,42,360
Adversarial,Adversarial_200_300_80,2681,3000,0.8936666666666667,2681,2681,0,360.0660646829999,VALID,40,5,0.85,0.9,ox,mixed,3,,42,360
Adversarial,Adversarial_300_450_120,3924,4500,0.872,3924,3924,0,360.1275679329999,VALID,40,5,0.85,0.9,ox,mixed,3,,42,360
Adversarial,Adversarial_500_750_200,6630,7499,0.8841178823843179,6630,6630,0,600.0533500659999,VALID,40,5,0.85,0.9,ox,mixed,3,,42,600
Adversarial,Adversarial_800_1200_320,10608,12000,0.884,10608,10608,0,900.5803106180001,VALID,40,5,0.85,0.9,ox,mixed,3,,42,900
Adversarial,Adversarial_1000_1500_400,13211,15000,0.8807333333333334,13211,13211,0,900.4683283289996,VALID,40,5,0.85,0.9,ox,mixed,3,,42,900
Exponential,Exponential_20_30_10,188,200,0.94,188,188,0,19.99229901000035,VALID,40,5,0.85,0.9,ox,mixed,3,,42,20
Exponential,Exponential_50_75_20,376,750,0.5013333333333333,376,376,0,90.01557997200052,VALID,40,5,0.85,0.9,ox,mixed,3,,42,90
Exponential,Exponential_80_120_32,760,1200,0.6333333333333333,760,760,0,180.01864472099987,VALID,40,5,0.85,0.9,ox,mixed,3,,42,180
